,where,and,when,did,the,investigation,of,the,plague,pathogen,begin,?
the,0.5003893971443176,0.5171257257461548,0.5091903209686279,0.34736719727516174,1.0,0.2993324100971222,0.733189046382904,1.0,0.2537761330604553,0.21664372086524963,0.34293439984321594,0.22068053483963013
investigation,0.1804075390100479,0.17241890728473663,0.2474265843629837,0.21193689107894897,0.2993324100971222,1.0,0.23923081159591675,0.2993324100971222,0.26402661204338074,0.283396452665329,0.23012463748455048,0.1558016687631607
of,0.38066378235816956,0.5116966962814331,0.3757161796092987,0.2513895630836487,0.733189046382904,0.23923081159591675,1.0,0.733189046382904,0.27455615997314453,0.22046351432800293,0.24830074608325958,0.1826142966747284
the,0.5003893971443176,0.5171257257461548,0.5091903209686279,0.34736719727516174,1.0,0.2993324100971222,0.733189046382904,1.0,0.2537761330604553,0.21664372086524963,0.34293439984321594,0.22068053483963013
pathogen,0.1486886888742447,0.16291935741901398,0.22033041715621948,0.16602759063243866,0.21664372086524963,0.283396452665329,0.22046351432800293,0.21664372086524963,0.3807348310947418,0.9999999403953552,0.20870643854141235,0.1893778294324875
that,0.4876193106174469,0.4731321930885315,0.5860282182693481,0.47518548369407654,0.5473989248275757,0.31659188866615295,0.41498205065727234,0.5473989248275757,0.23825600743293762,0.2813270390033722,0.27644142508506775,0.32716336846351624
caused,0.23530085384845734,0.2892237603664398,0.3178572356700897,0.2858860194683075,0.24990202486515045,0.23643317818641663,0.29665443301200867,0.24990202486515045,0.3581322729587555,0.3588466942310333,0.24318496882915497,0.20679491758346558
the,0.5003893971443176,0.5171257257461548,0.5091903209686279,0.34736719727516174,1.0,0.2993324100971222,0.733189046382904,1.0,0.2537761330604553,0.21664372086524963,0.34293439984321594,0.22068053483963013
19th-century,0.2146967053413391,0.2972090244293213,0.26976752281188965,0.24315765500068665,0.33067989349365234,0.20728160440921783,0.2698702812194824,0.33067989349365234,0.3347019851207733,0.14324422180652618,0.1721711903810501,0.09364749491214752
plague,0.20278523862361908,0.2229994833469391,0.25819700956344604,0.1901843398809433,0.2537761330604553,0.26402661204338074,0.27455615997314453,0.2537761330604553,0.9999999403953552,0.3807348310947418,0.15472468733787537,0.11872942000627518
was,0.20731619000434875,0.3740963041782379,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.27696651220321655,0.4069072902202606,0.48711544275283813,0.24312011897563934,0.13435368239879608,0.17294162511825562,0.18412111699581146
begun,0.13960784673690796,0.2561086118221283,0.2445744425058365,0.29868078231811523,0.2750677764415741,0.22315509617328644,0.23892870545387268,0.2750677764415741,0.13069236278533936,0.13267982006072998,0.4604170322418213,0.13816508650779724
by,0.2641284465789795,0.4289871156215668,0.4376842677593231,0.18574509024620056,0.4408751428127289,0.22270989418029785,0.3646814823150635,0.4408751428127289,0.22066086530685425,0.1839202344417572,0.16351081430912018,0.17966607213020325
teams,0.2421187311410904,0.2197335660457611,0.21796108782291412,0.18786492943763733,0.3164927661418915,0.18767203390598297,0.27933305501937866,0.3164927661418915,0.1564095914363861,0.14267459511756897,0.19295093417167664,0.11150168627500534
of,0.38066378235816956,0.5116966962814331,0.3757161796092987,0.2513895630836487,0.733189046382904,0.23923081159591675,1.0,0.733189046382904,0.27455615997314453,0.22046351432800293,0.24830074608325958,0.1826142966747284
scientists,0.20989133417606354,0.20514336228370667,0.2323981672525406,0.25425684452056885,0.25988271832466125,0.2573562562465668,0.20474955439567566,0.25988271832466125,0.24838073551654816,0.28810247778892517,0.19621555507183075,0.16597221791744232
who,0.41804537177085876,0.41279885172843933,0.48282691836357117,0.34038686752319336,0.3733934462070465,0.20230402052402496,0.2827862501144409,0.3733934462070465,0.22886906564235687,0.15207768976688385,0.1731032282114029,0.26220351457595825
visited,0.3251115679740906,0.2707567512989044,0.28193753957748413,0.25100022554397583,0.2620144784450531,0.14277420938014984,0.25362586975097656,0.2620144784450531,0.18085423111915588,0.09444650262594223,0.1523381769657135,0.10874007642269135
hong,0.09704479575157166,0.2684544324874878,0.18902210891246796,0.1420460194349289,0.20716485381126404,0.20485667884349823,0.21645572781562805,0.20716485381126404,0.09231627732515335,0.134268656373024,0.10702163726091385,0.10784482210874557
kong,0.10180972516536713,0.2299012690782547,0.18756937980651855,0.16918805241584778,0.19810858368873596,0.18111923336982727,0.1950533539056778,0.19810858368873596,0.10389892011880875,0.1639820635318756,0.09803988039493561,0.10485735535621643
in,0.5344807505607605,0.4954058527946472,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.25384989380836487,0.5696388483047485,0.6662389636039734,0.2488756626844406,0.1709301620721817,0.2903634011745453,0.20430970191955566
1894,0.08673549443483353,0.1385921835899353,0.12394257634878159,0.1413605660200119,0.16498081386089325,0.15248169004917145,0.21172243356704712,0.16498081386089325,0.17825835943222046,0.12142353504896164,0.1329934298992157,0.1500938981771469
",",0.3149496018886566,0.6633074283599854,0.36674630641937256,0.3015086054801941,0.4933079481124878,0.23980677127838135,0.4946078956127167,0.4933079481124878,0.2630122900009155,0.16548964381217957,0.27304404973983765,0.31091248989105225
among,0.26159363985061646,0.39211368560791016,0.2075822502374649,0.2415449470281601,0.3507058024406433,0.13558684289455414,0.3679063022136688,0.3507058024406433,0.184331476688385,0.20950305461883545,0.15322139859199524,0.14343059062957764
whom,0.3098810315132141,0.3148667514324188,0.34392476081848145,0.3024649918079376,0.23752936720848083,0.2121249884366989,0.2070929855108261,0.23752936720848083,0.14074385166168213,0.13332785665988922,0.08651738613843918,0.222135990858078
was,0.20731619000434875,0.3740963041782379,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.27696651220321655,0.4069072902202606,0.48711544275283813,0.24312011897563934,0.13435368239879608,0.17294162511825562,0.18412111699581146
the,0.5003893971443176,0.5171257257461548,0.5091903209686279,0.34736719727516174,1.0,0.2993324100971222,0.733189046382904,1.0,0.2537761330604553,0.21664372086524963,0.34293439984321594,0.22068053483963013
french-swiss,0.20469261705875397,0.3343150317668915,0.21842804551124573,0.18721088767051697,0.2671894431114197,0.14860409498214722,0.23965035378932953,0.2671894431114197,0.19505049288272858,0.23401272296905518,0.14113807678222656,0.19132785499095917
bacteriologist,0.1383509486913681,0.20236699283123016,0.18215665221214294,0.14708691835403442,0.18932901322841644,0.304197758436203,0.162892684340477,0.18932901322841644,0.27122068405151367,0.5247747898101807,0.10413871705532074,0.15713158249855042
alexandre,0.13912531733512878,0.1841529756784439,0.1760285347700119,0.13943108916282654,0.19221414625644684,0.14255517721176147,0.22715696692466736,0.19221414625644684,0.18950489163398743,0.1056051254272461,0.08428898453712463,0.11866532266139984
