,what,is,the,main,reason,consulting,pharmacists,are,increasingly,working,directly,with,patients,?
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.3026203215122223,0.5541561245918274,0.21600937843322754,0.21824534237384796,0.35762670636177063,0.34993645548820496,0.3341676890850067,0.4170306324958801,0.36358317732810974,0.2576897144317627,0.3155723512172699
trend,0.22732172906398773,0.19070231914520264,0.23692767322063446,0.09093668311834335,0.2016957700252533,0.2290438860654831,0.0653928890824318,0.1695440411567688,0.4410187005996704,0.24898500740528107,0.16926278173923492,0.1943342536687851,0.19490398466587067,0.10325077921152115
may,0.25739946961402893,0.322792649269104,0.2694292366504669,0.1792508363723755,0.2626429498195648,0.18156202137470245,0.2343803346157074,0.3162533640861511,0.14479012787342072,0.2399349957704544,0.23431356251239777,0.23512546718120575,0.24211986362934113,0.2768254578113556
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.21960048377513885,0.3769439458847046,0.2621598243713379,0.2688070833683014,0.5556803941726685,0.3333093822002411,0.2322242259979248,0.38079655170440674,0.36101722717285156,0.3054943382740021,0.3324260413646698
gradually,0.29329201579093933,0.14753946661949158,0.3209700584411621,0.1740902066230774,0.19815820455551147,0.15334568917751312,0.14568457007408142,0.24547994136810303,0.4677893817424774,0.2153174877166748,0.24760989844799042,0.27868422865867615,0.22802510857582092,0.09310194849967957
reversing,0.3290737271308899,0.22651566565036774,0.33674561977386475,0.16444027423858643,0.29509657621383667,0.2006446272134781,0.18188080191612244,0.2083265781402588,0.24582412838935852,0.21580401062965393,0.2975355088710785,0.26810169219970703,0.2651415467262268,0.22878237068653107
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.25940921902656555,0.29302218556404114,0.33487364649772644,0.21945327520370483,0.3826591968536377,0.3422496020793915,0.2861536145210266,0.288499653339386,0.40387406945228577,0.19033776223659515,0.27043893933296204
consultant,0.18970462679862976,0.2284643054008484,0.22320781648159027,0.1356498897075653,0.09904374927282333,0.7754995822906494,0.24216537177562714,0.14100416004657745,0.32980015873908997,0.3542684316635132,0.18625858426094055,0.18532593548297882,0.2610343396663666,0.1217312291264534
pharmacists,0.28274545073509216,0.20884303748607635,0.24311043322086334,0.13548672199249268,0.20804965496063232,0.25796979665756226,1.0,0.33935052156448364,0.20202744007110596,0.29085201025009155,0.21186134219169617,0.21731118857860565,0.42153534293174744,0.1797308325767517
begin,0.26893487572669983,0.18119797110557556,0.34293439984321594,0.2276419997215271,0.19561004638671875,0.23220838606357574,0.17950765788555145,0.26238346099853516,0.2376222312450409,0.22509944438934326,0.2555184066295624,0.25770750641822815,0.21714171767234802,0.16177093982696533
