,down,to,how,many,laws,did,tesla,believe,the,fundamental,laws,could,be,reduced,?
in,0.2321847528219223,0.45010748505592346,0.2601168751716614,0.41474202275276184,0.2591988444328308,0.2593238651752472,0.17097744345664978,0.20806841552257538,0.6662389636039734,0.23429831862449646,0.2591988444328308,0.29357993602752686,0.3481820821762085,0.2766173183917999,0.20430970191955566
the,0.3325848877429962,0.535392165184021,0.33890387415885925,0.4335206151008606,0.2587076723575592,0.34736719727516174,0.1324402391910553,0.2972484529018402,1.0,0.3078918755054474,0.2587076723575592,0.35393214225769043,0.4248143136501312,0.2897622883319855,0.22068053483963013
same,0.22525689005851746,0.3205692768096924,0.28913575410842896,0.3821374177932739,0.23054806888103485,0.3097444474697113,0.1633947193622589,0.26451030373573303,0.4583131968975067,0.30122581124305725,0.23054806888103485,0.27003270387649536,0.3600577712059021,0.26443320512771606,0.22649677097797394
interview,0.04493195191025734,0.13382475078105927,0.18148818612098694,0.13018415868282318,0.07623247802257538,0.24580758810043335,0.09863823652267456,0.1751410961151123,0.1324702501296997,0.08030308783054352,0.07623247802257538,0.15325717628002167,0.1067219153046608,0.039478104561567307,0.21284115314483643
",",0.23362469673156738,0.44245919585227966,0.22659391164779663,0.40610817074775696,0.26751992106437683,0.3015086054801941,0.20599327981472015,0.2459280639886856,0.4933079481124878,0.26685047149658203,0.26751992106437683,0.27399855852127075,0.39254459738731384,0.19148744642734528,0.31091248989105225
tesla,0.10271318256855011,0.17548894882202148,0.19128404557704926,0.15282970666885376,0.1531582921743393,0.09757418930530548,0.9999999403953552,0.12789246439933777,0.1324402391910553,0.264403760433197,0.1531582921743393,0.16634690761566162,0.15180771052837372,0.15785212814807892,0.10250775516033173
said,0.2044783979654312,0.34274402260780334,0.29677578806877136,0.3219377398490906,0.2629120349884033,0.5119821429252625,0.1453642100095749,0.5072517395019531,0.3024602234363556,0.27191585302352905,0.2629120349884033,0.4196510910987854,0.34202221035957336,0.16736793518066406,0.28991883993148804
that,0.3273264467716217,0.5436353087425232,0.557814359664917,0.5391656160354614,0.29808905720710754,0.47518548369407654,0.22102725505828857,0.533393383026123,0.5473989248275757,0.39114704728126526,0.29808905720710754,0.5584503412246704,0.6036020517349243,0.2702723443508148,0.32716336846351624
he,0.20466239750385284,0.385390967130661,0.2594625651836395,0.3483840227127075,0.24976596236228943,0.3292143940925598,0.12373391538858414,0.24699896574020386,0.4571082592010498,0.23139037191867828,0.24976596236228943,0.2828438878059387,0.3325980603694916,0.08619315177202225,0.2089974731206894
believed,0.25723996758461,0.35322412848472595,0.27366891503334045,0.36182430386543274,0.2685706615447998,0.3807709813117981,0.08292704075574875,0.6664041876792908,0.324635773897171,0.305008202791214,0.2685706615447998,0.386944979429245,0.32833608984947205,0.1936970055103302,0.17606885731220245
that,0.3273264467716217,0.5436353087425232,0.557814359664917,0.5391656160354614,0.29808905720710754,0.47518548369407654,0.22102725505828857,0.533393383026123,0.5473989248275757,0.39114704728126526,0.29808905720710754,0.5584503412246704,0.6036020517349243,0.2702723443508148,0.32716336846351624
all,0.2521192133426666,0.42520734667778015,0.3725806474685669,0.5443700551986694,0.28742867708206177,0.33943864703178406,0.14510658383369446,0.34866389632225037,0.4860881567001343,0.3328903019428253,0.28742867708206177,0.4014686942100525,0.42151448130607605,0.2197539210319519,0.29575422406196594
fundamental,0.18875618278980255,0.25741058588027954,0.2837165892124176,0.31095248460769653,0.3763367533683777,0.24540147185325623,0.264403760433197,0.3999783396720886,0.3078918755054474,0.9999998807907104,0.3763367533683777,0.22013060748577118,0.2736985981464386,0.24018128216266632,0.2011919468641281
laws,0.187277153134346,0.2910608649253845,0.295886754989624,0.28634124994277954,1.0,0.2617504894733429,0.1531582921743393,0.3026222884654999,0.2587076723575592,0.3763367533683777,1.0,0.26455655694007874,0.24180686473846436,0.2415023148059845,0.17911791801452637
could,0.2582706809043884,0.5461788773536682,0.47830453515052795,0.38749223947525024,0.26455655694007874,0.6308382749557495,0.16634690761566162,0.3515373766422272,0.35393214225769043,0.22013060748577118,0.26455655694007874,0.9999998807907104,0.4791525900363922,0.27212977409362793,0.3411986827850342
be,0.24427638947963715,0.4972836375236511,0.4158933162689209,0.3961109519004822,0.24180686473846436,0.22657383978366852,0.15180771052837372,0.3950888514518738,0.4248143136501312,0.2736985981464386,0.24180686473846436,0.4791525900363922,1.0,0.2843341529369354,0.3324260413646698
reduced,0.27163752913475037,0.23179234564304352,0.17844697833061218,0.2752341032028198,0.2415023148059845,0.16533330082893372,0.15785212814807892,0.1627117395401001,0.2897622883319855,0.24018128216266632,0.2415023148059845,0.27212977409362793,0.2843341529369354,1.0,0.10234767943620682
to,0.33130598068237305,1.0,0.44169697165489197,0.40243685245513916,0.2910608649253845,0.4452643394470215,0.17548894882202148,0.34598591923713684,0.535392165184021,0.25741058588027954,0.2910608649253845,0.5461788773536682,0.4972836375236511,0.23179234564304352,0.29463258385658264
one,0.2571679651737213,0.4025384783744812,0.3213292360305786,0.4223630726337433,0.20311206579208374,0.27659472823143005,0.2218162566423416,0.2579859793186188,0.5514441132545471,0.3115343153476715,0.20311206579208374,0.35166996717453003,0.4154875874519348,0.2176555097103119,0.2673267424106598
.,0.2362249493598938,0.4645031690597534,0.3287222981452942,0.3974229395389557,0.2222834676504135,0.35288307070732117,0.17949827015399933,0.26988279819488525,0.5934505462646484,0.2681550085544586,0.2222834676504135,0.3200591504573822,0.4383580684661865,0.23652395606040955,0.4130953550338745
