,what,network,aired,super,bowl,50,?
in,0.30808621644973755,0.19496823847293854,0.21521411836147308,0.18576006591320038,0.17236235737800598,0.021892361342906952,0.20430970191955566
the,0.42745697498321533,0.27187061309814453,0.2525516450405121,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
united,0.20036718249320984,0.1803126037120819,0.24073617160320282,0.19838912785053253,0.20208074152469635,-0.036304131150245667,0.17266890406608582
states,0.21526020765304565,0.18116310238838196,0.2158312350511551,0.16831240057945251,0.1989538073539734,-0.08667702972888947,0.16272737085819244
",",0.3087472915649414,0.1932937651872635,0.2195960283279419,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
the,0.42745697498321533,0.27187061309814453,0.2525516450405121,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
game,0.2246788740158081,0.2793661653995514,0.3074551820755005,0.3480181396007538,0.2413962334394455,0.012895043939352036,0.1829071193933487
was,0.22111038863658905,0.1994880586862564,0.27861282229423523,0.21420986950397491,0.21915455162525177,-0.0011744623770937324,0.18412111699581146
televised,0.16330711543560028,0.404205858707428,0.54571533203125,0.20656390488147736,0.21069155633449554,0.07316640764474869,0.12888526916503906
by,0.2455483376979828,0.214903324842453,0.23136848211288452,0.15233319997787476,0.12992306053638458,0.03871260583400726,0.17966607213020325
cbs,0.1950361132621765,0.4702880382537842,0.48803529143333435,0.23111854493618011,0.2528696060180664,-0.030295440927147865,0.14594407379627228
",",0.3087472915649414,0.1932937651872635,0.2195960283279419,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
as,0.31749409437179565,0.2054080367088318,0.17256414890289307,0.21450649201869965,0.14539222419261932,-0.0016074778977781534,0.27043893933296204
part,0.3476244807243347,0.20589607954025269,0.218070387840271,0.14509333670139313,0.15861135721206665,0.018966691568493843,0.08557961881160736
of,0.33290785551071167,0.21800683438777924,0.15519371628761292,0.14718765020370483,0.2243070751428604,0.006577443331480026,0.1826142966747284
a,0.3320399522781372,0.17299489676952362,0.1767585724592209,0.26005712151527405,0.19533146917819977,0.034183140844106674,0.23916715383529663
cycle,0.17920038104057312,0.17633658647537231,0.16516722738742828,0.08068617433309555,0.08278321474790573,0.008539040572941303,0.07156776636838913
between,0.2462156116962433,0.2824346423149109,0.23919259011745453,0.07381514459848404,0.10010302066802979,0.060629747807979584,0.12887074053287506
the,0.42745697498321533,0.27187061309814453,0.2525516450405121,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
three,0.24888746440410614,0.16434773802757263,0.17604348063468933,0.14228717982769012,0.18332304060459137,-0.002454916713759303,0.20928427577018738
main,0.2344268560409546,0.1812800019979477,0.1593828797340393,0.14307591319084167,0.13414473831653595,-0.03921319544315338,0.1665669083595276
broadcast,0.17857211828231812,0.5386998653411865,0.5757981538772583,0.1449931412935257,0.18237876892089844,-0.01586120016872883,0.15760008990764618
television,0.19838058948516846,0.4371747076511383,0.5683969855308533,0.1881602704524994,0.1757185459136963,0.043253157287836075,0.16825827956199646
partners,0.10904733091592789,0.23604826629161835,0.14964725077152252,0.0820658728480339,0.07424474507570267,-0.003639403497800231,0.10955255478620529
of,0.33290785551071167,0.21800683438777924,0.15519371628761292,0.14718765020370483,0.2243070751428604,0.006577443331480026,0.1826142966747284
the,0.42745697498321533,0.27187061309814453,0.2525516450405121,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
nfl,0.12579965591430664,0.31300151348114014,0.24459241330623627,0.319060355424881,0.48354101181030273,-0.06279195845127106,0.10610254108905792
.,0.3567904531955719,0.23909442126750946,0.2278250902891159,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.4130953550338745
