,what,two,country,'s,referendums,curtailed,a,constitution,for,europe,?
however,0.4480680823326111,0.3944382965564728,0.24587702751159668,0.011690815910696983,0.3075103163719177,0.295331746339798,0.38150349259376526,0.2531524896621704,0.44511833786964417,0.27939364314079285,0.2152075469493866
",",0.3087472915649414,0.35859420895576477,0.27878350019454956,-0.0016132977325469255,0.26963329315185547,0.32602518796920776,0.427140474319458,0.2582484483718872,0.4464869201183319,0.2542513906955719,0.31091248989105225
as,0.31749409437179565,0.3029302954673767,0.2241005152463913,-0.05775856226682663,0.24195696413516998,0.30977970361709595,0.39550232887268066,0.21920880675315857,0.44774648547172546,0.23063963651657104,0.27043893933296204
a,0.3320399522781372,0.3289857804775238,0.20991116762161255,0.04866964742541313,0.23935796320438385,0.27439215779304504,1.0,0.21537603437900543,0.44038116931915283,0.18710176646709442,0.23916715383529663
result,0.19945499300956726,0.18018943071365356,0.08508487045764923,0.06641998142004013,0.27858027815818787,0.1979777216911316,0.2767398953437805,0.17359985411167145,0.2445775717496872,0.09785143285989761,0.17218433320522308
of,0.33290785551071167,0.37726253271102905,0.28866857290267944,-0.03817026689648628,0.2637461721897125,0.24444471299648285,0.5052502155303955,0.3222753703594208,0.4185989499092102,0.29299741983413696,0.1826142966747284
the,0.42745697498321533,0.43858039379119873,0.30432501435279846,-0.01540423184633255,0.29817336797714233,0.33413997292518616,0.5829201340675354,0.3381718397140503,0.4739971458911896,0.34463706612586975,0.22068053483963013
referendum,0.24703842401504517,0.16142255067825317,0.2915855050086975,0.005843086168169975,0.9579530954360962,0.2523880898952484,0.21418535709381104,0.527525007724762,0.19215795397758484,0.1936044842004776,0.18056513369083405
in,0.30808621644973755,0.36463531851768494,0.3040012717247009,-0.037580832839012146,0.3246939480304718,0.24054673314094543,0.539380669593811,0.27906280755996704,0.4322226941585541,0.33061710000038147,0.20430970191955566
france,0.17793065309524536,0.2037719339132309,0.3233118951320648,0.024341266602277756,0.2691708207130432,0.20015433430671692,0.24802380800247192,0.27105462551116943,0.21557466685771942,0.40639379620552063,0.15069349110126495
and,0.31309178471565247,0.4671151638031006,0.30884742736816406,0.06895173341035843,0.2353159487247467,0.26578646898269653,0.3739250600337982,0.23295778036117554,0.5064792633056641,0.3463572859764099,0.20544172823429108
