,who,proved,that,air,is,necessary,for,combustion,?
in,0.2792111933231354,0.2292184680700302,0.435920387506485,0.22172939777374268,0.5394441485404968,0.1872260719537735,0.4322226941585541,0.2270977944135666,0.20430970191955566
the,0.3733934462070465,0.2359304130077362,0.5473989248275757,0.2877824306488037,0.5823672413825989,0.28364068269729614,0.4739971458911896,0.2447446882724762,0.22068053483963013
late,0.19296042621135712,0.1850784718990326,0.2700948715209961,0.13816989958286285,0.20186106860637665,0.11105646193027496,0.2018979787826538,0.1299075037240982,0.11339222639799118
17th,0.0544084869325161,0.07926145195960999,0.17458629608154297,0.14960075914859772,0.27897515892982483,0.1440511792898178,0.17372846603393555,0.0861886739730835,0.096589595079422
century,0.2990973889827728,0.24076992273330688,0.24900858104228973,0.14590336382389069,0.20648397505283356,0.09929169714450836,0.18660898506641388,0.2247992902994156,0.1026201918721199
",",0.3365725874900818,0.23345941305160522,0.4137537479400635,0.24731357395648956,0.4691906273365021,0.2641502320766449,0.4464869201183319,0.2079315334558487,0.31091248989105225
robert,0.2748492956161499,0.18502704799175262,0.17482081055641174,0.10352633148431778,0.16191203892230988,0.1561180204153061,0.19542941451072693,0.18419405817985535,0.11293095350265503
boyle,0.2859038710594177,0.2344929575920105,0.18404622375965118,0.12672924995422363,0.2503202259540558,0.11474037170410156,0.1923600435256958,0.21065305173397064,0.1254223883152008
proved,0.22388482093811035,1.0,0.3849233388900757,0.13091477751731873,0.16634024679660797,0.2789306342601776,0.22118917107582092,0.2539414167404175,0.1678566187620163
that,0.45444270968437195,0.3849233388900757,1.0,0.19720019400119781,0.3995479643344879,0.430902898311615,0.4137635827064514,0.30958232283592224,0.32716336846351624
air,0.05050304904580116,0.13091477751731873,0.19720019400119781,1.0000001192092896,0.2280944287776947,0.1604512333869934,0.15818573534488678,0.3806820511817932,0.1491677612066269
is,0.24293622374534607,0.16634024679660797,0.3995479643344879,0.2280944287776947,1.0,0.23441283404827118,0.43268078565597534,0.27011600136756897,0.22961433231830597
necessary,0.22728025913238525,0.2789306342601776,0.430902898311615,0.1604512333869934,0.23441283404827118,1.0,0.39725369215011597,0.27206405997276306,0.3430270850658417
for,0.37110671401023865,0.22118917107582092,0.4137635827064514,0.15818573534488678,0.43268078565597534,0.39725369215011597,0.9999999403953552,0.23782002925872803,0.264628142118454
combustion,0.1825428307056427,0.2539414167404175,0.30958232283592224,0.3806820511817932,0.27011600136756897,0.27206405997276306,0.23782002925872803,1.0,0.2177530825138092
.,0.3541337847709656,0.2411038726568222,0.4460422694683075,0.2759295105934143,0.4569662809371948,0.26437801122665405,0.4726039469242096,0.2124136984348297,0.4130953550338745
