,who,came,up,with,the,concept,that,falling,objects,fell,at,the,same,speed,regardless,of,weight,?
before,0.31244513392448425,0.31454765796661377,0.36643674969673157,0.32654517889022827,0.45900648832321167,0.19590994715690613,0.40745505690574646,0.2677161693572998,0.20798930525779724,0.30259981751441956,0.36107107996940613,0.45900648832321167,0.3127010762691498,0.22228913009166718,0.2592542767524719,0.3282964527606964,0.16771891713142395,0.2507109045982361
newton,0.19243690371513367,0.17745794355869293,0.12487363070249557,0.1584642082452774,0.1876603662967682,0.24331481754779816,0.22769790887832642,0.1911824494600296,0.20895755290985107,0.1771516650915146,0.12256313115358353,0.1876603662967682,0.22740161418914795,0.28498268127441406,0.16385848820209503,0.18479612469673157,0.17833153903484344,0.09645649790763855
",",0.3365725874900818,0.3049119710922241,0.34193792939186096,0.4120737314224243,0.4933079481124878,0.20029692351818085,0.4137537479400635,0.24877594411373138,0.21213118731975555,0.27573052048683167,0.38314947485923767,0.4933079481124878,0.3207721710205078,0.21732394397258759,0.29797670245170593,0.4946078956127167,0.13127365708351135,0.31091248989105225
the,0.3733934462070465,0.39390382170677185,0.38423117995262146,0.4223487675189972,1.0,0.2355310022830963,0.5473989248275757,0.3168080151081085,0.24716724455356598,0.2598440647125244,0.457212895154953,1.0,0.4583131968975067,0.2310667634010315,0.3184875249862671,0.733189046382904,0.19469641149044037,0.22068053483963013
tendency,0.2345648556947708,0.12195917218923569,0.229893758893013,0.20940172672271729,0.20812319219112396,0.29568198323249817,0.32162100076675415,0.2670791745185852,0.26333123445510864,0.18384750187397003,0.12067726999521255,0.20812319219112396,0.17985229194164276,0.23783795535564423,0.3381047546863556,0.21120117604732513,0.2956300675868988,0.15298421680927277
for,0.37110671401023865,0.2774851322174072,0.342966228723526,0.39140474796295166,0.4739971458911896,0.24192313849925995,0.4137635827064514,0.18407587707042694,0.240665465593338,0.15289437770843506,0.34237727522850037,0.4739971458911896,0.31941699981689453,0.2231474667787552,0.3282600939273834,0.4185989499092102,0.2062629908323288,0.264628142118454
objects,0.19808335602283478,0.1598094254732132,0.24242882430553436,0.21321995556354523,0.24716724455356598,0.32524287700653076,0.33961281180381775,0.28132444620132446,1.0000001192092896,0.16768425703048706,0.17468072474002838,0.24716724455356598,0.2552576959133148,0.22985327243804932,0.31258147954940796,0.23814009130001068,0.2676779329776764,0.15479016304016113
to,0.42656609416007996,0.3111628592014313,0.40375280380249023,0.4239959120750427,0.535392165184021,0.2465057224035263,0.5436353087425232,0.25933295488357544,0.2695634961128235,0.2010868489742279,0.36524343490600586,0.535392165184021,0.3205692768096924,0.2900872230529785,0.3453742563724518,0.41548454761505127,0.2257474809885025,0.29463258385658264
fall,0.14571887254714966,0.25818079710006714,0.2590300440788269,0.181291401386261,0.3639753758907318,0.17827728390693665,0.2639525830745697,0.6089692115783691,0.14856834709644318,0.5631121397018433,0.22413216531276703,0.3639753758907318,0.22241438925266266,0.1725093573331833,0.18089422583580017,0.2854328155517578,0.1773964762687683,0.1656162142753601
towards,0.1973830610513687,0.16586238145828247,0.2766432762145996,0.25315994024276733,0.31815874576568604,0.1998061090707779,0.28294092416763306,0.26161888241767883,0.2306264340877533,0.14013297855854034,0.35422083735466003,0.31815874576568604,0.20255962014198303,0.2082669883966446,0.2823762893676758,0.26409703493118286,0.16135461628437042,0.13023285567760468
