,what,is,the,basic,pay,for,a,teacher,",",in,euros,?
the,0.42745697498321533,0.5823672413825989,1.0,0.27259987592697144,0.1903611719608307,0.4739971458911896,0.5829201340675354,0.17760860919952393,0.4933079481124878,0.6662389636039734,0.2295008897781372,0.22068053483963013
basic,0.3564627468585968,0.2828887104988098,0.27259987592697144,1.0000001192092896,0.15628978610038757,0.3161620795726776,0.2517271041870117,0.20039136707782745,0.2850632071495056,0.2729884386062622,0.1439528912305832,0.26534420251846313
pay,0.2870062291622162,0.12657347321510315,0.1903611719608307,0.15628978610038757,1.0,0.24382255971431732,0.1940600425004959,0.09950850158929825,0.18754567205905914,0.14415781199932098,0.28852465748786926,0.19821009039878845
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.3161620795726776,0.24382255971431732,0.9999999403953552,0.44038116931915283,0.23373261094093323,0.4464869201183319,0.4322226941585541,0.2906069755554199,0.264628142118454
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2517271041870117,0.1940600425004959,0.44038116931915283,1.0,0.31202319264411926,0.427140474319458,0.539380669593811,0.1746826171875,0.23916715383529663
starting,0.25271084904670715,0.2560509443283081,0.37272053956985474,0.14272095263004303,0.18701854348182678,0.31099238991737366,0.3460865914821625,0.21221424639225006,0.2485944926738739,0.3013272285461426,0.14915087819099426,0.19133803248405457
teacher,0.20492632687091827,0.2001669555902481,0.17760860919952393,0.20039136707782745,0.09950850158929825,0.23373261094093323,0.31202319264411926,0.9999998807907104,0.2884024977684021,0.22632350027561188,0.09216341376304626,0.1797819435596466
is,0.28837618231773376,1.0,0.5823672413825989,0.2828887104988098,0.12657347321510315,0.43268078565597534,0.658733606338501,0.2001669555902481,0.4691906273365021,0.5394441485404968,0.18584652245044708,0.22961433231830597
"€27,814",-0.014320769347250462,0.043363045901060104,0.013272824697196484,0.09731084108352661,0.09803705662488937,0.1076778769493103,0.02803368866443634,0.04868599772453308,0.1077943965792656,0.06504424661397934,-0.02092215232551098,0.14722608029842377
p.a.,0.4099445641040802,0.13053633272647858,0.09193665534257889,0.2411651611328125,0.20661282539367676,0.28099316358566284,0.15320923924446106,0.075973741710186,0.23212546110153198,0.08708672225475311,0.20682848989963531,0.5089440941810608
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2850632071495056,0.18754567205905914,0.4464869201183319,0.427140474319458,0.2884024977684021,1.0000001192092896,0.5201468467712402,0.18826323747634888,0.31091248989105225
rising,0.18883290886878967,0.17822740972042084,0.34945452213287354,0.07109152525663376,0.18475110828876495,0.20961570739746094,0.2153616100549698,0.09767746180295944,0.21649663150310516,0.26222285628318787,0.17715786397457123,0.07955946773290634
incrementally,0.29870671033859253,0.1986151784658432,0.28501078486442566,0.304444283246994,0.22291895747184753,0.2629002034664154,0.302285373210907,0.20417724549770355,0.23051238059997559,0.20083197951316833,0.24896745383739471,0.31027862429618835
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.28033503890037537,0.26723966002464294,0.4451248347759247,0.45503583550453186,0.1991342306137085,0.44245919585227966,0.45010748505592346,0.2357807755470276,0.29463258385658264
"€53,423",0.029067540541291237,0.15430006384849548,0.1660756766796112,-0.07465031743049622,-0.02666068635880947,-0.12297578901052475,0.12600333988666534,0.018185662105679512,0.008051342330873013,0.1425991654396057,-0.07388923317193985,-0.07769537717103958
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.3161620795726776,0.24382255971431732,0.9999999403953552,0.44038116931915283,0.23373261094093323,0.4464869201183319,0.4322226941585541,0.2906069755554199,0.264628142118454
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2517271041870117,0.1940600425004959,0.44038116931915283,1.0,0.31202319264411926,0.427140474319458,0.539380669593811,0.1746826171875,0.23916715383529663
teacher,0.20492632687091827,0.2001669555902481,0.17760860919952393,0.20039136707782745,0.09950850158929825,0.23373261094093323,0.31202319264411926,0.9999998807907104,0.2884024977684021,0.22632350027561188,0.09216341376304626,0.1797819435596466
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.30148401856422424,0.18971611559391022,0.39140474796295166,0.3783375024795532,0.13737362623214722,0.4120737314224243,0.4080928862094879,0.22992415726184845,0.2433311939239502
25,0.12916474044322968,-0.0007095441687852144,0.1671934723854065,0.10493218898773193,0.23278403282165527,0.16109365224838257,0.12003126740455627,0.025676505640149117,0.08225981146097183,0.14793018996715546,0.16474781930446625,0.09614268690347672
years,0.1981470286846161,0.19551363587379456,0.2912273406982422,0.13840252161026,0.2230532467365265,0.2878222167491913,0.23773819208145142,0.19210392236709595,0.2589467465877533,0.33554986119270325,0.2244795858860016,0.1914375126361847
service,0.16857224702835083,0.15705204010009766,0.22661015391349792,0.20344211161136627,0.26812008023262024,0.31237727403640747,0.23104366660118103,0.15878121554851532,0.2389259785413742,0.1740635335445404,0.1905115246772766,0.1676298975944519
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2838435769081116,0.17372290790081024,0.4726039469242096,0.50484299659729,0.225234717130661,0.6812511086463928,0.5591574311256409,0.22745674848556519,0.4130953550338745
