,what,is,another,type,of,accountant,other,than,a,cpa,?
such,0.23989605903625488,0.23545363545417786,0.268036812543869,0.2636772096157074,0.3209529519081116,0.14594730734825134,0.6041211485862732,0.4386829137802124,0.2706976532936096,0.1599728912115097,0.17851735651493073
professionals,0.2777658998966217,0.18974612653255463,0.09846296161413193,0.14161449670791626,0.21767503023147583,0.3598794937133789,0.26777857542037964,0.21857748925685883,0.21404023468494415,0.1635831594467163,0.16300173103809357
enjoy,0.26737046241760254,0.17440982162952423,0.16236886382102966,0.10838302969932556,0.21310144662857056,0.1644628942012787,0.26521965861320496,0.19440880417823792,0.208265021443367,0.11435872316360474,0.22365233302116394
a,0.3320399522781372,0.658733606338501,0.6191956996917725,0.3813284635543823,0.5052502155303955,0.21809403598308563,0.2806335389614105,0.3126874566078186,1.0,0.19689339399337769,0.23916715383529663
status,0.1975356787443161,0.23290963470935822,0.2534177899360657,0.16269725561141968,0.20139996707439423,0.21433071792125702,0.20979522168636322,0.16353335976600647,0.28739041090011597,0.19053217768669128,0.16403266787528992
in,0.30808621644973755,0.5394441485404968,0.3397690951824188,0.20604541897773743,0.5696388483047485,0.24924571812152863,0.39989137649536133,0.3270052373409271,0.539380669593811,0.17402882874011993,0.20430970191955566
some,0.4491020441055298,0.3038453459739685,0.37478992342948914,0.2761056125164032,0.4300730526447296,0.1737443208694458,0.6399164199829102,0.46446433663368225,0.34539633989334106,0.09276699274778366,0.2562315762042999
societies,0.21333153545856476,0.15102027356624603,0.14752431213855743,0.1696828156709671,0.20256926119327545,0.29173824191093445,0.308461457490921,0.2391822636127472,0.21570569276809692,0.137207493185997,0.19051554799079895
on,0.34226128458976746,0.3635730445384979,0.2988088130950928,0.2118636518716812,0.3966929316520691,0.16101638972759247,0.3410046398639679,0.2864885926246643,0.3848365545272827,0.15010985732078552,0.2714994251728058
a,0.3320399522781372,0.658733606338501,0.6191956996917725,0.3813284635543823,0.5052502155303955,0.21809403598308563,0.2806335389614105,0.3126874566078186,1.0,0.19689339399337769,0.23916715383529663
par,0.11508969962596893,0.16582579910755157,0.11494114995002747,0.09413833171129227,0.12130799144506454,0.1681119203567505,0.11570552736520767,0.11546513438224792,0.18863867223262787,0.2448333501815796,0.18598014116287231
with,0.2464839518070221,0.3250955045223236,0.359900563955307,0.1964726597070694,0.41827285289764404,0.12628059089183807,0.44086363911628723,0.3028803765773773,0.3783375024795532,0.14541132748126984,0.2433311939239502
physicians,0.24258212745189667,0.12708066403865814,0.19946306943893433,0.11830978840589523,0.21025621891021729,0.2366197407245636,0.281442254781723,0.19193430244922638,0.19939659535884857,0.1267678588628769,0.12075905501842499
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.1804078221321106,0.4946078956127167,0.286100834608078,0.4446498453617096,0.3371901512145996,0.427140474319458,0.21027988195419312,0.31091248989105225
lawyers,0.27955353260040283,0.16310353577136993,0.21919716894626617,0.08731770515441895,0.14232225716114044,0.3601381778717041,0.26028817892074585,0.13363422453403473,0.22432680428028107,0.22049200534820557,0.248005673289299
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.1804078221321106,0.4946078956127167,0.286100834608078,0.4446498453617096,0.3371901512145996,0.427140474319458,0.21027988195419312,0.31091248989105225
engineers,0.259060800075531,0.1401476263999939,0.24898473918437958,0.09703093022108078,0.189129039645195,0.3735937178134918,0.27848193049430847,0.1396009922027588,0.17078717052936554,0.2353493571281433,0.18139411509037018
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.1804078221321106,0.4946078956127167,0.286100834608078,0.4446498453617096,0.3371901512145996,0.427140474319458,0.21027988195419312,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.3214244842529297,0.16898801922798157,0.5116966962814331,0.27765581011772156,0.5504306554794312,0.39361441135406494,0.3739250600337982,0.18185937404632568,0.20544172823429108
accountants,0.23026098310947418,0.19821657240390778,0.24897049367427826,0.06113322079181671,0.25117433071136475,0.9105955362319946,0.2612541913986206,0.1899600625038147,0.1869894564151764,0.34039580821990967,0.18002422153949738
(,0.2411840260028839,0.35393038392066956,0.2500171959400177,0.1677488386631012,0.35032153129577637,0.19002044200897217,0.25035592913627625,0.19419437646865845,0.3206180930137634,0.15780895948410034,0.40561532974243164
chartered,0.10646602511405945,0.15873117744922638,0.13934193551540375,0.09230368584394455,0.2495306134223938,0.39640671014785767,0.13740667700767517,0.10009613633155823,0.20159493386745453,0.2744433879852295,0.09353633224964142
or,0.33867141604423523,0.41870999336242676,0.4401204288005829,0.38183850049972534,0.3792596757411957,0.17134569585323334,0.5325124859809875,0.5002588033676147,0.48853766918182373,0.14178970456123352,0.32389625906944275
cpa,0.09065985679626465,0.12651750445365906,0.19630584120750427,0.059205204248428345,0.1729421466588974,0.33685997128486633,0.15510670840740204,0.09327676892280579,0.19689339399337769,1.0000001192092896,0.18010850250720978
),0.26259949803352356,0.37732169032096863,0.2743632197380066,0.18612703680992126,0.3680361211299896,0.21095244586467743,0.26200005412101746,0.21982109546661377,0.3640355169773102,0.1690402328968048,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.3817248046398163,0.23195341229438782,0.5352458953857422,0.17917458713054657,0.41511186957359314,0.3594527542591095,0.50484299659729,0.20813636481761932,0.4130953550338745
