,what,is,the,famous,rock,called,that,the,rhine,flows,around,?
near,0.19414293766021729,0.25453904271125793,0.2879819869995117,0.20011673867702484,0.22556549310684204,0.19106239080429077,0.1848522126674652,0.2879819869995117,0.2615382969379425,0.39984533190727234,0.37184345722198486,0.10734958201646805
sankt,0.21863631904125214,0.21813225746154785,0.27503442764282227,0.19335798919200897,0.1288951188325882,0.20711123943328857,0.16711153090000153,0.27503442764282227,0.3836386799812317,0.19531631469726562,0.12158773839473724,0.17466264963150024
goarshausen,0.16910316050052643,0.12910372018814087,0.2239520400762558,0.274568110704422,0.14213024079799652,0.2036558836698532,0.1461440920829773,0.2239520400762558,0.5157313346862793,0.18620266020298004,0.23085880279541016,0.16078518331050873
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2816491723060608,0.2775712311267853,0.26549121737480164,0.4137537479400635,0.4933079481124878,0.167837992310524,0.2638954818248749,0.3298884332180023,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.28616565465927124,0.23786304891109467,0.489897221326828,0.5473989248275757,1.0,0.30735138058662415,0.32405155897140503,0.40085816383361816,0.22068053483963013
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.1655004322528839,0.17885208129882812,0.14562174677848816,0.16362759470939636,0.30735138058662415,1.0,0.2871347963809967,0.2077515870332718,0.13754533231258392
flows,0.14294633269309998,0.3137552738189697,0.32405155897140503,0.1147598847746849,0.12964890897274017,0.20558235049247742,0.1644459366798401,0.32405155897140503,0.2871347963809967,1.0,0.22766846418380737,0.11636040359735489
around,0.27475327253341675,0.286477267742157,0.40085816383361816,0.30097898840904236,0.18622645735740662,0.27120786905288696,0.36311936378479004,0.40085816383361816,0.2077515870332718,0.22766846418380737,1.0,0.14729668200016022
the,0.42745697498321533,0.5823672413825989,1.0,0.28616565465927124,0.23786304891109467,0.489897221326828,0.5473989248275757,1.0,0.30735138058662415,0.32405155897140503,0.40085816383361816,0.22068053483963013
famous,0.1616666167974472,0.26248517632484436,0.28616565465927124,1.0,0.17421656847000122,0.3474815785884857,0.1761402189731598,0.28616565465927124,0.1655004322528839,0.1147598847746849,0.30097898840904236,0.10379006713628769
rock,0.1923677921295166,0.1981455236673355,0.23786304891109467,0.17421656847000122,1.0,0.20767638087272644,0.2285659909248352,0.23786304891109467,0.17885208129882812,0.12964890897274017,0.18622645735740662,0.13172835111618042
lorelei,0.3040570914745331,0.25050103664398193,0.30963557958602905,0.21489328145980835,0.19222064316272736,0.3023863434791565,0.29928985238075256,0.30963557958602905,0.1680007427930832,0.20863614976406097,0.18063685297966003,0.272396981716156
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2322506159543991,0.24835698306560516,0.300344854593277,0.4460422694683075,0.5934505462646484,0.2089352011680603,0.19567762315273285,0.3712388277053833,0.4130953550338745
