,thoreau,mentions,what,type,of,person,could,corrupt,a,government,system,?
thoreau,1.0,0.2680780291557312,0.3263375163078308,0.11412099748849869,0.27008235454559326,0.2710476219654083,0.28409844636917114,0.3172151446342468,0.25918325781822205,0.29847463965415955,0.15345607697963715,0.1922200322151184
admits,0.22370393574237823,0.32026851177215576,0.34204980731010437,0.023733455687761307,0.2266494780778885,0.30910611152648926,0.20712630450725555,0.31697773933410645,0.2762027084827423,0.22276420891284943,0.14816491305828094,0.21940074861049652
that,0.3305809795856476,0.3650415539741516,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.4460006356239319,0.5584503412246704,0.24537360668182373,0.47537946701049805,0.29558056592941284,0.3088737428188324,0.32716336846351624
government,0.29847463965415955,0.10365999490022659,0.28074538707733154,0.09938877820968628,0.3475167155265808,0.28458428382873535,0.24824166297912598,0.38514187932014465,0.25158295035362244,1.0000001192092896,0.23867560923099518,0.18851417303085327
may,0.19417525827884674,0.18280118703842163,0.25739946961402893,0.1642589271068573,0.26447007060050964,0.27964913845062256,0.41583991050720215,0.12620511651039124,0.29255667328834534,0.21966363489627838,0.14396558701992035,0.2768254578113556
express,0.06632107496261597,0.11440248042345047,0.15058152377605438,0.09390326589345932,0.1764339953660965,0.15797214210033417,0.1506829857826233,0.13355618715286255,0.20441380143165588,0.1630481332540512,0.183951735496521,0.13246142864227295
the,0.30504027009010315,0.2703112065792084,0.42745697498321533,0.21819381415843964,0.733189046382904,0.3487054407596588,0.35393214225769043,0.14732728898525238,0.5829201340675354,0.31798112392425537,0.3233085572719574,0.22068053483963013
will,0.18663856387138367,0.16142955422401428,0.3510494530200958,0.1847439557313919,0.2473582625389099,0.3251572251319885,0.585023045539856,0.22553884983062744,0.3401327431201935,0.13674113154411316,0.21854417026042938,0.35046905279159546
of,0.27008235454559326,0.23054437339305878,0.33290785551071167,0.18112817406654358,1.0,0.27674683928489685,0.29043012857437134,0.1135386973619461,0.5052502155303955,0.3475167155265808,0.25597915053367615,0.1826142966747284
the,0.30504027009010315,0.2703112065792084,0.42745697498321533,0.21819381415843964,0.733189046382904,0.3487054407596588,0.35393214225769043,0.14732728898525238,0.5829201340675354,0.31798112392425537,0.3233085572719574,0.22068053483963013
majority,0.21419690549373627,0.08639175444841385,0.25967487692832947,0.1443064659833908,0.29706597328186035,0.24798692762851715,0.24955105781555176,0.24343137443065643,0.227370023727417,0.2886284589767456,0.1693926751613617,0.220119908452034
but,0.2742561101913452,0.3831917941570282,0.5029441118240356,0.24026720225811005,0.39942997694015503,0.34110337495803833,0.49503007531166077,0.21498465538024902,0.44750767946243286,0.2775489091873169,0.2440522015094757,0.27921953797340393
it,0.32486701011657715,0.1904633790254593,0.45803478360176086,0.22145579755306244,0.38761502504348755,0.35048896074295044,0.329755574464798,0.13271598517894745,0.5452592968940735,0.28037968277931213,0.30691424012184143,0.25732165575027466
may,0.19417525827884674,0.18280118703842163,0.25739946961402893,0.1642589271068573,0.26447007060050964,0.27964913845062256,0.41583991050720215,0.12620511651039124,0.29255667328834534,0.21966363489627838,0.14396558701992035,0.2768254578113556
also,0.3519754409790039,0.2964526414871216,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.3537880480289459,0.42194491624832153,0.2213168889284134,0.5149940252304077,0.262620747089386,0.25791773200035095,0.21848613023757935
express,0.06632107496261597,0.11440248042345047,0.15058152377605438,0.09390326589345932,0.1764339953660965,0.15797214210033417,0.1506829857826233,0.13355618715286255,0.20441380143165588,0.1630481332540512,0.183951735496521,0.13246142864227295
nothing,0.2637113928794861,0.428707093000412,0.5522216558456421,0.15703502297401428,0.17905022203922272,0.32070085406303406,0.38272207975387573,0.26053357124328613,0.2923998534679413,0.21324431896209717,0.1658155620098114,0.4541490972042084
more,0.24065668880939484,0.23339016735553741,0.3484537899494171,0.2277899980545044,0.30478984117507935,0.3014683425426483,0.4129549562931061,0.19296330213546753,0.3452818691730499,0.22208929061889648,0.24080024659633636,0.27894994616508484
than,0.16849245131015778,0.22825020551681519,0.29388150572776794,0.21065692603588104,0.33036211133003235,0.2697990834712982,0.3653954267501831,0.14032478630542755,0.3126874566078186,0.17420484125614166,0.19727610051631927,0.24917294085025787
the,0.30504027009010315,0.2703112065792084,0.42745697498321533,0.21819381415843964,0.733189046382904,0.3487054407596588,0.35393214225769043,0.14732728898525238,0.5829201340675354,0.31798112392425537,0.3233085572719574,0.22068053483963013
will,0.18663856387138367,0.16142955422401428,0.3510494530200958,0.1847439557313919,0.2473582625389099,0.3251572251319885,0.585023045539856,0.22553884983062744,0.3401327431201935,0.13674113154411316,0.21854417026042938,0.35046905279159546
of,0.27008235454559326,0.23054437339305878,0.33290785551071167,0.18112817406654358,1.0,0.27674683928489685,0.29043012857437134,0.1135386973619461,0.5052502155303955,0.3475167155265808,0.25597915053367615,0.1826142966747284
