,where,was,the,khwarezmid,capital,moved,after,genghis,khan,'s,forces,prevailed,in,samarkand,?
after,0.31753596663475037,0.49306565523147583,0.4565047025680542,0.26094892621040344,0.25313887000083923,0.2986968755722046,1.0,0.24102559685707092,0.1264270693063736,-0.055672239512205124,0.2831678092479706,0.28783851861953735,0.44050168991088867,0.2715873718261719,0.16608688235282898
the,0.5003893971443176,0.48711544275283813,1.0,0.342690110206604,0.3049491047859192,0.32031023502349854,0.4565047025680542,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.3134811818599701,0.3611896336078644,0.6662389636039734,0.3053828775882721,0.22068053483963013
capital,0.24952609837055206,0.21907466650009155,0.3049491047859192,0.27433645725250244,0.9999999403953552,0.3201691806316376,0.25313887000083923,0.28575485944747925,0.19148284196853638,0.01144334115087986,0.2321779429912567,0.1390564888715744,0.3233928978443146,0.33035627007484436,0.0907452180981636
samarkand,0.24729785323143005,0.24185223877429962,0.3053828775882721,0.5897393822669983,0.33035627007484436,0.20147457718849182,0.2715873718261719,0.5715417265892029,0.4810072183609009,0.03461071848869324,0.1688409298658371,0.27763283252716064,0.28130465745925903,1.0000001192092896,0.14516572654247284
fell,0.21285274624824524,0.38681042194366455,0.2598440647125244,0.3008420467376709,0.15752534568309784,0.24177204072475433,0.3766758143901825,0.2781490981578827,0.1570749580860138,0.039782505482435226,0.20227836072444916,0.3484446406364441,0.22975562512874603,0.29679712653160095,0.13107693195343018
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.3409890830516815,0.28033894300460815,0.30661246180534363,0.38860568404197693,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.2544684410095215,0.2609016001224518,0.5201468467712402,0.23494493961334229,0.31091248989105225
the,0.5003893971443176,0.48711544275283813,1.0,0.342690110206604,0.3049491047859192,0.32031023502349854,0.4565047025680542,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.3134811818599701,0.3611896336078644,0.6662389636039734,0.3053828775882721,0.22068053483963013
capital,0.24952609837055206,0.21907466650009155,0.3049491047859192,0.27433645725250244,0.9999999403953552,0.3201691806316376,0.25313887000083923,0.28575485944747925,0.19148284196853638,0.01144334115087986,0.2321779429912567,0.1390564888715744,0.3233928978443146,0.33035627007484436,0.0907452180981636
was,0.20731619000434875,1.0000001192092896,0.48711544275283813,0.3017575442790985,0.21907466650009155,0.3804442584514618,0.49306565523147583,0.3037589192390442,0.23483267426490784,0.008974763564765453,0.22620010375976562,0.24496857821941376,0.45514053106307983,0.24185223877429962,0.18412111699581146
moved,0.39481642842292786,0.3804442584514618,0.32031023502349854,0.15574833750724792,0.3201691806316376,1.0000001192092896,0.2986968755722046,0.18563255667686462,0.12359108775854111,-0.05324588716030121,0.1712498515844345,0.2725161612033844,0.3323737680912018,0.20147457718849182,0.15112607181072235
to,0.47735077142715454,0.3636345863342285,0.535392165184021,0.2811152935028076,0.1844596415758133,0.2918468713760376,0.37890323996543884,0.2294713407754898,0.18221943080425262,0.03782717138528824,0.2581802308559418,0.2853659689426422,0.45010748505592346,0.18783891201019287,0.29463258385658264
