,when,there,are,many,workers,competing,for,a,few,jobs,its,considered,as,what,?
a,0.44397395849227905,0.4214206337928772,0.265255331993103,0.2872205972671509,0.25033822655677795,0.18894045054912567,0.44038116931915283,1.0,0.2765968441963196,0.23724274337291718,0.4424409866333008,0.36109375953674316,0.39550232887268066,0.3320399522781372,0.23916715383529663
job,0.29622912406921387,0.19662681221961975,0.17699533700942993,0.25484973192214966,0.32602551579475403,0.19132445752620697,0.3520078659057617,0.2834402620792389,0.18540124595165253,0.6616148352622986,0.18168118596076965,0.16687807440757751,0.2932385802268982,0.29268908500671387,0.22160480916500092
where,0.5747735500335693,0.5016061663627625,0.32389864325523376,0.4338301420211792,0.17254844307899475,0.26815471053123474,0.38599511981010437,0.40997210144996643,0.30374065041542053,0.22696799039840698,0.27530840039253235,0.21629245579242706,0.35409465432167053,0.4457937180995941,0.24793872237205505
there,0.34822648763656616,1.0,0.5433560013771057,0.4993700683116913,0.21683305501937866,0.23167842626571655,0.3728419542312622,0.4214206337928772,0.4346017837524414,0.27026593685150146,0.28282350301742554,0.29038745164871216,0.33535557985305786,0.35085538029670715,0.29405656456947327
are,0.29873907566070557,0.5433560013771057,1.0,0.5655534863471985,0.21967428922653198,0.27214378118515015,0.3895993232727051,0.265255331993103,0.43078693747520447,0.2759162187576294,0.30942749977111816,0.35714471340179443,0.3826591968536377,0.29724663496017456,0.24591213464736938
many,0.36563900113105774,0.4993700683116913,0.5655534863471985,0.9999999403953552,0.271828830242157,0.3291480243206024,0.40972793102264404,0.2872205972671509,0.5883727073669434,0.3862690329551697,0.3319723308086395,0.32872581481933594,0.4070141911506653,0.36131182312965393,0.2124512493610382
workers,0.17852024734020233,0.21683305501937866,0.21967428922653198,0.271828830242157,1.0000001192092896,0.2097894698381424,0.2527289092540741,0.25033822655677795,0.20546524226665497,0.45520082116127014,0.2151886522769928,0.11862880736589432,0.18478275835514069,0.21390831470489502,0.1706571877002716
willing,0.27842965722084045,0.3014701306819916,0.22297969460487366,0.2556140422821045,0.2843675911426544,0.2744743227958679,0.3350007236003876,0.29028499126434326,0.36130982637405396,0.31982898712158203,0.2269887626171112,0.24721740186214447,0.2927168607711792,0.4653003215789795,0.4091795086860657
to,0.5423505902290344,0.40669289231300354,0.3504326641559601,0.40243685245513916,0.2307046800851822,0.17591790854930878,0.4451248347759247,0.45503583550453186,0.36415213346481323,0.29148486256599426,0.3691340684890747,0.2954166829586029,0.42092081904411316,0.455847829580307,0.29463258385658264
work,0.2500542998313904,0.235924631357193,0.26678818464279175,0.3578229546546936,0.3850453495979309,0.23425987362861633,0.4087657630443573,0.266241192817688,0.253269761800766,0.4649413228034973,0.19636286795139313,0.23064734041690826,0.32418152689933777,0.3762225806713104,0.2621155381202698
a,0.44397395849227905,0.4214206337928772,0.265255331993103,0.2872205972671509,0.25033822655677795,0.18894045054912567,0.44038116931915283,1.0,0.2765968441963196,0.23724274337291718,0.4424409866333008,0.36109375953674316,0.39550232887268066,0.3320399522781372,0.23916715383529663
large,0.2779814898967743,0.34902602434158325,0.3467932939529419,0.42789679765701294,0.2584909498691559,0.18269431591033936,0.22967137396335602,0.3740714490413666,0.3263097405433655,0.2561507225036621,0.32899510860443115,0.18257629871368408,0.24282054603099823,0.2017821967601776,0.1355665624141693
amount,0.33989670872688293,0.2715611755847931,0.2873819172382355,0.36071112751960754,0.18263402581214905,0.17650488018989563,0.3007623255252838,0.3439450263977051,0.3166322410106659,0.2213815599679947,0.3437769114971161,0.22095051407814026,0.19476667046546936,0.2602839767932892,0.17984020709991455
of,0.3757161796092987,0.44397735595703125,0.39081433415412903,0.37253960967063904,0.20827822387218475,0.19861507415771484,0.4185989499092102,0.5052502155303955,0.2682102620601654,0.27215415239334106,0.48690423369407654,0.4190242290496826,0.3886612355709076,0.33290785551071167,0.1826142966747284
time,0.4363728165626526,0.3047161102294922,0.24188680946826935,0.3523001968860626,0.22932037711143494,0.27425819635391235,0.3992156386375427,0.3292340338230133,0.3241630494594574,0.27973681688308716,0.2819722294807434,0.2660984396934509,0.3239102065563202,0.36319252848625183,0.27391523122787476
