,where,was,luther,'s,last,sermon,preached,?
his,0.29880598187446594,0.4405253231525421,0.27093374729156494,0.047556519508361816,0.2789236307144165,0.23734797537326813,0.27258726954460144,0.18075084686279297
last,0.21206308901309967,0.32424551248550415,0.18467779457569122,0.03682802617549896,1.0,0.20507968962192535,0.19158250093460083,0.22371746599674225
sermon,0.17271114885807037,0.20237168669700623,0.36996790766716003,-0.029223140329122543,0.20507968962192535,1.0000001192092896,0.5749998092651367,0.24739065766334534
was,0.20731619000434875,1.0000001192092896,0.19185513257980347,0.008974763564765453,0.32424551248550415,0.20237168669700623,0.29532238841056824,0.18412111699581146
delivered,0.16671401262283325,0.2562667727470398,0.13911612331867218,-0.03827277198433876,0.22820520401000977,0.2494451254606247,0.28344783186912537,0.17044389247894287
at,0.4402937591075897,0.36707764863967896,0.13834704458713531,-0.08481216430664062,0.2946198880672455,0.23727789521217346,0.22586999833583832,0.21978627145290375
eisleben,0.1478365659713745,0.2786927819252014,0.4205946624279022,0.07174985855817795,0.2096126675605774,0.32589325308799744,0.3318515121936798,0.19898785650730133
",",0.3149496018886566,0.45456063747406006,0.23255878686904907,-0.0016132977325469255,0.29026782512664795,0.25290775299072266,0.24778087437152863,0.31091248989105225
his,0.29880598187446594,0.4405253231525421,0.27093374729156494,0.047556519508361816,0.2789236307144165,0.23734797537326813,0.27258726954460144,0.18075084686279297
place,0.4786618947982788,0.26867109537124634,0.1430625468492508,-0.03236493840813637,0.2233041673898697,0.18787842988967896,0.19408194720745087,0.2455766350030899
of,0.38066378235816956,0.4069072902202606,0.1719115972518921,-0.03817026689648628,0.3052992522716522,0.23472066223621368,0.1946892887353897,0.1826142966747284
birth,0.199064239859581,0.17733189463615417,0.1007089912891388,-0.017712045460939407,0.22945526242256165,0.27877089381217957,0.16325244307518005,0.10080231726169586
",",0.3149496018886566,0.45456063747406006,0.23255878686904907,-0.0016132977325469255,0.29026782512664795,0.25290775299072266,0.24778087437152863,0.31091248989105225
on,0.37630224227905273,0.3909217119216919,0.19090485572814941,0.0026888418942689896,0.2517152428627014,0.2608969807624817,0.2502245604991913,0.2714994251728058
15,0.01988261193037033,0.08381640166044235,0.08575411885976791,0.012974794954061508,0.0027976317796856165,-0.050345614552497864,0.03980995714664459,-0.010706285014748573
february,0.18131472170352936,0.446986585855484,0.14333194494247437,-0.056284528225660324,0.22311446070671082,0.14323370158672333,0.1473970115184784,0.29594847559928894
1546,0.10180391371250153,0.15838901698589325,0.03921762481331825,-0.013147372752428055,-0.020177878439426422,0.0012422078289091587,0.08173064142465591,-0.004786801990121603
",",0.3149496018886566,0.45456063747406006,0.23255878686904907,-0.0016132977325469255,0.29026782512664795,0.25290775299072266,0.24778087437152863,0.31091248989105225
three,0.25543931126594543,0.2748996615409851,0.15010327100753784,0.03946888819336891,0.23876327276229858,0.15661245584487915,0.14121617376804352,0.20928427577018738
days,0.17151492834091187,0.2985812723636627,0.13727988302707672,0.08848981559276581,0.3330630362033844,0.188007190823555,0.1877606362104416,0.2198754847049713
before,0.37386465072631836,0.38607707619667053,0.18152235448360443,-0.01158253662288189,0.4677324891090393,0.23658140003681183,0.22740402817726135,0.2507109045982361
his,0.29880598187446594,0.4405253231525421,0.27093374729156494,0.047556519508361816,0.2789236307144165,0.23734797537326813,0.27258726954460144,0.18075084686279297
death,0.166978120803833,0.28516459465026855,0.15764257311820984,0.07207932323217392,0.28327223658561707,0.2737405598163605,0.24145233631134033,0.21149799227714539
.,0.41390106081962585,0.40146201848983765,0.24907569587230682,-0.003708066651597619,0.3548945486545563,0.23411345481872559,0.24330656230449677,0.4130953550338745
