,gamma,delta,t,cells,rearrange,tcr,genes,to,produce,what,?
on,0.1770736426115036,0.23114003241062164,0.24407607316970825,0.14727668464183807,0.1802617460489273,0.1856408566236496,0.1533874273300171,0.41031414270401,0.1774439811706543,0.34226128458976746,0.2714994251728058
one,0.21794132888317108,0.20859019458293915,0.24080070853233337,0.19492670893669128,0.2168073058128357,0.2225424349308014,0.22354759275913239,0.4025384783744812,0.20605838298797607,0.376489520072937,0.2673267424106598
hand,0.12286952883005142,0.09771078824996948,0.15996195375919342,0.22712941467761993,0.2599903345108032,0.14016671478748322,0.21353860199451447,0.29793334007263184,0.23787763714790344,0.26703396439552307,0.20656698942184448
",",0.22314341366291046,0.2192559540271759,0.31002363562583923,0.20582014322280884,0.24682718515396118,0.23682409524917603,0.1833837628364563,0.44245919585227966,0.19927625358104706,0.3087472915649414,0.31091248989105225
γδ,-0.021495308727025986,-0.0043403347954154015,0.09449943900108337,-0.028628746047616005,0.0163108017295599,-0.11761704087257385,-0.034546297043561935,-0.13097596168518066,-0.01518345158547163,-0.08154492825269699,0.07116200774908066
t,0.1944318413734436,0.12643550336360931,0.9999999403953552,0.25527921319007874,0.2809329330921173,0.3235938847064972,0.21887516975402832,0.30417174100875854,0.22578568756580353,0.37454068660736084,0.4954066574573517
cells,0.2772672772407532,0.14615286886692047,0.25527921319007874,1.0,0.3569484055042267,0.32322657108306885,0.4727623164653778,0.26320719718933105,0.38649609684944153,0.1758001297712326,0.1898086667060852
are,0.182545468211174,0.13288050889968872,0.2180873155593872,0.2908284366130829,0.26623663306236267,0.2354518324136734,0.27272170782089233,0.3504326641559601,0.3308704197406769,0.29724663496017456,0.24591213464736938
a,0.28735125064849854,0.20749913156032562,0.2456076741218567,0.2297232300043106,0.26125437021255493,0.2230403572320938,0.17779681086540222,0.45503583550453186,0.2757846415042877,0.3320399522781372,0.23916715383529663
component,0.2552286982536316,0.12481427937746048,0.12920191884040833,0.3447210192680359,0.30746468901634216,0.35434067249298096,0.30791401863098145,0.24541009962558746,0.2968020737171173,0.19980107247829437,0.14409896731376648
