,when,was,the,current,parliament,of,scotland,convened,?
following,0.3263498842716217,0.16493390500545502,0.39779382944107056,0.2454678863286972,0.1793711930513382,0.3576679527759552,0.17866036295890808,0.1989748477935791,0.1555173695087433
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.1987239569425583,0.22951169312000275,0.5052502155303955,0.2106660157442093,0.2057645469903946,0.23916715383529663
referendum,0.17355266213417053,0.24151557683944702,0.2520652413368225,0.22700993716716766,0.5673837661743164,0.21849936246871948,0.3251388967037201,0.32165512442588806,0.18056513369083405
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.1955713927745819,0.2323146015405655,0.5696388483047485,0.24716059863567352,0.20696963369846344,0.20430970191955566
1997,-0.03653284162282944,-0.11245216429233551,0.017451778054237366,0.008451803587377071,0.044171590358018875,-0.0036389639135450125,-0.07580269128084183,-0.013365992344915867,0.03663474693894386
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.29341426491737366,0.25442883372306824,0.4946078956127167,0.21124857664108276,0.20418283343315125,0.31091248989105225
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.1955713927745819,0.2323146015405655,0.5696388483047485,0.24716059863567352,0.20696963369846344,0.20430970191955566
which,0.572554349899292,0.2830964922904968,0.6521818041801453,0.20667576789855957,0.20252443850040436,0.5011631846427917,0.23217903077602386,0.2442733645439148,0.25814583897590637
the,0.5091903209686279,0.48711544275283813,1.0,0.3314409554004669,0.26521381735801697,0.733189046382904,0.23846951127052307,0.2804921269416809,0.22068053483963013
scottish,0.12086563557386398,0.20229777693748474,0.21724988520145416,0.1429591029882431,0.3418616056442261,0.1698460429906845,0.667405903339386,0.2306669056415558,0.06442669779062271
electorate,0.14022696018218994,0.23178118467330933,0.23709100484848022,0.17072662711143494,0.582563579082489,0.3167199194431305,0.24505667388439178,0.25591930747032166,0.1467054933309555
voted,0.16867898404598236,0.3353792428970337,0.3015371859073639,0.22050465643405914,0.3447795808315277,0.25903964042663574,0.2075924277305603,0.23415711522102356,0.22732289135456085
for,0.43402108550071716,0.3863949179649353,0.4739971458911896,0.27481377124786377,0.23382046818733215,0.4185989499092102,0.2155212014913559,0.24501663446426392,0.264628142118454
devolution,0.19207695126533508,0.26426929235458374,0.3272518813610077,0.19980956614017487,0.4072609841823578,0.3624095916748047,0.27149128913879395,0.2866821885108948,0.21433620154857635
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.29341426491737366,0.25442883372306824,0.4946078956127167,0.21124857664108276,0.20418283343315125,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,1.0,0.3314409554004669,0.26521381735801697,0.733189046382904,0.23846951127052307,0.2804921269416809,0.22068053483963013
current,0.23252347111701965,0.20140352845191956,0.3314409554004669,1.0,0.22191596031188965,0.31470298767089844,0.13545569777488708,0.18736323714256287,0.12074550241231918
