,what,were,the,origins,of,the,raouliii,family,?
several,0.22446060180664062,0.3978578448295593,0.40559855103492737,0.1588420420885086,0.3271615505218506,0.40559855103492737,0.20547346770763397,0.2516409754753113,0.15595775842666626
families,0.17109867930412292,0.33527106046676636,0.26391902565956116,0.21760529279708862,0.2529911398887634,0.26391902565956116,0.253220796585083,0.6758413910865784,0.14422203600406647
of,0.33290785551071167,0.34038281440734863,0.733189046382904,0.2670811712741852,1.0,0.733189046382904,0.2739048898220062,0.1893671154975891,0.1826142966747284
byzantine,0.14889906346797943,0.19073346257209778,0.20800244808197021,0.14924770593643188,0.20621167123317719,0.20800244808197021,0.34669941663742065,0.09591154754161835,0.21581105887889862
greece,0.14225120842456818,0.2068873643875122,0.26573094725608826,0.1471613645553589,0.28056496381759644,0.26573094725608826,0.2483522593975067,0.061604127287864685,0.10547919571399689
were,0.22298263013362885,1.0000001192092896,0.3906462490558624,0.18461564183235168,0.34038281440734863,0.3906462490558624,0.2511219382286072,0.19354695081710815,0.17890112102031708
of,0.33290785551071167,0.34038281440734863,0.733189046382904,0.2670811712741852,1.0,0.733189046382904,0.2739048898220062,0.1893671154975891,0.1826142966747284
norman,0.12319435924291611,0.1889636218547821,0.23459704220294952,0.2732622027397156,0.15827171504497528,0.23459704220294952,0.3473111689090729,0.19860868155956268,0.12243545055389404
mercenary,0.15971140563488007,0.2334093153476715,0.2717151641845703,0.24150578677654266,0.2985381782054901,0.2717151641845703,0.3827875256538391,0.1517273336648941,0.08687260001897812
origin,0.20149369537830353,0.1711108535528183,0.24161343276500702,0.6893133521080017,0.23941168189048767,0.24161343276500702,0.20889738202095032,0.21907228231430054,0.12716172635555267
during,0.24137552082538605,0.4064035415649414,0.4838213622570038,0.21648705005645752,0.3869180977344513,0.4838213622570038,0.24386592209339142,0.19809646904468536,0.1325719803571701
the,0.42745697498321533,0.3906462490558624,1.0,0.2890577018260956,0.733189046382904,1.0,0.2576092481613159,0.2394849956035614,0.22068053483963013
period,0.24507179856300354,0.2902187407016754,0.3125074505805969,0.1918397843837738,0.2698146104812622,0.3125074505805969,0.16717372834682465,0.12361562997102737,0.18706195056438446
of,0.33290785551071167,0.34038281440734863,0.733189046382904,0.2670811712741852,1.0,0.733189046382904,0.2739048898220062,0.1893671154975891,0.1826142966747284
