,which,president,ended,the,emergency,energy,conservation,act,?
[,0.07771235704421997,0.02316899597644806,0.1131286770105362,0.07130392640829086,0.2076421082019806,0.15369202196598053,0.04409348592162132,0.07060564309358597,0.011015460826456547
citation,0.26387810707092285,0.1939030885696411,0.11172962933778763,0.2536581754684448,0.22507457435131073,0.2252645045518875,0.1760498434305191,0.11800327897071838,0.3382055461406708
needed,0.3787943422794342,0.14605671167373657,0.26943284273147583,0.3064746856689453,0.3305494487285614,0.2959649860858917,0.19657519459724426,0.19031214714050293,0.2863257825374603
],-0.0305959302932024,0.05750119313597679,-0.04602643847465515,-0.04779602214694023,-0.05449894070625305,0.04994634538888931,-0.01617821678519249,-0.012444280087947845,-0.0022520492784678936
on,0.4245251417160034,0.18996542692184448,0.3346478044986725,0.5107308030128479,0.219890758395195,0.15102268755435944,0.18406294286251068,0.17222115397453308,0.2714994251728058
november,0.1497906893491745,0.29883402585983276,0.24827636778354645,0.25734350085258484,0.19890810549259186,0.08048133552074432,0.06778869032859802,0.08718066662549973,0.3159552216529846
28,-0.29609644412994385,-0.08269699662923813,-0.17048032581806183,-0.31177106499671936,-0.1790638118982315,0.033100321888923645,-0.08409741520881653,-0.18053510785102844,-0.012856917455792427
",",0.3658004403114319,0.26552814245224,0.2682836353778839,0.4933079481124878,0.21387320756912231,0.21156731247901917,0.23182041943073273,0.1787904053926468,0.31091248989105225
1995,-0.0996370017528534,0.10571470856666565,0.09721952676773071,-0.025311529636383057,0.000966797408182174,-0.055532440543174744,-0.036911264061927795,-0.05870663747191429,0.14293554425239563
",",0.3658004403114319,0.26552814245224,0.2682836353778839,0.4933079481124878,0.21387320756912231,0.21156731247901917,0.23182041943073273,0.1787904053926468,0.31091248989105225
bill,0.17367671430110931,0.26540154218673706,0.2013482302427292,0.24155211448669434,0.1536722034215927,0.08768043667078018,0.11133311688899994,0.3130364418029785,0.12855131924152374
