,what,was,a,similar,view,about,the,asian,continent,called,?
similarly,0.2804308831691742,0.22495980560779572,0.35854077339172363,0.7020244002342224,0.15925318002700806,0.24078240990638733,0.33859682083129883,0.16358023881912231,0.2474604994058609,0.31488314270973206,0.23036029934883118
",",0.3087472915649414,0.45456063747406006,0.427140474319458,0.29403579235076904,0.216712087392807,0.3877100944519043,0.4933079481124878,0.21664521098136902,0.22622181475162506,0.26549121737480164,0.31091248989105225
orientalism,0.17770566046237946,0.20264385640621185,0.20197629928588867,0.17149770259857178,0.2571782171726227,0.16900372505187988,0.19308865070343018,0.31385189294815063,0.21830707788467407,0.25452500581741333,0.11607802659273148
is,0.28837618231773376,0.5810302495956421,0.658733606338501,0.28929588198661804,0.2251286506652832,0.3532065451145172,0.5823672413825989,0.17223115265369415,0.1915033459663391,0.430266410112381,0.22961433231830597
a,0.3320399522781372,0.4508470594882965,1.0,0.34790337085723877,0.22168859839439392,0.34171196818351746,0.5829201340675354,0.17434273660182953,0.15280993282794952,0.4868806302547455,0.23916715383529663
view,0.2818201184272766,0.1727466583251953,0.22168859839439392,0.13057412207126617,1.0,0.21541373431682587,0.25610461831092834,0.12135399878025055,0.14452868700027466,0.13726985454559326,0.17672975361347198
of,0.33290785551071167,0.4069072902202606,0.5052502155303955,0.2911645472049713,0.21446028351783752,0.40939709544181824,0.733189046382904,0.24605733156204224,0.2647381126880646,0.4222904443740845,0.1826142966747284
a,0.3320399522781372,0.4508470594882965,1.0,0.34790337085723877,0.22168859839439392,0.34171196818351746,0.5829201340675354,0.17434273660182953,0.15280993282794952,0.4868806302547455,0.23916715383529663
people,0.32444337010383606,0.2518421411514282,0.3483705520629883,0.2206101268529892,0.20539064705371857,0.394355833530426,0.36838498711586,0.17167462408542633,0.18009337782859802,0.25904586911201477,0.23739641904830933
based,0.274813175201416,0.2870393395423889,0.2977409064769745,0.3686768710613251,0.18109947443008423,0.32365140318870544,0.29860720038414,0.12306619435548782,0.19027094542980194,0.31727442145347595,0.134929820895195
on,0.34226128458976746,0.3909217119216919,0.3848365545272827,0.23418132960796356,0.2377469688653946,0.322975218296051,0.5107308030128479,0.1412145048379898,0.2305159717798233,0.25462663173675537,0.2714994251728058
their,0.35142919421195984,0.2396296262741089,0.29698723554611206,0.2997264862060547,0.15401870012283325,0.25792208313941956,0.516537070274353,0.19858533143997192,0.2090439349412918,0.33472323417663574,0.1898253709077835
geographical,0.2645968794822693,0.11450415849685669,0.2406260073184967,0.24136914312839508,0.28542912006378174,0.2675912082195282,0.3164447844028473,0.23938241600990295,0.36011195182800293,0.15846990048885345,0.1692802608013153
location,0.2507282793521881,0.1839360147714615,0.22079749405384064,0.14875297248363495,0.23265406489372253,0.2020425647497177,0.351087361574173,0.0795884057879448,0.2585529386997223,0.10381856560707092,0.15759775042533875
.,0.3567904531955719,0.40146201848983765,0.50484299659729,0.306670606136322,0.23733025789260864,0.42038556933403015,0.5934505462646484,0.2310253083705902,0.2553567588329315,0.300344854593277,0.4130953550338745
