,what,kind,of,media,can,references,to,tesla,be,found,in
tesla,0.23221199214458466,0.20704586803913116,0.18837453424930573,0.23083125054836273,0.19812452793121338,0.11535138636827469,0.17548894882202148,0.9999999403953552,0.15180771052837372,0.052854783833026886,0.17097744345664978
's,0.02692362666130066,0.046514540910720825,-0.03817026689648628,0.07690927386283875,-0.02075597457587719,0.0249465461820364,0.03782717138528824,0.06449045985937119,0.025217169895768166,0.005866709165275097,-0.037580832839012146
legacy,0.20674706995487213,0.15894779562950134,0.18103131651878357,0.11364787817001343,0.08331681042909622,0.22711575031280518,0.24034099280834198,0.16563083231449127,0.12569229304790497,0.045492712408304214,0.13235178589820862
has,0.20338068902492523,0.25336754322052,0.3909035325050354,0.22855450212955475,0.4103628396987915,0.20911692082881927,0.3619994819164276,0.14853088557720184,0.3863394856452942,0.21070325374603271,0.4173259735107422
endured,0.2333250492811203,0.254236102104187,0.24331149458885193,0.14038901031017303,0.26501917839050293,0.25263750553131104,0.2625808119773865,0.1464666724205017,0.35058239102363586,0.15996171534061432,0.23398400843143463
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.19773486256599426,0.26527702808380127,0.21304915845394135,0.45010748505592346,0.17097744345664978,0.3481820821762085,0.39141854643821716,1.0
books,0.2542080581188202,0.14178402721881866,0.18863578140735626,0.26489076018333435,0.1899169683456421,0.37539348006248474,0.20019930601119995,0.1716867834329605,0.17155537009239197,0.16031676530838013,0.250139981508255
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.23135341703891754,0.3139454126358032,0.2993101179599762,0.44245919585227966,0.20599327981472015,0.39254459738731384,0.27385151386260986,0.5201468467712402
films,0.19852851331233978,0.150786355137825,0.2151229828596115,0.3467102646827698,0.15940213203430176,0.26326650381088257,0.1500503271818161,0.15895511209964752,0.14519648253917694,0.1264064610004425,0.19618625938892365
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.23135341703891754,0.3139454126358032,0.2993101179599762,0.44245919585227966,0.20599327981472015,0.39254459738731384,0.27385151386260986,0.5201468467712402
radio,0.16863368451595306,0.15154007077217102,0.16079017519950867,0.3141340911388397,0.17018121480941772,0.16105613112449646,0.16918617486953735,0.2212681919336319,0.16669291257858276,0.13794533908367157,0.22625693678855896
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.23135341703891754,0.3139454126358032,0.2993101179599762,0.44245919585227966,0.20599327981472015,0.39254459738731384,0.27385151386260986,0.5201468467712402
tv,0.20700684189796448,0.13425065577030182,0.19364769756793976,0.34889090061187744,0.1896967589855194,0.19092443585395813,0.1854887306690216,0.22367510199546814,0.19157755374908447,0.09316224604845047,0.17989183962345123
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.23135341703891754,0.3139454126358032,0.2993101179599762,0.44245919585227966,0.20599327981472015,0.39254459738731384,0.27385151386260986,0.5201468467712402
music,0.23070453107357025,0.21632447838783264,0.25892743468284607,0.3441527485847473,0.1533241868019104,0.22185376286506653,0.24181292951107025,0.2037222683429718,0.22172072529792786,0.09812745451927185,0.22969312965869904
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.23135341703891754,0.3139454126358032,0.2993101179599762,0.44245919585227966,0.20599327981472015,0.39254459738731384,0.27385151386260986,0.5201468467712402
live,0.20532001554965973,0.13914313912391663,0.27734068036079407,0.13639988005161285,0.21473845839500427,0.13713552057743073,0.298321396112442,0.02492496743798256,0.18831217288970947,0.22474323213100433,0.3068392276763916
theater,0.1395484209060669,0.09137917309999466,0.19138707220554352,0.2087143510580063,0.10234415531158447,0.12202341854572296,0.1754733920097351,0.1540229767560959,0.16367870569229126,0.07437525689601898,0.3081531822681427
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.23135341703891754,0.3139454126358032,0.2993101179599762,0.44245919585227966,0.20599327981472015,0.39254459738731384,0.27385151386260986,0.5201468467712402
comics,0.18275395035743713,0.14329800009727478,0.22813661396503448,0.20218458771705627,0.10198058933019638,0.1904813051223755,0.1606713980436325,0.1365680694580078,0.17000985145568848,0.07631076127290726,0.14025413990020752
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.28782835602760315,0.3675691485404968,0.27511847019195557,0.48971283435821533,0.19560420513153076,0.41766801476478577,0.27978911995887756,0.4954058527946472
video,0.1880173683166504,0.20651569962501526,0.20452004671096802,0.33708396553993225,0.1820659041404724,0.19854964315891266,0.18658137321472168,0.19520419836044312,0.20588204264640808,0.16384842991828918,0.20259293913841248
games,0.1820194572210312,0.11576267331838608,0.2499092072248459,0.22697322070598602,0.18153783679008484,0.1942056268453598,0.23381441831588745,0.12801896035671234,0.18187981843948364,0.11251860111951828,0.24802106618881226
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.2313707321882248,0.35783761739730835,0.2561616599559784,0.4645031690597534,0.17949827015399933,0.4383580684661865,0.3618174195289612,0.5591574311256409
