,how,was,the,school,able,to,bring,aboard,the,best,talented,students,?
he,0.2594625651836395,0.5410010814666748,0.4571082592010498,0.3274155557155609,0.27207711338996887,0.385390967130661,0.21812371909618378,0.24101407825946808,0.4571082592010498,0.29515305161476135,0.3870898187160492,0.27384498715400696,0.2089974731206894
saw,0.2513699233531952,0.42132335901260376,0.318278044462204,0.19427703320980072,0.2577027976512909,0.2710057497024536,0.2500709295272827,0.19709904491901398,0.318278044462204,0.18422533571720123,0.2943960130214691,0.14182093739509583,0.14690998196601868
higher,0.2273179441690445,0.12998951971530914,0.3292480409145355,0.24293676018714905,0.27834033966064453,0.3279348313808441,0.2046472579240799,0.14898547530174255,0.3292480409145355,0.16092102229595184,0.20443224906921387,0.28457292914390564,0.15679465234279633
education,0.12444977462291718,0.23187610507011414,0.23982903361320496,0.5861870050430298,0.12850606441497803,0.2626708149909973,0.16411074995994568,0.14546175301074982,0.23982903361320496,0.1685066521167755,0.31882745027542114,0.5498206615447998,0.18067774176597595
as,0.33782753348350525,0.3677520453929901,0.48381632566452026,0.2065676748752594,0.24929028749465942,0.42092081904411316,0.2474443018436432,0.16229231655597687,0.48381632566452026,0.32800307869911194,0.3066237270832062,0.2101105898618698,0.27043893933296204
a,0.29312583804130554,0.4508470594882965,0.5829201340675354,0.2245093584060669,0.2874686121940613,0.45503583550453186,0.2624867260456085,0.14129357039928436,0.5829201340675354,0.2547774314880371,0.22772449254989624,0.2676560878753662,0.23916715383529663
vehicle,0.24225780367851257,0.18102683126926422,0.20434843003749847,0.09205929934978485,0.18253232538700104,0.26649773120880127,0.22299692034721375,0.2941187024116516,0.20434843003749847,0.09215660393238068,0.11883653700351715,0.17831657826900482,0.16397647559642792
of,0.2480744868516922,0.4069072902202606,0.733189046382904,0.2391800880432129,0.23883962631225586,0.41548454761505127,0.300091028213501,0.20117849111557007,0.733189046382904,0.23660683631896973,0.16478027403354645,0.25513339042663574,0.1826142966747284
opportunity,0.31730061769485474,0.1782187968492508,0.2641824185848236,0.2109244167804718,0.40589049458503723,0.376086562871933,0.30591386556625366,0.21150095760822296,0.2641824185848236,0.19537314772605896,0.3361550271511078,0.31678521633148193,0.19524551928043365
for,0.3308170735836029,0.3863949179649353,0.4739971458911896,0.18618352711200714,0.2947812080383301,0.4451248347759247,0.28238824009895325,0.2158517837524414,0.4739971458911896,0.45128104090690613,0.2872461676597595,0.2460945099592209,0.264628142118454
the,0.33890387415885925,0.48711544275283813,1.0,0.22953221201896667,0.3435857892036438,0.535392165184021,0.31620702147483826,0.2512768507003784,1.0,0.3134109377861023,0.17804895341396332,0.25268980860710144,0.22068053483963013
