,when,was,the,edict,of,worms,presented,?
the,0.5091903209686279,0.48711544275283813,1.0,0.17931364476680756,0.733189046382904,0.22492028772830963,0.3251480758190155,0.22068053483963013
emperor,0.18443609774112701,0.2147601991891861,0.2871226370334625,0.45200514793395996,0.2615426778793335,0.19956737756729126,0.11966820061206818,0.19661661982536316
presented,0.17158125340938568,0.2883085608482361,0.3251480758190155,0.16264572739601135,0.30231305956840515,0.10814366489648819,1.0,0.17025142908096313
the,0.5091903209686279,0.48711544275283813,1.0,0.17931364476680756,0.733189046382904,0.22492028772830963,0.3251480758190155,0.22068053483963013
final,0.235932394862175,0.23547481000423431,0.3543182611465454,0.19643276929855347,0.24563951790332794,0.07679961621761322,0.2774543762207031,0.17315025627613068
draft,0.22716832160949707,0.22196774184703827,0.2136591076850891,0.19539302587509155,0.1597527265548706,0.08555666357278824,0.14780698716640472,0.1941390335559845
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2533416450023651,1.0,0.18906788527965546,0.30231305956840515,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.17931364476680756,0.733189046382904,0.22492028772830963,0.3251480758190155,0.22068053483963013
edict,0.22003233432769775,0.20409467816352844,0.17931364476680756,0.9999999403953552,0.2533416450023651,0.13133244216442108,0.16264572739601135,0.16218337416648865
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2533416450023651,1.0,0.18906788527965546,0.30231305956840515,0.1826142966747284
worms,0.14841488003730774,0.12460984289646149,0.22492028772830963,0.13133244216442108,0.18906788527965546,1.0,0.10814366489648819,0.18053190410137177
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.1713172197341919,0.3966929316520691,0.21352466940879822,0.2615085244178772,0.2714994251728058
25,0.13606321811676025,0.15615400671958923,0.1671934723854065,0.14057379961013794,0.13541533052921295,0.06395652890205383,0.12481696903705597,0.09614268690347672
may,0.3167054355144501,0.3388521671295166,0.2694292366504669,0.12179074436426163,0.26447007060050964,0.2061220407485962,0.27008071541786194,0.2768254578113556
1521,0.20012322068214417,0.25117936730384827,0.18627284467220306,0.1361350566148758,0.10520750284194946,-0.0740685909986496,0.11678541451692581,0.0046399421989917755
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.14357776939868927,0.4946078956127167,0.25400060415267944,0.28443270921707153,0.31091248989105225
declaring,0.3029918074607849,0.18806999921798706,0.28212109208106995,0.3575727045536041,0.3457174301147461,0.1248071938753128,0.27035507559776306,0.22835050523281097
luther,0.14516782760620117,0.19185513257980347,0.1759674996137619,0.21338587999343872,0.1719115972518921,0.2998431622982025,0.15171067416667938,0.1732746809720993
an,0.33026179671287537,0.3694365322589874,0.4207492768764496,0.09344249963760376,0.32280945777893066,0.10635863989591599,0.21940281987190247,0.19793890416622162
outlaw,0.1985464245080948,0.24841554462909698,0.19308044016361237,0.19119228422641754,0.2101694494485855,0.07887572050094604,0.08586574345827103,0.14853423833847046
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.14357776939868927,0.4946078956127167,0.25400060415267944,0.28443270921707153,0.31091248989105225
banning,0.2636432945728302,0.22847393155097961,0.29577088356018066,0.30254560708999634,0.27250245213508606,0.16894811391830444,0.18833909928798676,0.31657904386520386
