,what,kind,of,division,of,power,did,kublai,'s,government,have,?
this,0.5489566326141357,0.4221852123737335,0.45148900151252747,0.18374662101268768,0.45148900151252747,0.24943022429943085,0.3609912693500519,0.2806724011898041,0.02106832154095173,0.28444379568099976,0.4660032093524933,0.3155723512172699
government,0.28074538707733154,0.15064316987991333,0.3475167155265808,0.1793375313282013,0.3475167155265808,0.3452511131763458,0.2792121469974518,0.3054119348526001,0.00033092309604398906,1.0000001192092896,0.23351164162158966,0.18851417303085327
adopted,0.1504661738872528,0.09100718051195145,0.25312307476997375,0.10770343989133835,0.25312307476997375,0.1643720120191574,0.18617329001426697,0.24448831379413605,-0.03255033865571022,0.19915498793125153,0.20259642601013184,0.14235380291938782
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.26203617453575134,0.733189046382904,0.2647338807582855,0.34736719727516174,0.32886171340942383,-0.01540423184633255,0.31798112392425537,0.40389683842658997,0.22068053483963013
traditional,0.20066824555397034,0.29596060514450073,0.32287317514419556,0.13986918330192566,0.32287317514419556,0.20799747109413147,0.17380854487419128,0.2169031798839569,0.05243854969739914,0.2621394097805023,0.23721662163734436,0.1327509582042694
chinese,0.11643128097057343,0.15281738340854645,0.24275560677051544,0.09712665528059006,0.24275560677051544,0.11903925240039825,0.19065357744693756,0.38022753596305847,0.01673142798244953,0.28498339653015137,0.24307501316070557,0.20843194425106049
tripartite,0.2369886040687561,0.12772177159786224,0.312917560338974,0.22968603670597076,0.312917560338974,0.24324995279312134,0.1983107179403305,0.3522951900959015,0.09536733478307724,0.2987726926803589,0.2365373969078064,0.09623775631189346
division,0.19144181907176971,0.135162353515625,0.23579144477844238,1.0,0.23579144477844238,0.11709431558847427,0.14262770116329193,0.16830623149871826,-0.006703963968902826,0.1793375313282013,0.17396382987499237,0.08900629729032516
of,0.33290785551071167,0.2285657674074173,1.0,0.23579144477844238,1.0,0.25273123383522034,0.2513895630836487,0.231930211186409,-0.03817026689648628,0.3475167155265808,0.3802283704280853,0.1826142966747284
authority,0.23046736419200897,0.10117361694574356,0.28063252568244934,0.16292409598827362,0.28063252568244934,0.3530186414718628,0.23189641535282135,0.166742742061615,0.019309991970658302,0.46816176176071167,0.2106427103281021,0.18404170870780945
among,0.21154822409152985,0.21022847294807434,0.3679063022136688,0.13962478935718536,0.3679063022136688,0.20987091958522797,0.2415449470281601,0.13360291719436646,0.01186611782759428,0.2070615142583847,0.3610895574092865,0.14343059062957764
civil,0.15091551840305328,0.08325619250535965,0.24698495864868164,0.1886085569858551,0.24698495864868164,0.1645406037569046,0.17288750410079956,0.13813167810440063,-0.06354409456253052,0.30626749992370605,0.16153892874717712,0.1494513899087906
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.24344468116760254,0.4946078956127167,0.2231994867324829,0.3015086054801941,0.2569756805896759,-0.0016132977325469255,0.27344048023223877,0.3541618287563324,0.31091248989105225
military,0.18809624016284943,0.16174788773059845,0.27347031235694885,0.1735164374113083,0.27347031235694885,0.3317231833934784,0.17979979515075684,0.278876394033432,0.0309983491897583,0.5005595684051514,0.21110375225543976,0.1890317052602768
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.24344468116760254,0.4946078956127167,0.2231994867324829,0.3015086054801941,0.2569756805896759,-0.0016132977325469255,0.27344048023223877,0.3541618287563324,0.31091248989105225
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.23460866510868073,0.5116966962814331,0.27496716380119324,0.34479495882987976,0.25078991055488586,0.06895173341035843,0.2859337627887726,0.4711785912513733,0.20544172823429108
censorial,0.39070773124694824,0.19762539863586426,0.28632766008377075,0.17014552652835846,0.28632766008377075,0.23544341325759888,0.24039141833782196,0.1791749745607376,0.012715437449514866,0.34507420659065247,0.329309344291687,0.3440381586551666
offices,0.1431061029434204,0.10598134994506836,0.24565665423870087,0.22694943845272064,0.24565665423870087,0.24198128283023834,0.1992402821779251,0.18649393320083618,-0.05045764520764351,0.4370737075805664,0.2129087597131729,0.10076487064361572
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.24344468116760254,0.4946078956127167,0.2231994867324829,0.3015086054801941,0.2569756805896759,-0.0016132977325469255,0.27344048023223877,0.3541618287563324,0.31091248989105225
