,when,is,the,members,debate,held,?
immediately,0.513379693031311,0.21081224083900452,0.39876270294189453,0.21281220018863678,0.17574335634708405,0.10005075484514236,0.21004259586334229
after,0.5331412553787231,0.2835143506526947,0.4565047025680542,0.2411569207906723,0.2008908987045288,0.22166801989078522,0.16608688235282898
decision,0.2485322803258896,0.2514069080352783,0.2905151844024658,0.2454170286655426,0.35886701941490173,0.264911025762558,0.2796577215194702
time,0.4363728165626526,0.25187405943870544,0.43061500787734985,0.18101826310157776,0.24432972073554993,0.2842716872692108,0.27391523122787476
a,0.44397395849227905,0.658733606338501,0.5829201340675354,0.1873859316110611,0.22831885516643524,0.22326228022575378,0.23916715383529663
``,0.07174111902713776,0.058766357600688934,0.029072100296616554,0.05369233712553978,-0.014278445392847061,-0.018358707427978516,0.0685480609536171
members,0.2236606478691101,0.1897467076778412,0.3321719169616699,0.9999998807907104,0.20678158104419708,0.20782466232776642,0.10212311148643494
debate,0.16811372339725494,0.22463004291057587,0.2608932852745056,0.20678158104419708,1.0,0.16927969455718994,0.227684885263443
'',-0.07688097655773163,0.0793738141655922,0.041273195296525955,-0.02566520683467388,0.05401964485645294,-0.060258932411670685,0.018684765323996544
is,0.3471449911594391,1.0,0.5823672413825989,0.1897467076778412,0.22463004291057587,0.19884860515594482,0.22961433231830597
held,0.1848648637533188,0.19884860515594482,0.32185450196266174,0.20782466232776642,0.16927969455718994,1.0,0.14103956520557404
",",0.36674630641937256,0.4691906273365021,0.4933079481124878,0.2357054501771927,0.21539489924907684,0.2880980372428894,0.31091248989105225
which,0.572554349899292,0.4457404911518097,0.6521818041801453,0.295350044965744,0.24772825837135315,0.2626747488975525,0.25814583897590637
lasts,0.3012087941169739,0.32914164662361145,0.2970173954963684,0.1705402284860611,0.19120435416698456,0.3220958411693573,0.17807826399803162
for,0.43402108550071716,0.43268078565597534,0.4739971458911896,0.2612179219722748,0.21372702717781067,0.2495253086090088,0.264628142118454
45,0.09948085248470306,0.050226982682943344,-0.020405476912856102,-0.010776162147521973,0.009898405522108078,-0.008149616420269012,-0.01282194908708334
minutes,0.2939571440219879,0.19333672523498535,0.20313966274261475,0.12248495221138,0.19844220578670502,0.11509506404399872,0.14419560134410858
.,0.475719153881073,0.4569662809371948,0.5934505462646484,0.21119362115859985,0.24415890872478485,0.2628571093082428,0.4130953550338745
