,what,famous,author,used,similarity,and,likeness,of,percy,shelly,in,his,writing,?
a,0.3320399522781372,0.26728492975234985,0.2428053617477417,0.3864384889602661,0.3049710988998413,0.3739250600337982,0.2730058431625366,0.5052502155303955,0.2227638065814972,0.2293858379125595,0.539380669593811,0.3497250974178314,0.3032566010951996,0.23916715383529663
version,0.20755547285079956,0.13450147211551666,0.16280275583267212,0.21223314106464386,0.22062169015407562,0.1978406310081482,0.10363734513521194,0.14166875183582306,0.06786494702100754,0.13096566498279572,0.19599339365959167,0.15563099086284637,0.21284329891204834,0.2573966085910797
was,0.22111038863658905,0.31606587767601013,0.23446185886859894,0.23679393529891968,0.19714073836803436,0.3740963041782379,0.20517034828662872,0.4069072902202606,0.17109639942646027,0.20819032192230225,0.45514053106307983,0.4405253231525421,0.22189800441265106,0.18412111699581146
taken,0.26014965772628784,0.18727761507034302,0.1383010894060135,0.36484459042549133,0.18838895857334137,0.2680969834327698,0.21960245072841644,0.2889742851257324,0.13098880648612976,0.11060095578432083,0.2500644326210022,0.2693137228488922,0.14024685323238373,0.17662954330444336
up,0.28591108322143555,0.14953331649303436,0.10817595571279526,0.2526317238807678,0.20265740156173706,0.4032393991947174,0.16914811730384827,0.32945773005485535,0.18081118166446686,0.21474865078926086,0.3120773434638977,0.2538001239299774,0.18466587364673615,0.1819818764925003
by,0.2455483376979828,0.24140264093875885,0.17912176251411438,0.27705541253089905,0.27789098024368286,0.4289871156215668,0.2022363841533661,0.3646814823150635,0.1326807290315628,0.1992586851119995,0.370934396982193,0.3107621967792511,0.18665407598018646,0.17966607213020325
the,0.42745697498321533,0.28616565465927124,0.199458509683609,0.3718377649784088,0.27417150139808655,0.5171257257461548,0.26355549693107605,0.733189046382904,0.24403482675552368,0.19137544929981232,0.6662389636039734,0.4394008219242096,0.2579600512981415,0.22068053483963013
author,0.18480391800403595,0.2330540269613266,1.0,0.13488465547561646,0.12014330923557281,0.290119469165802,0.21233950555324554,0.18473520874977112,0.2553005516529083,0.1470288336277008,0.18350110948085785,0.27145451307296753,0.39876165986061096,0.14162757992744446
henry,0.1911626160144806,0.20166604220867157,0.20742395520210266,0.16714796423912048,0.11338042467832565,0.2218981832265854,0.15925954282283783,0.2390729784965515,0.33071550726890564,0.27653124928474426,0.21735817193984985,0.32655900716781616,0.1983126997947693,0.16836383938789368
david,0.1299152821302414,0.19392549991607666,0.24541665613651276,0.14404360949993134,0.05068730562925339,0.22867785394191742,0.1613246202468872,0.191870778799057,0.17779043316841125,0.14151477813720703,0.17107756435871124,0.2408985197544098,0.18521317839622498,0.04158485680818558
thoreau,0.3263375163078308,0.25553062558174133,0.42066046595573425,0.23039750754833221,0.1813996434211731,0.36109691858291626,0.3299255669116974,0.27008235454559326,0.33689162135124207,0.28019478917121887,0.23946304619312286,0.3740163743495941,0.3185795545578003,0.1922200322151184
in,0.30808621644973755,0.34673580527305603,0.18350110948085785,0.3090210556983948,0.21433989703655243,0.4954058527946472,0.19729091227054596,0.5696388483047485,0.18832391500473022,0.1766142100095749,1.0,0.3598145842552185,0.26213181018829346,0.20430970191955566
his,0.26976513862609863,0.28745037317276,0.27145451307296753,0.20492680370807648,0.22916734218597412,0.4234102666378021,0.3408362865447998,0.38364991545677185,0.32476216554641724,0.22858189046382904,0.3598145842552185,0.9999998807907104,0.355942040681839,0.18075084686279297
essay,0.3115626871585846,0.15018928050994873,0.41531869769096375,0.10729509592056274,0.1740773320198059,0.17351296544075012,0.24034704267978668,0.19690492749214172,0.12705238163471222,0.07281237095594406,0.1484117954969406,0.26560720801353455,0.3888918161392212,0.28484269976615906
civil,0.15091551840305328,0.1702677607536316,0.21710513532161713,0.18663932383060455,0.053755007684230804,0.25259146094322205,0.10211198031902313,0.24698495864868164,0.13160347938537598,0.16517670452594757,0.26466667652130127,0.18942002952098846,0.23208335041999817,0.1494513899087906
disobedience,0.3298627436161041,0.22701998054981232,0.2827106714248657,0.16147232055664062,0.1802857220172882,0.3041999638080597,0.36599960923194885,0.31932318210601807,0.21931353211402893,0.20906032621860504,0.3054615259170532,0.3585605025291443,0.3017151951789856,0.19890835881233215
",",0.3087472915649414,0.2816491723060608,0.3292938470840454,0.3120402991771698,0.26063796877861023,0.6633074283599854,0.23440927267074585,0.4946078956127167,0.27825188636779785,0.2679677903652191,0.5201468467712402,0.3378419280052185,0.2835220992565155,0.31091248989105225
and,0.31309178471565247,0.2970265746116638,0.290119469165802,0.3150506615638733,0.29008087515830994,1.0,0.19297611713409424,0.5116966962814331,0.2536650598049164,0.27082350850105286,0.4954058527946472,0.4234102666378021,0.2963903546333313,0.20544172823429108
later,0.2517229914665222,0.27451133728027344,0.2019587606191635,0.19394758343696594,0.2132597416639328,0.4216292202472687,0.20192041993141174,0.3458743393421173,0.18602649867534637,0.25242963433265686,0.40857815742492676,0.4538118839263916,0.22595426440238953,0.1417175978422165
by,0.2455483376979828,0.24140264093875885,0.17912176251411438,0.27705541253089905,0.27789098024368286,0.4289871156215668,0.2022363841533661,0.3646814823150635,0.1326807290315628,0.1992586851119995,0.370934396982193,0.3107621967792511,0.18665407598018646,0.17966607213020325
gandhi,0.23243291676044464,0.1930745542049408,0.2296575903892517,0.03362463787198067,0.12441025674343109,0.20518991351127625,0.2497824877500534,0.2484963834285736,0.16317865252494812,0.18535566329956055,0.2202024757862091,0.23340414464473724,0.22257626056671143,0.18234050273895264
in,0.30808621644973755,0.34673580527305603,0.18350110948085785,0.3090210556983948,0.21433989703655243,0.4954058527946472,0.19729091227054596,0.5696388483047485,0.18832391500473022,0.1766142100095749,1.0,0.3598145842552185,0.26213181018829346,0.20430970191955566
his,0.26976513862609863,0.28745037317276,0.27145451307296753,0.20492680370807648,0.22916734218597412,0.4234102666378021,0.3408362865447998,0.38364991545677185,0.32476216554641724,0.22858189046382904,0.3598145842552185,0.9999998807907104,0.355942040681839,0.18075084686279297
doctrine,0.3112909197807312,0.05349920690059662,0.229722797870636,0.1523018181324005,0.20246747136116028,0.16517424583435059,0.34123650193214417,0.23378130793571472,0.1686679571866989,0.1501280665397644,0.1543712466955185,0.1854272186756134,0.17887401580810547,0.21789313852787018
of,0.33290785551071167,0.3074295222759247,0.18473520874977112,0.3075267970561981,0.2689111828804016,0.5116966962814331,0.31141772866249084,1.0,0.19737383723258972,0.09164883941411972,0.5696388483047485,0.38364991545677185,0.25490155816078186,0.1826142966747284
