,what,does,wealth,disparity,make,the,economy,more,prone,to,?
in,0.30808621644973755,0.214483380317688,0.1835664063692093,0.21367432177066803,0.268858402967453,0.6662389636039734,0.2588731348514557,0.32563260197639465,0.17005716264247894,0.45010748505592346,0.20430970191955566
2014,0.041483160108327866,0.035354748368263245,0.034933775663375854,-0.06245563551783562,0.08493392169475555,0.059490643441677094,-0.011191923171281815,0.03261508047580719,0.033882878720760345,0.016496146097779274,0.058127544820308685
",",0.3087472915649414,0.28617382049560547,0.22482609748840332,0.2554047703742981,0.324553906917572,0.4933079481124878,0.2521176040172577,0.3696524500846863,0.26158443093299866,0.44245919585227966,0.31091248989105225
economists,0.26094529032707214,0.217331200838089,0.4069678485393524,0.3509811460971832,0.27293920516967773,0.20146530866622925,0.656492292881012,0.23658215999603271,0.14431676268577576,0.2734855115413666,0.1671878695487976
with,0.2464839518070221,0.26186925172805786,0.177688866853714,0.2587723731994629,0.39503780007362366,0.4223487675189972,0.15465663373470306,0.3535402715206146,0.2655157446861267,0.4239959120750427,0.2433311939239502
the,0.42745697498321533,0.35928019881248474,0.24999672174453735,0.28894439339637756,0.3146495521068573,1.0,0.24644890427589417,0.39758381247520447,0.21115435659885406,0.535392165184021,0.22068053483963013
standard,0.22809998691082,0.24575825035572052,0.13014960289001465,0.24015939235687256,0.20645971596240997,0.29008856415748596,0.15368816256523132,0.24836495518684387,0.22067520022392273,0.1969985067844391,0.17029257118701935
&,0.11141876131296158,0.13294216990470886,0.1077028214931488,0.04811743274331093,0.16739992797374725,0.14992168545722961,0.14101241528987885,0.0793071761727333,0.10695116966962814,0.1254875510931015,0.12596383690834045
poor,0.2570318877696991,0.19849170744419098,0.3946211338043213,0.2892657518386841,0.2366509586572647,0.21093174815177917,0.32301202416419983,0.2653103172779083,0.2985125780105591,0.2869894206523895,0.12937016785144806
's,0.02692362666130066,-0.02895052544772625,0.1138739213347435,0.0189228393137455,0.09622383862733841,-0.01540423184633255,0.05879175290465355,0.032942235469818115,-0.021777506917715073,0.03782717138528824,-0.023395681753754616
rating,0.20312486588954926,0.19652630388736725,0.18673712015151978,0.2803300619125366,0.1885899305343628,0.24654440581798553,0.18897029757499695,0.2002238929271698,0.21397344768047333,0.22229662537574768,0.18754872679710388
