,how,do,academic,results,in,former,model,c,schools,compare,to,other,schools,?
these,0.41104358434677124,0.4402875602245331,0.1499183177947998,0.3124407231807709,0.3791837692260742,0.09296587109565735,0.12957298755645752,0.12914463877677917,0.3167678117752075,0.3474787771701813,0.46852558851242065,0.6478539705276489,0.3167678117752075,0.2571668326854706
schools,0.12874440848827362,0.19505831599235535,0.37874487042427063,0.12164179235696793,0.2632134258747101,0.12415030598640442,0.08655571192502975,0.05441313982009888,1.0,0.14002564549446106,0.2362271547317505,0.24327325820922852,1.0,0.18349280953407288
tend,0.3628930449485779,0.37835952639579773,0.1977890580892563,0.27558979392051697,0.2306872308254242,0.0723886713385582,0.11809821426868439,0.06683073937892914,0.21273474395275116,0.3152569830417633,0.414838582277298,0.3858351707458496,0.21273474395275116,0.19330444931983948
to,0.44169697165489197,0.38876664638519287,0.17588050663471222,0.24358662962913513,0.45010748505592346,0.12857267260551453,0.187554731965065,0.1638970822095871,0.2362271547317505,0.31307893991470337,1.0,0.4193183183670044,0.2362271547317505,0.29463258385658264
produce,0.24825716018676758,0.2995959520339966,0.04073430970311165,0.3129767179489136,0.21160131692886353,0.004555650521069765,0.15472105145454407,0.12059580534696579,0.09908398240804672,0.24483662843704224,0.30018290877342224,0.2801341712474823,0.09908398240804672,0.19229066371917725
better,0.37810611724853516,0.3484214246273041,0.186740905046463,0.23174792528152466,0.20443932712078094,0.22892963886260986,0.26454195380210876,0.09279821068048477,0.12675265967845917,0.293250173330307,0.29406851530075073,0.29344308376312256,0.12675265967845917,0.32159438729286194
academic,0.144212007522583,0.19065243005752563,0.9999998807907104,0.20540057122707367,0.1914365142583847,0.18233174085617065,0.15824702382087708,0.20833328366279602,0.37874487042427063,0.230263814330101,0.17588050663471222,0.17171621322631836,0.37874487042427063,0.11011603474617004
results,0.2975708544254303,0.2908608913421631,0.20540057122707367,1.0,0.28880611062049866,0.08942216634750366,0.1882830262184143,0.07082643359899521,0.12164179235696793,0.40954676270484924,0.24358662962913513,0.22457754611968994,0.12164179235696793,0.21797199547290802
than,0.29763275384902954,0.2387038916349411,0.16157135367393494,0.25106388330459595,0.3270052373409271,0.10462044179439545,0.14493303000926971,0.11880899220705032,0.16902634501457214,0.3485441207885742,0.3192550539970398,0.5105555653572083,0.16902634501457214,0.24917294085025787
government,0.21719732880592346,0.20911449193954468,0.27242687344551086,0.1866620033979416,0.3066793978214264,0.25156673789024353,0.14026464521884918,0.10367632657289505,0.3405122756958008,0.1357477456331253,0.28343796730041504,0.25909486413002014,0.3405122756958008,0.18851417303085327
schools,0.12874440848827362,0.19505831599235535,0.37874487042427063,0.12164179235696793,0.2632134258747101,0.12415030598640442,0.08655571192502975,0.05441313982009888,1.0,0.14002564549446106,0.2362271547317505,0.24327325820922852,1.0,0.18349280953407288
formerly,0.04030776023864746,0.08820970356464386,0.12519977986812592,0.04566198214888573,0.25645580887794495,0.45497772097587585,0.18478508293628693,0.16625149548053741,0.12589949369430542,0.0588630847632885,0.16159123182296753,0.1458093374967575,0.12589949369430542,0.0843876302242279
reserved,0.1238694116473198,0.32901090383529663,0.14199243485927582,0.08468346297740936,0.19184279441833496,0.1435333639383316,0.07469452172517776,0.09416397660970688,0.19754627346992493,0.14625181257724762,0.18730998039245605,0.1883855164051056,0.19754627346992493,0.1177138090133667
for,0.3308170735836029,0.29510271549224854,0.23807747662067413,0.2949832081794739,0.4322226941585541,0.23718710243701935,0.17261183261871338,0.19183452427387238,0.2320515662431717,0.32835501432418823,0.4451248347759247,0.3273986279964447,0.2320515662431717,0.264628142118454
other,0.3591516315937042,0.34946969151496887,0.17171621322631836,0.22457754611968994,0.39989137649536133,0.1564001590013504,0.12364553660154343,0.11828510463237762,0.24327325820922852,0.33926478028297424,0.4193183183670044,0.9999999403953552,0.24327325820922852,0.24682199954986572
race,0.1051105186343193,0.1453969031572342,0.09454824030399323,0.21999847888946533,0.2270909547805786,0.12796202301979065,0.10736235976219177,0.11363311111927032,0.14360038936138153,0.14710590243339539,0.2163928896188736,0.20354168117046356,0.14360038936138153,0.1390368491411209
groups,0.18221695721149445,0.22382022440433502,0.13828888535499573,0.20618398487567902,0.22620722651481628,0.09621338546276093,0.09153807163238525,0.08957166224718094,0.2776908278465271,0.22376614809036255,0.24181967973709106,0.4422121047973633,0.2776908278465271,0.14349548518657684
.,0.3287222981452942,0.3613996207714081,0.21939443051815033,0.2516312897205353,0.5591574311256409,0.20895031094551086,0.1938832700252533,0.3107494115829468,0.2752705216407776,0.24470208585262299,0.4645031690597534,0.41511186957359314,0.2752705216407776,0.4130953550338745
