,what,was,incorporated,to,help,slow,the,cm,'s,decent,back,to,earth,?
its,0.30393704771995544,0.3518870174884796,0.2684026062488556,0.3691340684890747,0.12395896762609482,0.2117268145084381,0.559237003326416,0.19644059240818024,0.03202139586210251,0.20061135292053223,0.27476218342781067,0.3691340684890747,0.246530681848526,0.15103481709957123
exterior,0.1873418539762497,0.19991430640220642,0.1585628241300583,0.19367994368076324,0.14539507031440735,0.17798776924610138,0.24049440026283264,0.1440800577402115,-0.04184694215655327,0.10335986316204071,0.15762202441692352,0.19367994368076324,0.18036635220050812,0.10013534873723984
was,0.22111038863658905,1.0000001192092896,0.23662322759628296,0.3636345863342285,0.14012886583805084,0.12322831898927689,0.48711544275283813,0.15153862535953522,0.008974763564765453,0.21916235983371735,0.2438982129096985,0.3636345863342285,0.18661361932754517,0.18412111699581146
covered,0.24682468175888062,0.24235664308071136,0.29898789525032043,0.243978813290596,0.13993847370147705,0.1309402585029602,0.3132939636707306,0.2047092616558075,0.02427033521234989,0.22223176062107086,0.2194177359342575,0.243978813290596,0.21067045629024506,0.139833465218544
with,0.2464839518070221,0.27411898970603943,0.20064540207386017,0.4239959120750427,0.32894450426101685,0.17667777836322784,0.4223487675189972,0.18681956827640533,-0.04624466598033905,0.2643185257911682,0.3237067759037018,0.4239959120750427,0.21692633628845215,0.2433311939239502
an,0.2821882665157318,0.3694365322589874,0.1948239654302597,0.3138085603713989,0.18658781051635742,0.17032766342163086,0.4207492768764496,0.1796703040599823,0.025255560874938965,0.24751290678977966,0.18792150914669037,0.3138085603713989,0.15274131298065186,0.19793890416622162
ablative,0.27632981538772583,0.19590918719768524,0.11200322210788727,0.2569682002067566,0.18807828426361084,0.2406272441148758,0.2815965712070465,0.21200791001319885,0.007727133575826883,0.22358818352222443,0.1890963762998581,0.2569682002067566,0.3270787000656128,0.24542094767093658
heat,0.1933984011411667,0.17687295377254486,0.10016070306301117,0.2773711681365967,0.2250489592552185,0.25176185369491577,0.2556036710739136,0.17835524678230286,0.05812746658921242,0.19229769706726074,0.21042542159557343,0.2773711681365967,0.31628161668777466,0.16343188285827637
shield,0.15256665647029877,0.13172738254070282,0.16633909940719604,0.21241143345832825,0.16061118245124817,0.17048048973083496,0.2743064761161804,0.17086158692836761,0.047082073986530304,0.06546517461538315,0.2072136551141739,0.21241143345832825,0.27130866050720215,0.06611126661300659
",",0.3087472915649414,0.45456063747406006,0.2878526747226715,0.44245919585227966,0.2855570912361145,0.1939975768327713,0.4933079481124878,0.2293582409620285,-0.0016132977325469255,0.26843777298927307,0.3066370487213135,0.44245919585227966,0.23186853528022766,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.22905798256397247,0.48971283435821533,0.34926167130470276,0.24668022990226746,0.5171257257461548,0.2066713124513626,0.06895173341035843,0.2939634323120117,0.32774487137794495,0.48971283435821533,0.27524080872535706,0.20544172823429108
had,0.23849567770957947,0.5927209258079529,0.1723296195268631,0.37984350323677063,0.27383187413215637,0.18068720400333405,0.3875846862792969,0.1418296992778778,-0.004401352722197771,0.24337926506996155,0.3374921381473541,0.37984350323677063,0.11675896495580673,0.20728366076946259
its,0.30393704771995544,0.3518870174884796,0.2684026062488556,0.3691340684890747,0.12395896762609482,0.2117268145084381,0.559237003326416,0.19644059240818024,0.03202139586210251,0.20061135292053223,0.27476218342781067,0.3691340684890747,0.246530681848526,0.15103481709957123
own,0.35062843561172485,0.19632458686828613,0.2634292244911194,0.35879063606262207,0.27323177456855774,0.19527775049209595,0.334675133228302,0.11587665975093842,-0.0030622677877545357,0.3144725263118744,0.21891823410987854,0.35879063606262207,0.14278729259967804,0.1937696635723114
reaction,0.304030179977417,0.17401309311389923,0.07158516347408295,0.2174072265625,0.23266583681106567,0.322649210691452,0.2163003534078598,0.1569412648677826,-0.08974478393793106,0.17398159205913544,0.10553985089063644,0.2174072265625,0.19961579144001007,0.2138621062040329
control,0.2821830213069916,0.19347785413265228,0.1984395831823349,0.28164729475975037,0.3030053973197937,0.2400113344192505,0.32841500639915466,0.10590260475873947,0.03798864781856537,0.13759490847587585,0.20670200884342194,0.28164729475975037,0.1199057325720787,0.1620711386203766
system,0.23557309806346893,0.2147521674633026,0.13857553899288177,0.26662686467170715,0.1941203773021698,0.2529641091823578,0.3233085572719574,0.09653858840465546,0.04329425096511841,0.1755228340625763,0.20342807471752167,0.26662686467170715,0.15174907445907593,0.15556083619594574
(,0.2411840260028839,0.2980341613292694,0.1726963073015213,0.30882009863853455,0.23475761711597443,0.1485120803117752,0.33289089798927307,0.22482873499393463,0.0012731997994706035,0.23426534235477448,0.24142900109291077,0.30882009863853455,0.18478946387767792,0.40561532974243164
rcs,0.3800172805786133,0.2006523758172989,0.10757608711719513,0.32632875442504883,0.29292193055152893,0.2301134318113327,0.25150424242019653,0.17737194895744324,-0.018847793340682983,0.3280939757823944,0.26499417424201965,0.32632875442504883,0.3291401267051697,0.2912581264972687
),0.26259949803352356,0.3267642855644226,0.17022013664245605,0.31236231327056885,0.24308834969997406,0.1419522762298584,0.3456730246543884,0.22564169764518738,0.021107977256178856,0.2386789172887802,0.2371533066034317,0.31236231327056885,0.18219341337680817,0.42300865054130554
engines,0.1634974628686905,0.18948708474636078,0.16767005622386932,0.24536406993865967,0.1906089186668396,0.19289371371269226,0.2245008647441864,0.1737881600856781,0.070243701338768,0.17043495178222656,0.18543079495429993,0.24536406993865967,0.20349571108818054,0.18940703570842743
to,0.455847829580307,0.3636345863342285,0.18012776970863342,1.0,0.46191298961639404,0.3074672520160675,0.535392165184021,0.16218599677085876,0.03782717138528824,0.2957831025123596,0.4675939381122589,1.0,0.2486501932144165,0.29463258385658264
control,0.2821830213069916,0.19347785413265228,0.1984395831823349,0.28164729475975037,0.3030053973197937,0.2400113344192505,0.32841500639915466,0.10590260475873947,0.03798864781856537,0.13759490847587585,0.20670200884342194,0.28164729475975037,0.1199057325720787,0.1620711386203766
