,what,often,affects,or,facilitates,ease,of,analysis,in,computational,problems,?
however,0.4480680823326111,0.48768383264541626,0.3396350145339966,0.4068179726600647,0.28347527980804443,0.29828009009361267,0.3800618350505829,0.28682610392570496,0.3982149362564087,0.31758832931518555,0.3676249086856842,0.2152075469493866
",",0.3087472915649414,0.24139221012592316,0.24039752781391144,0.3769497275352478,0.2006816416978836,0.22107909619808197,0.4946078956127167,0.25410884618759155,0.5201468467712402,0.28742313385009766,0.2596952021121979,0.31091248989105225
some,0.4491020441055298,0.5903232097625732,0.28935784101486206,0.5009974837303162,0.27101486921310425,0.30057331919670105,0.4300730526447296,0.25990888476371765,0.4010399878025055,0.2886633574962616,0.3437584936618805,0.2562315762042999
computational,0.29464593529701233,0.29937222599983215,0.27221474051475525,0.30224916338920593,0.3902398645877838,0.32254403829574585,0.2832651138305664,0.473461776971817,0.2346334308385849,1.0,0.3718613386154175,0.21617397665977478
problems,0.3306994140148163,0.3157464265823364,0.4430060088634491,0.24577723443508148,0.3329155147075653,0.3506633937358856,0.2450421154499054,0.28109532594680786,0.21061907708644867,0.3718613386154175,1.0,0.2638136148452759
are,0.29724663496017456,0.5443448424339294,0.3467678129673004,0.5374364256858826,0.2357603907585144,0.22108180820941925,0.39081433415412903,0.232616126537323,0.3841303884983063,0.2675340473651886,0.2565869987010956,0.24591213464736938
easier,0.33438804745674133,0.3841314911842346,0.2609444260597229,0.34355729818344116,0.3232656419277191,0.4596628248691559,0.21661370992660522,0.14249803125858307,0.19433645904064178,0.3301863372325897,0.34614112973213196,0.2642807960510254
to,0.455847829580307,0.4351843297481537,0.2505618929862976,0.38921234011650085,0.31423747539520264,0.3552563488483429,0.41548454761505127,0.21860700845718384,0.45010748505592346,0.246933713555336,0.28989166021347046,0.29463258385658264
analyze,0.2935202717781067,0.27530255913734436,0.24765411019325256,0.26050835847854614,0.3410145342350006,0.2911379635334015,0.2221144735813141,0.6809750199317932,0.232345312833786,0.5181128978729248,0.2915824055671692,0.19188500940799713
in,0.30808621644973755,0.3380797803401947,0.2927802503108978,0.3586423695087433,0.22524899244308472,0.17990697920322418,0.5696388483047485,0.19403725862503052,1.0,0.2346334308385849,0.21061907708644867,0.20430970191955566
terms,0.23885610699653625,0.3237617015838623,0.21747781336307526,0.30183112621307373,0.24717409908771515,0.22436214983463287,0.2767748534679413,0.25735703110694885,0.2410934716463089,0.30894702672958374,0.2461729794740677,0.23466452956199646
of,0.33290785551071167,0.3351972997188568,0.2841792404651642,0.3792596757411957,0.23163369297981262,0.18102195858955383,1.0,0.24679350852966309,0.5696388483047485,0.2832651138305664,0.2450421154499054,0.1826142966747284
more,0.3484537899494171,0.406600683927536,0.24835577607154846,0.41612157225608826,0.28978273272514343,0.27270597219467163,0.30478984117507935,0.2560405433177948,0.32563260197639465,0.31634747982025146,0.3108620345592499,0.27894994616508484
unusual,0.2481527328491211,0.43411654233932495,0.34539082646369934,0.28831353783607483,0.1886671781539917,0.2163306474685669,0.2932579815387726,0.20638372004032135,0.2632738947868347,0.22792677581310272,0.22396768629550934,0.1398017257452011
resources,0.24701403081417084,0.28239893913269043,0.19453102350234985,0.31857627630233765,0.3825533986091614,0.25341737270355225,0.2746381163597107,0.3004869222640991,0.2161814570426941,0.33013734221458435,0.2515743672847748,0.26047492027282715
.,0.3567904531955719,0.30710849165916443,0.23962081968784332,0.36683785915374756,0.18349885940551758,0.19529588520526886,0.5352458953857422,0.1780904233455658,0.5591574311256409,0.24047870934009552,0.2602308988571167,0.4130953550338745
