,what,is,one,avenue,being,compensated,for,by,having,committees,serve,such,a,large,role,?
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.22167983651161194,0.419739305973053,0.26771852374076843,0.4739971458911896,0.4408751428127289,0.3821379244327545,0.2924276292324066,0.2749462425708771,0.3575236201286316,0.5829201340675354,0.3828733265399933,0.26607486605644226,0.22068053483963013
role,0.22614215314388275,0.20847192406654358,0.2139739841222763,0.1591331511735916,0.2269134372472763,0.10882995277643204,0.34694939851760864,0.20783835649490356,0.17990805208683014,0.11711247265338898,0.24339838325977325,0.22270740568637848,0.22880133986473083,0.11044587939977646,0.9999998807907104,0.18676944077014923
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,0.18280929327011108,0.34885138273239136,0.31684160232543945,0.4185989499092102,0.3646814823150635,0.38889452815055847,0.34709328413009644,0.2656401991844177,0.3209529519081116,0.5052502155303955,0.3569655418395996,0.1797693818807602,0.1826142966747284
committees,0.1853698194026947,0.15802469849586487,0.20696991682052612,0.19847118854522705,0.17721648514270782,0.3307557702064514,0.31989508867263794,0.18778538703918457,0.18630117177963257,1.0,0.2587808668613434,0.22305315732955933,0.21297448873519897,0.24160291254520416,0.11711247265338898,0.1382787674665451
is,0.28837618231773376,1.0,0.4544198513031006,0.13601207733154297,0.4445112943649292,0.21415702998638153,0.43268078565597534,0.3899846076965332,0.29556408524513245,0.15802469849586487,0.22737301886081696,0.23545363545417786,0.658733606338501,0.2971126437187195,0.20847192406654358,0.22961433231830597
stronger,0.26740801334381104,0.21575826406478882,0.2911069393157959,0.062454067170619965,0.23768197000026703,0.2611260712146759,0.22267162799835205,0.21266263723373413,0.26450952887535095,0.10433048754930496,0.17875656485557556,0.2601689100265503,0.25393104553222656,0.22067125141620636,0.1409493237733841,0.12132075428962708
in,0.30808621644973755,0.5394441485404968,0.4129433035850525,0.19928301870822906,0.33162933588027954,0.19085793197155,0.4322226941585541,0.370934396982193,0.32022708654403687,0.2531541585922241,0.20702329277992249,0.2704046070575714,0.539380669593811,0.2841601073741913,0.243671715259552,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.22167983651161194,0.419739305973053,0.26771852374076843,0.4739971458911896,0.4408751428127289,0.3821379244327545,0.2924276292324066,0.2749462425708771,0.3575236201286316,0.5829201340675354,0.3828733265399933,0.26607486605644226,0.22068053483963013
scottish,0.13777151703834534,0.16398480534553528,0.1910877674818039,0.16799432039260864,0.20239874720573425,0.12469004094600677,0.15676887333393097,0.1562303602695465,0.22923438251018524,0.18123844265937805,0.09785868227481842,0.11958443373441696,0.18544672429561615,0.0954660177230835,0.10963016748428345,0.06442669779062271
parliament,0.21650300920009613,0.19676777720451355,0.14608411490917206,0.19635674357414246,0.17365151643753052,0.20933306217193604,0.23382046818733215,0.1523929238319397,0.206806018948555,0.4124729335308075,0.18732470273971558,0.1158449575304985,0.22951169312000275,0.15379776060581207,0.1392432600259781,0.1586504578590393
than,0.29388150572776794,0.2839990258216858,0.43810948729515076,0.08308517932891846,0.3368562161922455,0.26352548599243164,0.30793827772140503,0.2015816867351532,0.4063279926776886,0.16039985418319702,0.3054537773132324,0.4386829137802124,0.3126874566078186,0.28131288290023804,0.14310166239738464,0.24917294085025787
in,0.30808621644973755,0.5394441485404968,0.4129433035850525,0.19928301870822906,0.33162933588027954,0.19085793197155,0.4322226941585541,0.370934396982193,0.32022708654403687,0.2531541585922241,0.20702329277992249,0.2704046070575714,0.539380669593811,0.2841601073741913,0.243671715259552,0.20430970191955566
other,0.341873437166214,0.25895947217941284,0.45956575870513916,0.1332184374332428,0.37174108624458313,0.27685999870300293,0.3273986279964447,0.3321913778781891,0.37414079904556274,0.2986913323402405,0.3006466031074524,0.6041211485862732,0.2806335389614105,0.353826105594635,0.1534264087677002,0.24682199954986572
parliamentary,0.23120512068271637,0.1731702983379364,0.1377386599779129,0.1720304638147354,0.15911732614040375,0.2617039680480957,0.242863729596138,0.18308788537979126,0.1867629736661911,0.44163259863853455,0.22384315729141235,0.1320616602897644,0.2278870940208435,0.1681097149848938,0.13604824244976044,0.1612216979265213
