,what,are,ftsz1,and,ftsz2,?
the,0.42745697498321533,0.40399202704429626,0.22993101179599762,0.5171257257461548,0.19871656596660614,0.22068053483963013
division,0.19144181907176971,0.1811521351337433,0.08280068635940552,0.23460866510868073,0.07188015431165695,0.08900629729032516
process,0.3466717302799225,0.23280955851078033,0.09832482039928436,0.20204883813858032,0.17375202476978302,0.2460896074771881
starts,0.24892903864383698,0.21134734153747559,0.14288200438022614,0.1896630823612213,0.15141744911670685,0.17788195610046387
when,0.4700249433517456,0.29873907566070557,0.10090357065200806,0.4716290831565857,0.10358065366744995,0.22841128706932068
the,0.42745697498321533,0.40399202704429626,0.22993101179599762,0.5171257257461548,0.19871656596660614,0.22068053483963013
proteins,0.21361225843429565,0.3328206241130829,0.06852998584508896,0.2611044645309448,0.19354678690433502,0.18469302356243134
ftsz1,0.19209237396717072,0.18336284160614014,0.9999999403953552,0.25429537892341614,0.9218252897262573,0.13513077795505524
and,0.31309178471565247,0.48576638102531433,0.25429537892341614,1.0,0.23681282997131348,0.20544172823429108
ftsz2,0.20545805990695953,0.25658825039863586,0.9218252897262573,0.23681282997131348,1.0,0.16796298325061798
assemble,0.2427459955215454,0.2576937973499298,0.15371006727218628,0.2471478134393692,0.16027677059173584,0.14568409323692322
into,0.2180619090795517,0.2930682599544525,0.031060529872775078,0.36597734689712524,0.04984266683459282,0.15662476420402527
filaments,0.197005495429039,0.3961678743362427,0.16327409446239471,0.2780604958534241,0.3006735146045685,0.09979134798049927
",",0.3087472915649414,0.4062570035457611,0.24506346881389618,0.6633074283599854,0.22914834320545197,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.25429537892341614,1.0,0.23681282997131348,0.20544172823429108
with,0.2464839518070221,0.38996943831443787,0.11165082454681396,0.5477725267410278,0.16179625689983368,0.2433311939239502
the,0.42745697498321533,0.40399202704429626,0.22993101179599762,0.5171257257461548,0.19871656596660614,0.22068053483963013
help,0.3728281855583191,0.2738749086856842,0.10700847953557968,0.34926167130470276,0.1259719580411911,0.28403452038764954
of,0.33290785551071167,0.39081433415412903,0.26015418767929077,0.5116966962814331,0.23165488243103027,0.1826142966747284
a,0.3320399522781372,0.265255331993103,0.19120122492313385,0.3739250600337982,0.21690446138381958,0.23916715383529663
protein,0.20633074641227722,0.279949426651001,0.08965925127267838,0.2513568103313446,0.22881163656711578,0.169142946600914
arc6,0.18309295177459717,0.1778043806552887,0.14788590371608734,0.2623685300350189,0.16390137374401093,0.1501099169254303
",",0.3087472915649414,0.4062570035457611,0.24506346881389618,0.6633074283599854,0.22914834320545197,0.31091248989105225
form,0.15868011116981506,0.29983413219451904,0.07883697748184204,0.30469027161598206,0.12279591709375381,0.1463010311126709
a,0.3320399522781372,0.265255331993103,0.19120122492313385,0.3739250600337982,0.21690446138381958,0.23916715383529663
structure,0.27351704239845276,0.22903119027614594,0.2008349895477295,0.24419280886650085,0.2520115077495575,0.1770772784948349
called,0.3235960602760315,0.3676711618900299,0.16246473789215088,0.3251761794090271,0.21338306367397308,0.18963319063186646
a,0.3320399522781372,0.265255331993103,0.19120122492313385,0.3739250600337982,0.21690446138381958,0.23916715383529663
z-ring,0.34665191173553467,0.30363985896110535,0.1428259164094925,0.35860899090766907,0.2074439525604248,0.2039296180009842
within,0.2498195916414261,0.3069663643836975,0.16041341423988342,0.35049548745155334,0.17083080112934113,0.1870293766260147
the,0.42745697498321533,0.40399202704429626,0.22993101179599762,0.5171257257461548,0.19871656596660614,0.22068053483963013
chloroplast,0.23505516350269318,0.26561424136161804,0.12656497955322266,0.19758054614067078,0.26704204082489014,0.12532055377960205
's,0.02692362666130066,-0.008927806280553341,0.061887528747320175,0.06895173341035843,0.057549331337213516,-0.023395681753754616
stroma,0.17679446935653687,0.17636294662952423,0.22065062820911407,0.21465273201465607,0.2477666139602661,0.15478113293647766
.,0.3567904531955719,0.3452940285205841,0.2680380642414093,0.588965117931366,0.25780147314071655,0.4130953550338745
