,which,group,has,two,layers,of,cells,with,a,middle,layer,of,mesoglea,?
like,0.48410770297050476,0.276180237531662,0.34026825428009033,0.31785455346107483,0.279308944940567,0.3244853615760803,0.21203181147575378,0.38741448521614075,0.38655611872673035,0.20985497534275055,0.26461055874824524,0.3244853615760803,0.35032370686531067,0.3268813192844391
sponges,0.33021700382232666,0.1866612583398819,0.21158863604068756,0.23194894194602966,0.4174932539463043,0.24995630979537964,0.40721917152404785,0.22530055046081543,0.20649303495883942,0.23481245338916779,0.31846219301223755,0.24995630979537964,0.43669188022613525,0.20355616509914398
and,0.506277859210968,0.3510662019252777,0.43716782331466675,0.4671151638031006,0.2688858211040497,0.5116966962814331,0.24033623933792114,0.5477725267410278,0.3739250600337982,0.2514324486255646,0.2740338444709778,0.5116966962814331,0.3101946711540222,0.20544172823429108
cnidarians,0.38001200556755066,0.3440832495689392,0.17727592587471008,0.2748662829399109,0.3724480867385864,0.2785923480987549,0.47849786281585693,0.2120993435382843,0.25800085067749023,0.22126635909080505,0.2857544720172882,0.2785923480987549,0.49225127696990967,0.18796975910663605
",",0.3658004403114319,0.2809832692146301,0.3734780251979828,0.35859420895576477,0.1578376442193985,0.4946078956127167,0.20582014322280884,0.4120737314224243,0.427140474319458,0.24847112596035004,0.16123715043067932,0.4946078956127167,0.31623169779777527,0.31091248989105225
ctenophores,0.37328192591667175,0.28355246782302856,0.16783113777637482,0.21687746047973633,0.3478063941001892,0.2626190483570099,0.5050276517868042,0.17838598787784576,0.25153061747550964,0.21558667719364166,0.3644670248031616,0.2626190483570099,0.54264235496521,0.2054179310798645
have,0.49652695655822754,0.3034582734107971,0.6353569626808167,0.4498785734176636,0.2891051769256592,0.3802283704280853,0.294906347990036,0.48046383261680603,0.338716596364975,0.2068544626235962,0.2182634174823761,0.3802283704280853,0.3461840748786926,0.32991164922714233
two,0.4674137234687805,0.28780683875083923,0.3772575855255127,1.0000001192092896,0.22482997179031372,0.37726253271102905,0.23961083590984344,0.4333336651325226,0.3289857804775238,0.24100592732429504,0.15363800525665283,0.37726253271102905,0.20499257743358612,0.19645625352859497
main,0.37042954564094543,0.20057010650634766,0.26405781507492065,0.3178617060184479,0.17058615386486053,0.3177044689655304,0.12159634381532669,0.1962798684835434,0.27217230200767517,0.2865397036075592,0.12014645338058472,0.3177044689655304,0.17001645267009735,0.1665669083595276
layers,0.36429905891418457,0.165462926030159,0.1652018427848816,0.22482997179031372,0.9999999403953552,0.24201519787311554,0.38396668434143066,0.22246935963630676,0.22045712172985077,0.23006600141525269,0.7790859341621399,0.24201519787311554,0.42062070965766907,0.09622068703174591
of,0.5011631846427917,0.25542253255844116,0.3909035325050354,0.37726253271102905,0.24201519787311554,1.0,0.21305565536022186,0.41827285289764404,0.5052502155303955,0.2799445688724518,0.19074802100658417,1.0,0.25529611110687256,0.1826142966747284
cells,0.3000165820121765,0.17534096539020538,0.13010719418525696,0.23961083590984344,0.38396668434143066,0.21305565536022186,1.0,0.2187740057706833,0.2297232300043106,0.11040470749139786,0.3699508011341095,0.21305565536022186,0.3623324930667877,0.1898086667060852
that,0.6894589066505432,0.3089635670185089,0.41272613406181335,0.3858162462711334,0.2675095498561859,0.41498205065727234,0.2709589898586273,0.4154358208179474,0.47537946701049805,0.22241683304309845,0.23779913783073425,0.41498205065727234,0.32621726393699646,0.32716336846351624
sandwich,0.20401334762573242,0.12631194293498993,0.16365545988082886,0.21780362725257874,0.25864043831825256,0.20262180268764496,0.1774781048297882,0.22386005520820618,0.19397351145744324,0.22551053762435913,0.24947236478328705,0.20262180268764496,0.18222177028656006,0.1477418690919876
a,0.56894451379776,0.2594761848449707,0.4670248031616211,0.3289857804775238,0.22045712172985077,0.5052502155303955,0.2297232300043106,0.3783375024795532,1.0,0.23820361495018005,0.2366863191127777,0.5052502155303955,0.27529793977737427,0.23916715383529663
middle,0.22406704723834991,0.21624921262264252,0.21790438890457153,0.24100592732429504,0.23006600141525269,0.2799445688724518,0.11040470749139786,0.1472902148962021,0.23820361495018005,0.9999998807907104,0.20802466571331024,0.2799445688724518,0.307036817073822,0.13139553368091583
layer,0.31222137808799744,0.14739614725112915,0.17893092334270477,0.15363800525665283,0.7790859341621399,0.19074802100658417,0.3699508011341095,0.19762569665908813,0.2366863191127777,0.20802466571331024,0.9999998807907104,0.19074802100658417,0.3790416121482849,0.11266916990280151
of,0.5011631846427917,0.25542253255844116,0.3909035325050354,0.37726253271102905,0.24201519787311554,1.0,0.21305565536022186,0.41827285289764404,0.5052502155303955,0.2799445688724518,0.19074802100658417,1.0,0.25529611110687256,0.1826142966747284
jelly-like,0.34890639781951904,0.30099305510520935,0.20778684318065643,0.2927282452583313,0.2691308259963989,0.2562723159790039,0.33205050230026245,0.30742347240448,0.29739120602607727,0.21372349560260773,0.30042824149131775,0.2562723159790039,0.36178699135780334,0.22595955431461334
material,0.3947785794734955,0.1478942483663559,0.21586079895496368,0.17233434319496155,0.4209674596786499,0.27520954608917236,0.30952101945877075,0.22314715385437012,0.28408434987068176,0.14746123552322388,0.41245266795158386,0.27520954608917236,0.33760562539100647,0.18117131292819977
",",0.3658004403114319,0.2809832692146301,0.3734780251979828,0.35859420895576477,0.1578376442193985,0.4946078956127167,0.20582014322280884,0.4120737314224243,0.427140474319458,0.24847112596035004,0.16123715043067932,0.4946078956127167,0.31623169779777527,0.31091248989105225
which,1.0,0.32466647028923035,0.4350704550743103,0.4674137234687805,0.36429905891418457,0.5011631846427917,0.3000165820121765,0.46403205394744873,0.56894451379776,0.22406704723834991,0.31222137808799744,0.5011631846427917,0.31752660870552063,0.25814583897590637
is,0.4457404911518097,0.22153858840465546,0.5668748617172241,0.2315155267715454,0.23205043375492096,0.4854315221309662,0.1644774079322815,0.3250955045223236,0.658733606338501,0.21621397137641907,0.27099713683128357,0.4854315221309662,0.25380656123161316,0.22961433231830597
called,0.5573342442512512,0.3319643437862396,0.30485156178474426,0.3555888831615448,0.28805020451545715,0.4222904443740845,0.20908011496067047,0.3139074146747589,0.4868806302547455,0.22726550698280334,0.2418668270111084,0.4222904443740845,0.2980530858039856,0.18963319063186646
the,0.6521818041801453,0.30795547366142273,0.4177538752555847,0.43858039379119873,0.24930399656295776,0.733189046382904,0.19095487892627716,0.4223487675189972,0.5829201340675354,0.3405749201774597,0.22831332683563232,0.733189046382904,0.27500203251838684,0.22068053483963013
mesoglea,0.31752660870552063,0.2305980771780014,0.1811320036649704,0.20499257743358612,0.42062070965766907,0.25529611110687256,0.3623324930667877,0.23304125666618347,0.27529793977737427,0.307036817073822,0.3790416121482849,0.25529611110687256,1.0,0.2904593348503113
