,how,many,tackles,did,von,miller,get,during,the,game,?
the,0.33890387415885925,0.4335206151008606,0.19076409935951233,0.34736719727516174,0.21817399561405182,0.21601076424121857,0.29667025804519653,0.4838213622570038,1.0,0.285271555185318,0.22068053483963013
broncos,0.11217407882213593,0.1706678420305252,0.4817456007003784,0.1738176792860031,0.13884557783603668,0.2454533576965332,0.18106791377067566,0.2564375102519989,0.25985947251319885,0.32325026392936707,0.18377114832401276
took,0.1585291624069214,0.21439076960086823,0.13909001648426056,0.42470768094062805,0.19189657270908356,0.1602330207824707,0.25405287742614746,0.41548752784729004,0.31657639145851135,0.16754378378391266,0.14109265804290771
an,0.2520636022090912,0.2465583086013794,0.13173635303974152,0.22598257660865784,0.15605303645133972,0.2173931747674942,0.20705485343933105,0.21076080203056335,0.4207492768764496,0.16604416072368622,0.19793890416622162
early,0.2415190190076828,0.4033903181552887,0.16069118678569794,0.32047218084335327,0.1350841224193573,0.24130643904209137,0.21101413667201996,0.5124249458312988,0.34442198276519775,0.21506367623806,0.15272949635982513
lead,0.18518535792827606,0.2319030612707138,0.228637233376503,0.2009882926940918,0.1266060620546341,0.13451245427131653,0.23146316409111023,0.1928889900445938,0.21995973587036133,0.18853990733623505,0.14552436769008636
in,0.2601168751716614,0.41474202275276184,0.18025051057338715,0.2593238651752472,0.20116294920444489,0.19489489495754242,0.24899829924106598,0.4627237319946289,0.6662389636039734,0.23986028134822845,0.20430970191955566
super,0.11920704692602158,0.17302978038787842,0.23457856476306915,0.16038043797016144,0.09019782394170761,0.1263037472963333,0.14719554781913757,0.16951335966587067,0.21959073841571808,0.3480181396007538,0.166326642036438
bowl,0.1720007210969925,0.17932994663715363,0.34894615411758423,0.18569406867027283,0.05615047365427017,0.12768206000328064,0.17289145290851593,0.22041946649551392,0.21576224267482758,0.2413962334394455,0.21118052303791046
50,0.014565115794539452,-0.037946149706840515,0.08310284465551376,0.03749820590019226,0.05839231237769127,0.0038371188566088676,0.08756662905216217,0.07054752856492996,0.03602437674999237,0.012895043939352036,0.030512850731611252
and,0.33647966384887695,0.5296266674995422,0.2184165120124817,0.34479495882987976,0.2179601788520813,0.2989555597305298,0.37609121203422546,0.36462149024009705,0.5171257257461548,0.25192898511886597,0.20544172823429108
never,0.3298768103122711,0.3326573967933655,0.25195491313934326,0.4329567551612854,0.17429473996162415,0.16956479847431183,0.3329434096813202,0.2889808416366577,0.31617826223373413,0.17257601022720337,0.24137508869171143
trailed,0.2522026002407074,0.22572913765907288,0.20515446364879608,0.26786133646965027,0.045913584530353546,0.1808706521987915,0.2743157744407654,0.2601068317890167,0.3216854929924011,0.2862878739833832,0.2317388355731964
.,0.3287222981452942,0.3974229395389557,0.2241174876689911,0.35288307070732117,0.20990465581417084,0.26640716195106506,0.39392393827438354,0.3485563397407532,0.5934505462646484,0.2581658959388733,0.4130953550338745
,how,many,tackles,did,von,miller,get,during,the,game,?
