,other,than,many,sunny,days,",",what,characteristic,is,typical,for,the,climate,in,souther,california,?
southern,0.22025135159492493,0.16775213181972504,0.18025599420070648,0.23050528764724731,0.1230921745300293,0.2795628309249878,0.18679563701152802,0.14449046552181244,0.2419366091489792,0.2405427098274231,0.14496514201164246,0.3282862603664398,0.21394403278827667,0.3190481662750244,0.8022345304489136,0.2983402609825134,0.11225555837154388
california,0.19346874952316284,0.17079950869083405,0.24571245908737183,0.19356518983840942,0.16796669363975525,0.2704589068889618,0.1811584085226059,0.11668804287910461,0.20727038383483887,0.1365707665681839,0.23038740456104279,0.2750805914402008,0.14813069999217987,0.2772824168205261,0.25219839811325073,1.0,0.1409905105829239
contains,0.2898808717727661,0.2787589132785797,0.24457506835460663,0.09232120215892792,0.15088196098804474,0.2243606001138687,0.14236655831336975,0.2476356327533722,0.4272567629814148,0.271808922290802,0.2604871392250061,0.2846323549747467,0.13156238198280334,0.28116101026535034,0.14991576969623566,0.10907120257616043,0.15215006470680237
a,0.2806335389614105,0.3126874566078186,0.2872205972671509,0.2304740846157074,0.24421119689941406,0.427140474319458,0.3320399522781372,0.34996849298477173,0.658733606338501,0.4022108316421509,0.44038116931915283,0.5829201340675354,0.1805623322725296,0.539380669593811,0.26372888684272766,0.2426064908504486,0.23916715383529663
mediterranean,0.21877828240394592,0.15156030654907227,0.27877798676490784,0.29055216908454895,0.16700582206249237,0.2047611027956009,0.18149876594543457,0.22341465950012207,0.20570845901966095,0.23890186846256256,0.12979772686958313,0.33625227212905884,0.4902261197566986,0.23178455233573914,0.34830111265182495,0.24639487266540527,0.15430885553359985
climate,0.19015616178512573,0.17530375719070435,0.22610758244991302,0.3436572253704071,0.12215005606412888,0.224740669131279,0.2854173183441162,0.216502845287323,0.26601269841194153,0.24167460203170776,0.17355333268642426,0.2693597674369812,1.0000001192092896,0.24209141731262207,0.22410395741462708,0.14813069999217987,0.19998492300510406
",",0.4446498453617096,0.3371901512145996,0.40610817074775696,0.24701866507530212,0.34504905343055725,1.0000001192092896,0.3087472915649414,0.263354629278183,0.4691906273365021,0.2310890257358551,0.4464869201183319,0.4933079481124878,0.224740669131279,0.5201468467712402,0.28765198588371277,0.2704589068889618,0.31091248989105225
with,0.44086363911628723,0.3028803765773773,0.35744401812553406,0.21514518558979034,0.20790712535381317,0.4120737314224243,0.2464839518070221,0.30304741859436035,0.3250955045223236,0.2500154376029968,0.39140474796295166,0.4223487675189972,0.19627727568149567,0.4080928862094879,0.17295806109905243,0.1391957849264145,0.2433311939239502
infrequent,0.3295583724975586,0.33738306164741516,0.3172283172607422,0.2669413089752197,0.2545153498649597,0.2077333629131317,0.2926669418811798,0.3391798138618469,0.23921269178390503,0.4142249524593353,0.26054468750953674,0.22177143394947052,0.37772849202156067,0.1847386658191681,0.11046461015939713,0.12707778811454773,0.22903667390346527
rain,0.20389488339424133,0.22078567743301392,0.2361525148153305,0.3635432720184326,0.3022058308124542,0.3246457576751709,0.16031549870967865,0.11229687929153442,0.20224589109420776,0.23340153694152832,0.21108321845531464,0.238019198179245,0.37911394238471985,0.2159966677427292,0.26205405592918396,0.14428648352622986,0.16845054924488068
and,0.5504306554794312,0.39361441135406494,0.5296266674995422,0.2655256986618042,0.2561761140823364,0.6633074283599854,0.31309178471565247,0.3171210289001465,0.3859752118587494,0.28220996260643005,0.5064792633056641,0.5171257257461548,0.2292918860912323,0.4954058527946472,0.25850197672843933,0.2441616654396057,0.20544172823429108
many,0.6324484348297119,0.39069414138793945,0.9999999403953552,0.17111369967460632,0.19773665070533752,0.40610817074775696,0.36131182312965393,0.3296940326690674,0.2649032473564148,0.3185737729072571,0.40972793102264404,0.4335206151008606,0.22610758244991302,0.41474202275276184,0.17881694436073303,0.24571245908737183,0.2124512493610382
sunny,0.16273368895053864,0.15915995836257935,0.17111369967460632,0.9999999403953552,0.22999437153339386,0.24701866507530212,0.1652718335390091,0.16490289568901062,0.21460233628749847,0.23233695328235626,0.14355482161045074,0.22265766561031342,0.3436572253704071,0.2390439361333847,0.3203914165496826,0.19356518983840942,0.11983351409435272
days,0.2053433209657669,0.2790418267250061,0.19773665070533752,0.22999437153339386,0.9999998807907104,0.34504905343055725,0.2191895991563797,0.08888270705938339,0.1960425078868866,0.19624842703342438,0.2734130620956421,0.2574930489063263,0.12215005606412888,0.24827800691127777,0.1591719686985016,0.16796669363975525,0.2198754847049713
.,0.41511186957359314,0.3594527542591095,0.3974229395389557,0.22230345010757446,0.2610209584236145,0.6812511086463928,0.3567904531955719,0.2017466127872467,0.4569662809371948,0.2668197751045227,0.4726039469242096,0.5934505462646484,0.22208234667778015,0.5591574311256409,0.27213549613952637,0.2870451807975769,0.4130953550338745
