,what,was,the,outcome,of,living,in,the,california,redwood,tree,?
julia,0.12169865518808365,0.22750039398670197,0.17349642515182495,0.04988575726747513,0.15186050534248352,0.13252578675746918,0.20583799481391907,0.17349642515182495,0.14849959313869476,0.21498343348503113,0.13498122990131378,0.09678179025650024
butterfly,0.192799374461174,0.1608736366033554,0.2843093276023865,0.12220432609319687,0.20809730887413025,0.12038954347372055,0.18615534901618958,0.2843093276023865,0.1688314527273178,0.2651551067829132,0.25376102328300476,0.14161719381809235
hill,0.17965343594551086,0.20485885441303253,0.24348382651805878,0.11088498681783676,0.2003067433834076,0.13983798027038574,0.21030452847480774,0.24348382651805878,0.09976223111152649,0.40215563774108887,0.2244211882352829,0.1149863451719284
lived,0.18411467969417572,0.3715285658836365,0.2897515296936035,0.05126119777560234,0.3103700876235962,0.5325228571891785,0.3669787347316742,0.2897515296936035,0.21804983913898468,0.22998806834220886,0.10554160177707672,0.1798510104417801
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.20638000965118408,0.5696388483047485,0.3253810405731201,1.0,0.6662389636039734,0.2772824168205261,0.23010048270225525,0.15590032935142517,0.20430970191955566
luna,0.09404531121253967,0.2147420048713684,0.22104835510253906,0.004395974799990654,0.1627776324748993,0.18206410109996796,0.1942635476589203,0.22104835510253906,0.2082085907459259,0.12699870765209198,0.1081438958644867,0.09263085573911667
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20479145646095276,0.4946078956127167,0.26278790831565857,0.5201468467712402,0.4933079481124878,0.2704589068889618,0.34315764904022217,0.17433692514896393,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.22244083881378174,0.5052502155303955,0.21367067098617554,0.539380669593811,0.5829201340675354,0.2426064908504486,0.24772249162197113,0.20696568489074707,0.23916715383529663
180-foot,0.25662028789520264,0.23096857964992523,0.3428788483142853,0.15324296057224274,0.29156357049942017,0.24390020966529846,0.3149220943450928,0.3428788483142853,0.2904854118824005,0.33367452025413513,0.30647748708724976,0.25094613432884216
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.15231169760227203,0.35032153129577637,0.17554375529289246,0.3087427020072937,0.33289089798927307,0.16755922138690948,0.23557306826114655,0.12142543494701385,0.40561532974243164
55,-0.04603438824415207,0.014333844184875488,0.014788559637963772,0.06851549446582794,0.019596468657255173,0.06094454228878021,0.0764915719628334,0.014788559637963772,0.08311803638935089,0.07902375608682632,0.05736251175403595,-0.008884507231414318
m,0.23871465027332306,0.19339345395565033,0.15156042575836182,0.12249477207660675,0.14254631102085114,0.16994494199752808,0.12893682718276978,0.15156042575836182,0.1251204013824463,0.18402352929115295,0.1522945761680603,0.2618667185306549
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.1418648362159729,0.3680361211299896,0.19151180982589722,0.3326910734176636,0.3456730246543884,0.19286775588989258,0.23228494822978973,0.13879509270191193,0.42300865054130554
-tall,0.22429585456848145,0.24342989921569824,0.19109126925468445,0.16544568538665771,0.15406569838523865,0.18421635031700134,0.2442001849412918,0.19109126925468445,0.16510304808616638,0.3385002613067627,0.250137597322464,0.28096437454223633
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20479145646095276,0.4946078956127167,0.26278790831565857,0.5201468467712402,0.4933079481124878,0.2704589068889618,0.34315764904022217,0.17433692514896393,0.31091248989105225
600-year-old,0.28184470534324646,0.29987162351608276,0.2956808805465698,0.26513156294822693,0.2694164514541626,0.2558634579181671,0.29917988181114197,0.2956808805465698,0.17303605377674103,0.24800308048725128,0.1604926884174347,0.3983270823955536
california,0.1811584085226059,0.262346476316452,0.2750805914402008,0.09473366290330887,0.24929828941822052,0.14885775744915009,0.2772824168205261,0.2750805914402008,1.0,0.43578067421913147,0.19003883004188538,0.1409905105829239
redwood,0.15325361490249634,0.17730781435966492,0.2738105356693268,0.07531701028347015,0.24903559684753418,0.24713607132434845,0.23010048270225525,0.2738105356693268,0.43578067421913147,1.0,0.45718616247177124,0.15075616538524628
tree,0.17175592482089996,0.14595972001552582,0.2565799951553345,0.0794297456741333,0.23309285938739777,0.20585893094539642,0.15590032935142517,0.2565799951553345,0.19003883004188538,0.45718616247177124,1.0000001192092896,0.10740261524915695
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.2989020049571991,0.4185989499092102,0.15849082171916962,0.4322226941585541,0.4739971458911896,0.23038740456104279,0.15907500684261322,0.14376839995384216,0.264628142118454
738,0.10670334845781326,0.11742422729730606,0.10081710666418076,0.1855827271938324,0.12920664250850677,-0.012272191233932972,0.0531662255525589,0.10081710666418076,0.030049173161387444,0.0141609450802207,0.08589433878660202,0.15388423204421997
days,0.2191895991563797,0.2985812723636627,0.2574930489063263,0.22736085951328278,0.23668107390403748,0.09936556965112686,0.24827800691127777,0.2574930489063263,0.16796669363975525,0.15461225807666779,0.1402885615825653,0.2198754847049713
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20479145646095276,0.4946078956127167,0.26278790831565857,0.5201468467712402,0.4933079481124878,0.2704589068889618,0.34315764904022217,0.17433692514896393,0.31091248989105225
successfully,0.20084762573242188,0.2890758812427521,0.32525569200515747,0.23436801135540009,0.19373616576194763,0.1138623058795929,0.2983573377132416,0.32525569200515747,0.15268957614898682,0.12467041611671448,0.10733956098556519,0.0971045047044754
preventing,0.28585943579673767,0.14271977543830872,0.33351221680641174,0.30239424109458923,0.2948753237724304,0.13018639385700226,0.20244476199150085,0.33351221680641174,0.1205642968416214,0.13135920464992523,0.17110401391983032,0.25842657685279846
it,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.23901493847370148,0.38761502504348755,0.20901772379875183,0.5130809545516968,0.6251175999641418,0.1883031278848648,0.24421274662017822,0.16492867469787598,0.25732165575027466
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.06538701802492142,0.4249346852302551,0.21752916276454926,0.4274188280105591,0.40150508284568787,0.23643477261066437,0.1887136697769165,0.1679164469242096,0.19969791173934937
being,0.3760843276977539,0.5201660394668579,0.419739305973053,0.2880116105079651,0.34885138273239136,0.21959400177001953,0.33162933588027954,0.419739305973053,0.15683287382125854,0.14371643960475922,0.17553554475307465,0.26743772625923157
cut,0.20727719366550446,0.21575933694839478,0.29221418499946594,0.143185093998909,0.26061776280403137,0.09395939111709595,0.1650969684123993,0.29221418499946594,0.13020968437194824,0.20790965855121613,0.2868525981903076,0.1403924524784088
down,0.26226112246513367,0.19277216494083405,0.3325848877429962,0.1186319962143898,0.23279321193695068,0.09506383538246155,0.2321847528219223,0.3325848877429962,0.16884852945804596,0.2406625598669052,0.24566566944122314,0.13836295902729034
