,who,did,the,normans,team,up,with,in,anatolia,?
some,0.3978389501571655,0.42553430795669556,0.4566698372364044,0.21342512965202332,0.16086876392364502,0.336993008852005,0.3924338221549988,0.4010399878025055,0.2390822321176529,0.2562315762042999
normans,0.20534200966358185,0.22847257554531097,0.2781367897987366,1.0,0.16034643352031708,0.17911432683467865,0.18717211484909058,0.23263490200042725,0.39434614777565,0.12354589998722076
joined,0.18540184199810028,0.2579648792743683,0.2943263649940491,0.12487024068832397,0.21698981523513794,0.2220333367586136,0.3091675937175751,0.29866936802864075,0.08238450437784195,0.06566751003265381
turkish,0.22388200461864471,0.13910268247127533,0.19575290381908417,0.18095096945762634,0.09140016883611679,0.058844976127147675,0.0857606902718544,0.15721441805362701,0.3997025787830353,0.10638481378555298
forces,0.2532956302165985,0.13164828717708588,0.3134811818599701,0.3794669508934021,0.19485440850257874,0.1913924217224121,0.18998397886753082,0.2565164566040039,0.18341918289661407,0.16984491050243378
to,0.42656609416007996,0.4452643394470215,0.535392165184021,0.2506018877029419,0.23889471590518951,0.40375280380249023,0.4239959120750427,0.45010748505592346,0.21305346488952637,0.29463258385658264
aid,0.31013068556785583,0.1701076328754425,0.21952909231185913,0.2245212346315384,0.18592262268066406,0.12057749181985855,0.2036019116640091,0.1754455417394638,0.15691424906253815,0.08358026295900345
in,0.2792111933231354,0.2593238651752472,0.6662389636039734,0.23263490200042725,0.18841172754764557,0.3120773434638977,0.4080928862094879,1.0,0.25427955389022827,0.20430970191955566
the,0.3733934462070465,0.34736719727516174,1.0,0.2781367897987366,0.22564226388931274,0.38423117995262146,0.4223487675189972,0.6662389636039734,0.2979101240634918,0.22068053483963013
destruction,0.13495288789272308,0.19351856410503387,0.3148382306098938,0.2598094642162323,0.09750936180353165,0.1764030158519745,0.19988326728343964,0.2888343632221222,0.2672182023525238,0.12016301602125168
of,0.2827862501144409,0.2513895630836487,0.733189046382904,0.2173461765050888,0.20352502167224884,0.32945773005485535,0.41827285289764404,0.5696388483047485,0.2370176911354065,0.1826142966747284
the,0.3733934462070465,0.34736719727516174,1.0,0.2781367897987366,0.22564226388931274,0.38423117995262146,0.4223487675189972,0.6662389636039734,0.2979101240634918,0.22068053483963013
armenians,0.26237043738365173,0.19774679839611053,0.2659901976585388,0.3933708369731903,0.08991080522537231,0.1676500290632248,0.10716164857149124,0.16083121299743652,0.48891323804855347,0.17917022109031677
vassal-states,0.3064185082912445,0.22416698932647705,0.35390543937683105,0.44814246892929077,0.17553609609603882,0.17929041385650635,0.22322125732898712,0.32011812925338745,0.46954235434532166,0.16434063017368317
of,0.2827862501144409,0.2513895630836487,0.733189046382904,0.2173461765050888,0.20352502167224884,0.32945773005485535,0.41827285289764404,0.5696388483047485,0.2370176911354065,0.1826142966747284
sassoun,0.3292858898639679,0.24551305174827576,0.34276798367500305,0.3364472985267639,0.19142107665538788,0.13822424411773682,0.17333418130874634,0.2567824721336365,0.3438684344291687,0.20140914618968964
and,0.41279885172843933,0.34479495882987976,0.5171257257461548,0.23779046535491943,0.22394508123397827,0.4032393991947174,0.5477725267410278,0.4954058527946472,0.2600176930427551,0.20544172823429108
taron,0.2633216679096222,0.11976160854101181,0.3191911578178406,0.1839972585439682,0.20837970077991486,0.1935727596282959,0.214495450258255,0.272457480430603,0.3155895471572876,0.14629018306732178
in,0.2792111933231354,0.2593238651752472,0.6662389636039734,0.23263490200042725,0.18841172754764557,0.3120773434638977,0.4080928862094879,1.0,0.25427955389022827,0.20430970191955566
far,0.24308858811855316,0.2696933448314667,0.38564538955688477,0.15947239100933075,0.1409597098827362,0.25054943561553955,0.2511198818683624,0.2599720060825348,0.2784160375595093,0.2170870453119278
eastern,0.18017642199993134,0.13009013235569,0.3928247392177582,0.2569279670715332,0.1239985004067421,0.16016191244125366,0.22773508727550507,0.3306356370449066,0.38391634821891785,0.20060817897319794
anatolia,0.23588959872722626,0.19896408915519714,0.2979101240634918,0.39434614777565,0.1465306580066681,0.1363980919122696,0.18051117658615112,0.25427955389022827,1.0,0.13391660153865814
.,0.3541337847709656,0.35288307070732117,0.5934505462646484,0.2287112921476364,0.26467522978782654,0.351434588432312,0.4446153938770294,0.5591574311256409,0.24602535367012024,0.4130953550338745
