,how,many,general,principles,does,the,social,charter,declare,?
the,0.33890387415885925,0.4335206151008606,0.28634732961654663,0.21452596783638,0.35928019881248474,1.0,0.21797899901866913,0.26436546444892883,0.2523198127746582,0.22068053483963013
social,0.2205141931772232,0.2721116840839386,0.19534485042095184,0.26477837562561035,0.19126898050308228,0.21797899901866913,1.0,0.22358788549900055,0.1737493872642517,0.1615191102027893
charter,0.11218208819627762,0.17963452637195587,0.06253433227539062,0.3494836986064911,0.18460236489772797,0.26436546444892883,0.22358788549900055,1.0000001192092896,0.32438090443611145,0.14220231771469116
declares,0.10059795528650284,0.10661429911851883,0.2502656579017639,0.31508368253707886,0.21337078511714935,0.25175055861473083,0.19068543612957,0.30823075771331787,0.8679264783859253,0.1693958342075348
30,-0.0035910264123231173,0.09108389914035797,-0.03760867193341255,0.04380575194954872,-0.05975762754678726,0.0730796679854393,0.12322436273097992,-0.04358706995844841,-0.016186809167265892,-0.08261742442846298
general,0.19638104736804962,0.21976788341999054,1.0000001192092896,0.2270563840866089,0.15178900957107544,0.28634732961654663,0.19534485042095184,0.06253433227539062,0.24318081140518188,0.1972234547138214
principles,0.3132765293121338,0.23864153027534485,0.2270563840866089,1.0000001192092896,0.2238970249891281,0.21452596783638,0.26477837562561035,0.3494836986064911,0.32327213883399963,0.19203636050224304
",",0.22659391164779663,0.40610817074775696,0.3022127151489258,0.23890022933483124,0.28617382049560547,0.4933079481124878,0.2674078345298767,0.25566044449806213,0.2672341763973236,0.31091248989105225
including,0.20270724594593048,0.6119236350059509,0.18835937976837158,0.22197914123535156,0.20252716541290283,0.3738902807235718,0.19188199937343597,0.2043638676404953,0.19220970571041107,0.1633303165435791
on,0.32655060291290283,0.32520127296447754,0.18019753694534302,0.2104194611310959,0.2568802833557129,0.5107308030128479,0.24255602061748505,0.22432076930999756,0.243721604347229,0.2714994251728058
fair,0.19913963973522186,0.22412070631980896,0.12248837202787399,0.18109163641929626,0.2463476061820984,0.2018251270055771,0.1213468685746193,0.22154071927070618,0.13692499697208405,0.22737592458724976
remuneration,0.24094556272029877,0.27099233865737915,0.0763125866651535,0.19778506457805634,0.19465750455856323,0.36193954944610596,0.13707086443901062,0.2630888521671295,0.25051575899124146,0.20674778521060944
of,0.2480744868516922,0.37253960967063904,0.28352999687194824,0.25854504108428955,0.3119818866252899,0.733189046382904,0.2605111300945282,0.2438247799873352,0.281587690114975,0.1826142966747284
employment,0.2789355516433716,0.25478100776672363,0.26973608136177063,0.29136496782302856,0.23374494910240173,0.22877080738544464,0.38417667150497437,0.24671301245689392,0.24693870544433594,0.20128771662712097
",",0.22659391164779663,0.40610817074775696,0.3022127151489258,0.23890022933483124,0.28617382049560547,0.4933079481124878,0.2674078345298767,0.25566044449806213,0.2672341763973236,0.31091248989105225
health,0.24691897630691528,0.2277422696352005,0.2671302556991577,0.23863734304904938,0.2216196060180664,0.2340974360704422,0.3956437110900879,0.17992523312568665,0.21145354211330414,0.16094304621219635
and,0.33647966384887695,0.5296266674995422,0.25860127806663513,0.23146027326583862,0.3461615741252899,0.5171257257461548,0.38231831789016724,0.21405354142189026,0.23179461061954498,0.20544172823429108
safety,0.18442712724208832,0.18394866585731506,0.18961834907531738,0.23057186603546143,0.17316100001335144,0.25972458720207214,0.20699501037597656,0.2555329501628876,0.17782603204250336,0.1443338692188263
at,0.2154216170310974,0.2716965675354004,0.2006627768278122,0.1440499871969223,0.17465277016162872,0.457212895154953,0.14974823594093323,0.19808638095855713,0.07657115161418915,0.21978627145290375
work,0.38187548518180847,0.3578229546546936,0.1791238635778427,0.24210472404956818,0.2975199520587921,0.2704800069332123,0.24260936677455902,0.12621650099754333,0.0937315821647644,0.2621155381202698
",",0.22659391164779663,0.40610817074775696,0.3022127151489258,0.23890022933483124,0.28617382049560547,0.4933079481124878,0.2674078345298767,0.25566044449806213,0.2672341763973236,0.31091248989105225
rights,0.18843793869018555,0.245268315076828,0.17327341437339783,0.3240523934364319,0.19725890457630157,0.2579100430011749,0.3295683264732361,0.41641664505004883,0.3061983585357666,0.21814769506454468
of,0.2480744868516922,0.37253960967063904,0.28352999687194824,0.25854504108428955,0.3119818866252899,0.733189046382904,0.2605111300945282,0.2438247799873352,0.281587690114975,0.1826142966747284
disabled,0.18237116932868958,0.20754563808441162,0.16715098917484283,0.11575349420309067,0.19093286991119385,0.1687239110469818,0.23522436618804932,0.1354341208934784,0.23087336122989655,0.20987746119499207
and,0.33647966384887695,0.5296266674995422,0.25860127806663513,0.23146027326583862,0.3461615741252899,0.5171257257461548,0.38231831789016724,0.21405354142189026,0.23179461061954498,0.20544172823429108
elderly,0.19105525314807892,0.2261073738336563,0.16310766339302063,0.1632457971572876,0.16442826390266418,0.16612406075000763,0.1970348209142685,0.1480063647031784,0.10320703685283661,0.10221173614263535
",",0.22659391164779663,0.40610817074775696,0.3022127151489258,0.23890022933483124,0.28617382049560547,0.4933079481124878,0.2674078345298767,0.25566044449806213,0.2672341763973236,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.28634732961654663,0.21452596783638,0.35928019881248474,1.0,0.21797899901866913,0.26436546444892883,0.2523198127746582,0.22068053483963013
rights,0.18843793869018555,0.245268315076828,0.17327341437339783,0.3240523934364319,0.19725890457630157,0.2579100430011749,0.3295683264732361,0.41641664505004883,0.3061983585357666,0.21814769506454468
of,0.2480744868516922,0.37253960967063904,0.28352999687194824,0.25854504108428955,0.3119818866252899,0.733189046382904,0.2605111300945282,0.2438247799873352,0.281587690114975,0.1826142966747284
workers,0.18233367800712585,0.271828830242157,0.12074387073516846,0.2090774029493332,0.19339993596076965,0.23066683113574982,0.38298001885414124,0.1791946291923523,0.14670196175575256,0.1706571877002716
",",0.22659391164779663,0.40610817074775696,0.3022127151489258,0.23890022933483124,0.28617382049560547,0.4933079481124878,0.2674078345298767,0.25566044449806213,0.2672341763973236,0.31091248989105225
on,0.32655060291290283,0.32520127296447754,0.18019753694534302,0.2104194611310959,0.2568802833557129,0.5107308030128479,0.24255602061748505,0.22432076930999756,0.243721604347229,0.2714994251728058
vocational,0.19785833358764648,0.2063285857439041,0.23573775589466095,0.3286813795566559,0.24665026366710663,0.23646128177642822,0.41493937373161316,0.28713229298591614,0.22483615577220917,0.1961013227701187
training,0.2368249148130417,0.2208126336336136,0.20000995695590973,0.2333928644657135,0.21068888902664185,0.22380973398685455,0.23720508813858032,0.25316664576530457,0.13932298123836517,0.14311334490776062
and,0.33647966384887695,0.5296266674995422,0.25860127806663513,0.23146027326583862,0.3461615741252899,0.5171257257461548,0.38231831789016724,0.21405354142189026,0.23179461061954498,0.20544172823429108
improvements,0.27780044078826904,0.3468572199344635,0.22220946848392487,0.29208189249038696,0.2379654496908188,0.269887775182724,0.2285730540752411,0.19867989420890808,0.17409998178482056,0.26583096385002136
of,0.2480744868516922,0.37253960967063904,0.28352999687194824,0.25854504108428955,0.3119818866252899,0.733189046382904,0.2605111300945282,0.2438247799873352,0.281587690114975,0.1826142966747284
living,0.16140781342983246,0.3044293522834778,0.1339370757341385,0.12599913775920868,0.17343831062316895,0.3127744197845459,0.20777782797813416,0.190153107047081,0.14307068288326263,0.18362653255462646
conditions,0.2993250787258148,0.3021313548088074,0.14170131087303162,0.2654315233230591,0.26986852288246155,0.2622014284133911,0.22491425275802612,0.20711128413677216,0.18954099714756012,0.17021824419498444
.,0.3287222981452942,0.3974229395389557,0.2929490804672241,0.18409739434719086,0.3022993505001068,0.5934505462646484,0.2614770531654358,0.17250345647335052,0.21022111177444458,0.4130953550338745
