,where,are,the,rows,of,combs,located,?
there,0.5016061663627625,0.5433560013771057,0.47025805711746216,0.26585617661476135,0.44397735595703125,0.15232007205486298,0.34069621562957764,0.29405656456947327
are,0.32389864325523376,1.0,0.40399202704429626,0.38430702686309814,0.39081433415412903,0.23614484071731567,0.24096766114234924,0.24591213464736938
eight,0.19268837571144104,0.28273332118988037,0.34254369139671326,0.2905600368976593,0.3220755457878113,0.20535102486610413,0.17972432076931,0.11634626984596252
rows,0.26021820306777954,0.38430702686309814,0.2598671019077301,0.9999999403953552,0.1976359784603119,0.2509155571460724,0.21916480362415314,0.1265581250190735
of,0.38066378235816956,0.39081433415412903,0.733189046382904,0.1976359784603119,1.0,0.18958649039268494,0.32520920038223267,0.1826142966747284
combs,0.1787649393081665,0.23614484071731567,0.2017894983291626,0.2509155571460724,0.18958649039268494,1.0,0.002057050820440054,0.24039559066295624
that,0.4876193106174469,0.45265161991119385,0.5473989248275757,0.24829436838626862,0.41498205065727234,0.21876102685928345,0.1796129047870636,0.32716336846351624
run,0.2542288899421692,0.2580355107784271,0.27883726358413696,0.15509314835071564,0.2272813767194748,0.16074134409427643,0.1602577418088913,0.17904110252857208
from,0.3713873624801636,0.2674213647842407,0.40150508284568787,0.12540243566036224,0.4249346852302551,0.2005806863307953,0.2290649116039276,0.19969791173934937
near,0.4188554286956787,0.20196682214736938,0.2879819869995117,0.16124163568019867,0.2651676535606384,0.03927438333630562,0.4311690628528595,0.10734958201646805
the,0.5003893971443176,0.40399202704429626,1.0,0.2598671019077301,0.733189046382904,0.2017894983291626,0.407527357339859,0.22068053483963013
mouth,0.2391524761915207,0.20501531660556793,0.3073960244655609,0.21072745323181152,0.2183857262134552,0.2474782019853592,0.2109314203262329,0.21761061251163483
to,0.47735077142715454,0.3504326641559601,0.535392165184021,0.24169988930225372,0.41548454761505127,0.17389018833637238,0.20850814878940582,0.29463258385658264
the,0.5003893971443176,0.40399202704429626,1.0,0.2598671019077301,0.733189046382904,0.2017894983291626,0.407527357339859,0.22068053483963013
opposite,0.2987624704837799,0.30710941553115845,0.2730693221092224,0.21887968480587006,0.2534274458885193,0.1347743421792984,0.22216875851154327,0.0778411254286766
end,0.29005250334739685,0.18067817389965057,0.39658910036087036,0.1704891175031662,0.2215006798505783,0.1635402888059616,0.2061743140220642,0.12543344497680664
",",0.3149496018886566,0.4062570035457611,0.4933079481124878,0.17734470963478088,0.4946078956127167,0.34822797775268555,0.2678719460964203,0.31091248989105225
and,0.43859338760375977,0.48576638102531433,0.5171257257461548,0.28445664048194885,0.5116966962814331,0.34910082817077637,0.24183952808380127,0.20544172823429108
are,0.32389864325523376,1.0,0.40399202704429626,0.38430702686309814,0.39081433415412903,0.23614484071731567,0.24096766114234924,0.24591213464736938
spaced,0.1910315752029419,0.2825653553009033,0.22072622179985046,0.3707151710987091,0.1785961240530014,0.24858403205871582,0.10158919543027878,0.19201503694057465
evenly,0.3591584861278534,0.37778252363204956,0.3584669828414917,0.32525914907455444,0.2536168694496155,0.17482827603816986,0.09363768994808197,0.10661140084266663
round,0.2524500787258148,0.20373912155628204,0.19933617115020752,0.3451124131679535,0.15754494071006775,0.1572006344795227,0.0977000966668129,0.17003268003463745
the,0.5003893971443176,0.40399202704429626,1.0,0.2598671019077301,0.733189046382904,0.2017894983291626,0.407527357339859,0.22068053483963013
body,0.21554996073246002,0.2451179027557373,0.31682634353637695,0.2696792781352997,0.25063133239746094,0.27258986234664917,0.13431580364704132,0.20136451721191406
.,0.41390106081962585,0.3452940285205841,0.5934505462646484,0.17825132608413696,0.5352458953857422,0.32467591762542725,0.28226932883262634,0.4130953550338745
