,what,percentage,of,electrical,power,in,the,united,states,is,made,by,steam,turbines,?
in,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.2146623730659485,0.16666220128536224,1.0,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.5394441485404968,0.25271502137184143,0.370934396982193,0.19852672517299652,0.23479467630386353,0.20430970191955566
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.2523402273654938,0.2647338807582855,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.5823672413825989,0.3885267674922943,0.4408751428127289,0.23105813562870026,0.2202165722846985,0.22068053483963013
united,0.20036718249320984,0.14304271340370178,0.3187655806541443,0.16479429602622986,0.18556222319602966,0.3938477039337158,0.34367692470550537,1.0000001192092896,0.8952266573905945,0.22408509254455566,0.20117242634296417,0.23958808183670044,0.16146141290664673,0.27422383427619934,0.17266890406608582
states,0.21526020765304565,0.1540820449590683,0.30884552001953125,0.1464807391166687,0.19038769602775574,0.3977442979812622,0.3463578522205353,0.8952266573905945,1.0,0.21939043700695038,0.19372312724590302,0.23827408254146576,0.14757661521434784,0.24589797854423523,0.16272737085819244
90,-0.03224492445588112,-0.14301125705242157,-0.06715171784162521,-0.150110125541687,-0.07385910302400589,0.022158663719892502,-0.08136876672506332,-0.12290526181459427,-0.14231222867965698,-0.03490179032087326,-0.06037994846701622,-0.03996444493532181,-0.12955141067504883,-0.12744881212711334,-0.0034062080085277557
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.11325447261333466,0.15953417122364044,0.19465309381484985,0.21490740776062012,0.1906377077102661,0.22840973734855652,0.18672586977481842,0.1488196700811386,0.13780950009822845,0.11721061915159225,0.18428784608840942,0.21441808342933655
of,0.33290785551071167,0.24724560976028442,1.0,0.23057208955287933,0.25273123383522034,0.5696388483047485,0.733189046382904,0.3187655806541443,0.30884552001953125,0.4854315221309662,0.33167365193367004,0.3646814823150635,0.20239725708961487,0.2403727024793625,0.1826142966747284
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.2523402273654938,0.2647338807582855,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.5823672413825989,0.3885267674922943,0.4408751428127289,0.23105813562870026,0.2202165722846985,0.22068053483963013
electric,0.15451551973819733,0.11226515471935272,0.17329032719135284,0.7726083397865295,0.34122735261917114,0.19779469072818756,0.21345196664333344,0.21639567613601685,0.14447499811649323,0.16143305599689484,0.15518231689929962,0.19581176340579987,0.3633075952529907,0.38727980852127075,0.15674720704555511
power,0.22216427326202393,0.19785702228546143,0.25273123383522034,0.39343613386154175,1.0000001192092896,0.16666220128536224,0.2647338807582855,0.18556222319602966,0.19038769602775574,0.15234114229679108,0.15638238191604614,0.21582826972007751,0.35972869396209717,0.46097153425216675,0.15304024517536163
is,0.28837618231773376,0.23538601398468018,0.4854315221309662,0.20024892687797546,0.15234114229679108,0.5394441485404968,0.5823672413825989,0.22408509254455566,0.21939043700695038,1.0,0.29543453454971313,0.3899846076965332,0.13029660284519196,0.24277569353580475,0.22961433231830597
produced,0.1393624097108841,0.08791656047105789,0.18961067497730255,0.22565732896327972,0.11958412081003189,0.2542861998081207,0.22045251727104187,0.1769915670156479,0.14615444839000702,0.25678005814552307,0.362557590007782,0.4647648334503174,0.1864473819732666,0.27739018201828003,0.1623450517654419
in,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.2146623730659485,0.16666220128536224,1.0,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.5394441485404968,0.25271502137184143,0.370934396982193,0.19852672517299652,0.23479467630386353,0.20430970191955566
this,0.5489566326141357,0.3210579752922058,0.45148900151252747,0.2809205949306488,0.24943022429943085,0.45205554366111755,0.6274310946464539,0.23579099774360657,0.2684851288795471,0.480927973985672,0.43620941042900085,0.38438332080841064,0.22001534700393677,0.27303630113601685,0.3155723512172699
way,0.4835909903049469,0.23404870927333832,0.266871839761734,0.23311388492584229,0.19408752024173737,0.30444321036338806,0.36217406392097473,0.19394230842590332,0.2149762362241745,0.31685471534729004,0.29497966170310974,0.3228684663772583,0.2027996927499771,0.20998242497444153,0.31575819849967957
using,0.27984681725502014,0.25026601552963257,0.24298200011253357,0.23162242770195007,0.15780086815357208,0.2717311978340149,0.28364112973213196,0.1630413681268692,0.1784699261188507,0.26543745398521423,0.24982419610023499,0.349493145942688,0.250103622674942,0.2607644498348236,0.2804589569568634
a,0.3320399522781372,0.25336048007011414,0.5052502155303955,0.2779098153114319,0.21580491960048676,0.539380669593811,0.5829201340675354,0.2732578217983246,0.24708621203899384,0.658733606338501,0.3180864453315735,0.32094135880470276,0.2141898274421692,0.26460933685302734,0.23916715383529663
variety,0.20492127537727356,0.21708214282989502,0.21034783124923706,0.19506531953811646,0.08474311977624893,0.21121226251125336,0.22543764114379883,0.19401630759239197,0.17871350049972534,0.1789252758026123,0.20482751727104187,0.17827251553535461,0.128376767039299,0.18220190703868866,0.13376861810684204
of,0.33290785551071167,0.24724560976028442,1.0,0.23057208955287933,0.25273123383522034,0.5696388483047485,0.733189046382904,0.3187655806541443,0.30884552001953125,0.4854315221309662,0.33167365193367004,0.3646814823150635,0.20239725708961487,0.2403727024793625,0.1826142966747284
heat,0.1933984011411667,0.2575851082801819,0.19590096175670624,0.3976040184497833,0.34465473890304565,0.20852652192115784,0.2556036710739136,0.19994229078292847,0.176915243268013,0.20543494820594788,0.1766005903482437,0.18109887838363647,0.45067235827445984,0.43804264068603516,0.16343188285827637
sources,0.30212491750717163,0.22389152646064758,0.20696839690208435,0.18222902715206146,0.2631075382232666,0.23531174659729004,0.27209216356277466,0.1277206689119339,0.19485124945640564,0.2594712972640991,0.16431590914726257,0.1700943410396576,0.15929515659809113,0.2661300599575043,0.2886999845504761
.,0.3567904531955719,0.28866735100746155,0.5352458953857422,0.2174808531999588,0.2141435295343399,0.5591574311256409,0.5934505462646484,0.3406063914299011,0.33941102027893066,0.4569662809371948,0.4032190144062042,0.3936232924461365,0.22855372726917267,0.24173502624034882,0.4130953550338745
