,which,network,broadcast,the,game,in,spanish,?
on,0.4245251417160034,0.30190837383270264,0.2845228910446167,0.5107308030128479,0.22967135906219482,0.46853652596473694,0.13294139504432678,0.2714994251728058
december,0.15643881261348724,0.13664229214191437,0.20395895838737488,0.23266014456748962,0.16027016937732697,0.25854936242103577,0.1788378655910492,0.2480352818965912
28,-0.29609644412994385,-0.08271343261003494,-0.11513176560401917,-0.31177106499671936,-0.16065357625484467,-0.27002766728401184,-0.23884320259094238,-0.012856917455792427
",",0.3658004403114319,0.1932937651872635,0.24917922914028168,0.4933079481124878,0.2653886377811432,0.5201468467712402,0.2153884321451187,0.31091248989105225
2015,-0.028074992820620537,-0.04010036587715149,0.0484444685280323,0.1466771513223648,-0.003872275585308671,0.0891268327832222,0.12440259754657745,-0.029954981058835983
",",0.3658004403114319,0.1932937651872635,0.24917922914028168,0.4933079481124878,0.2653886377811432,0.5201468467712402,0.2153884321451187,0.31091248989105225
espn,0.16519013047218323,0.4269711971282959,0.442352294921875,0.19345609843730927,0.3451416492462158,0.12142056226730347,0.14475861191749573,0.1709517240524292
deportes,0.06051165238022804,0.19050951302051544,0.21405574679374695,0.19800831377506256,0.106756791472435,0.2083962857723236,0.3305516541004181,0.14327947795391083
announced,0.14883647859096527,0.2249229997396469,0.29546964168548584,0.2277132272720337,0.23265314102172852,0.2528248429298401,0.08565793931484222,0.17416009306907654
that,0.6894589066505432,0.2984007000923157,0.267183780670166,0.5473989248275757,0.27499276399612427,0.435920387506485,0.1831190586090088,0.32716336846351624
they,0.5165667533874512,0.21079795062541962,0.16604524850845337,0.49925389885902405,0.2399950921535492,0.4330179989337921,0.20097863674163818,0.2753053903579712
had,0.3188965916633606,0.13757506012916565,0.15132653713226318,0.3875846862792969,0.18758456408977509,0.385026752948761,0.15303447842597961,0.20728366076946259
reached,0.22089211642742157,0.12147348374128342,0.17534880340099335,0.29860952496528625,0.16928428411483765,0.24389809370040894,0.1302991807460785,0.1518019139766693
an,0.3611921966075897,0.22587502002716064,0.19117678701877594,0.4207492768764496,0.16604416072368622,0.2605783939361572,0.12465652078390121,0.19793890416622162
agreement,0.24597544968128204,0.22367006540298462,0.20970939099788666,0.2490699142217636,0.16246125102043152,0.20350398123264313,0.13748082518577576,0.15830197930335999
with,0.46403205394744873,0.2153671681880951,0.1932039111852646,0.4223487675189972,0.19394829869270325,0.4080928862094879,0.09756194055080414,0.2433311939239502
cbs,0.18413257598876953,0.4702880382537842,0.5521507263183594,0.2283918708562851,0.3367152214050293,0.17584392428398132,0.1346147358417511,0.14594407379627228
and,0.506277859210968,0.27591994404792786,0.22526025772094727,0.5171257257461548,0.25192898511886597,0.4954058527946472,0.27494850754737854,0.20544172823429108
