,what,is,the,largest,city,in,poland,?
warsaw,0.10373849421739578,0.09741193056106567,0.23137180507183075,0.15168581902980804,0.25006377696990967,0.22642600536346436,0.6352760195732117,0.09769917279481888
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.14214102923870087,0.19590984284877777,0.3087427020072937,0.1692374348640442,0.40561532974243164
polish,0.08233486860990524,0.14989061653614044,0.17708231508731842,0.110835961997509,0.14986389875411987,0.1896398365497589,0.6610397100448608,0.14012759923934937
:,-0.12022944539785385,-0.07222653180360794,-0.03403344005346298,-0.07544846087694168,-0.06421580910682678,0.020521078258752823,0.13587740063667297,-0.07156077772378922
warszawa,0.10578237473964691,0.14272388815879822,0.20702846348285675,0.13793350756168365,0.24860961735248566,0.21249134838581085,0.43606215715408325,0.16275280714035034
[,0.010752761736512184,-0.06921151280403137,0.07130392640829086,0.08455614745616913,0.24933026731014252,0.12324675917625427,0.07375819236040115,0.011015460826456547
varˈʂava,0.16886426508426666,0.21223218739032745,0.21958379447460175,0.16666162014007568,0.24134759604930878,0.22084425389766693,0.26730501651763916,0.12633873522281647
],-0.03775298595428467,-0.02998926118016243,-0.04779602214694023,0.11986489593982697,0.035965386778116226,-0.1088862195611,-0.03812984749674797,-0.0022520492784678936
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.14214102923870087,0.19590984284877777,0.3087427020072937,0.1692374348640442,0.40561532974243164
listen,0.34003081917762756,0.0984208956360817,0.17585723102092743,0.09691160917282104,0.06762649118900299,0.10958155244588852,0.09628091752529144,0.23244893550872803
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1570781171321869,0.2113075703382492,0.3326910734176636,0.18025755882263184,0.42300865054130554
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.0886458232998848,0.07572981715202332,0.092739537358284,0.10250470787286758,0.10349778085947037
see,0.44941186904907227,0.30759111046791077,0.3770301640033722,0.15030653774738312,0.17818070948123932,0.2973747253417969,0.17252492904663086,0.42005208134651184
also,0.42747777700424194,0.5012649297714233,0.6021018624305725,0.2870445251464844,0.2577536404132843,0.5073733329772949,0.18497401475906372,0.21848613023757935
other,0.341873437166214,0.25895947217941284,0.44152235984802246,0.24251358211040497,0.20028837025165558,0.39989137649536133,0.2015342265367508,0.24682199954986572
names,0.1840197592973709,0.21354545652866364,0.27965226769447327,0.1164732277393341,0.0800791010260582,0.19826655089855194,0.09038000553846359,0.16607333719730377
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1570781171321869,0.2113075703382492,0.3326910734176636,0.18025755882263184,0.42300865054130554
is,0.28837618231773376,1.0,0.5823672413825989,0.3413417339324951,0.3186660706996918,0.5394441485404968,0.13666775822639465,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.35769423842430115,0.6662389636039734,0.24871079623699188,0.22068053483963013
capital,0.17967931926250458,0.2849797308444977,0.3049491047859192,0.37960806488990784,0.5637158751487732,0.3233928978443146,0.1635831594467163,0.0907452180981636
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.24602696299552917,0.2827445864677429,0.4954058527946472,0.2642565965652466,0.20544172823429108
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.9999999403953552,0.3647192716598511,0.3017216920852661,0.1417662352323532,0.12401245534420013
city,0.17493832111358643,0.3186660706996918,0.35769423842430115,0.3647192716598511,1.0,0.3911624252796173,0.1585082858800888,0.13423943519592285
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.36650770902633667,0.32503411173820496,0.5696388483047485,0.26632049679756165,0.1826142966747284
poland,0.16095873713493347,0.13666775822639465,0.24871079623699188,0.1417662352323532,0.1585082858800888,0.2887791395187378,0.9999999403953552,0.14259830117225647
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18871670961380005,0.29856356978416443,0.5591574311256409,0.2872875928878784,0.4130953550338745
