,where,do,ipcc,reports,get,their,information,?
lead,0.16483327746391296,0.20267564058303833,0.12326420098543167,0.15809185802936554,0.23146316409111023,0.2087358832359314,0.1935586929321289,0.14552436769008636
authors,0.1341787576675415,0.22973844408988953,0.29401323199272156,0.28492701053619385,0.10403711348772049,0.2377326637506485,0.25077739357948303,0.19121912121772766
of,0.38066378235816956,0.26150479912757874,0.20174051821231842,0.27564457058906555,0.26628199219703674,0.4329940676689148,0.2860049605369568,0.1826142966747284
ipcc,0.14421039819717407,0.269673615694046,1.0000001192092896,0.375255823135376,0.17580196261405945,0.2185334414243698,0.3081068694591522,0.22295254468917847
reports,0.18060199916362762,0.23928427696228027,0.375255823135376,1.0,0.24337226152420044,0.225582093000412,0.3778631389141083,0.23746368288993835
assess,0.2112896889448166,0.42018982768058777,0.39381399750709534,0.34597718715667725,0.36254996061325073,0.33639684319496155,0.3149431049823761,0.30426618456840515
the,0.5003893971443176,0.30239659547805786,0.24925659596920013,0.2622474431991577,0.29667025804519653,0.516537070274353,0.3143121302127838,0.22068053483963013
available,0.19956104457378387,0.2372470647096634,0.24373742938041687,0.24846987426280975,0.26187607645988464,0.25499746203422546,0.3692378103733063,0.2501629889011383
information,0.24566924571990967,0.26156288385391235,0.3081068694591522,0.3778631389141083,0.2969059348106384,0.2530982494354248,0.9999999403953552,0.24875912070274353
about,0.3108544647693634,0.3183841109275818,0.27126818895339966,0.3351723551750183,0.2682341933250427,0.25792208313941956,0.37036579847335815,0.302409827709198
climate,0.21806944906711578,0.19140350818634033,0.5031722187995911,0.19698955118656158,0.12227830290794373,0.12227319926023483,0.20073968172073364,0.19998492300510406
change,0.2702590823173523,0.528757631778717,0.34827950596809387,0.1545485407114029,0.3677383065223694,0.28483736515045166,0.2755037248134613,0.24115969240665436
based,0.20940464735031128,0.2074713259935379,0.2432917356491089,0.18710218369960785,0.16819234192371368,0.22706227004528046,0.20863652229309082,0.134929820895195
on,0.37630224227905273,0.3025321364402771,0.24879392981529236,0.26750078797340393,0.2705233693122864,0.3598666191101074,0.23195485770702362,0.2714994251728058
published,0.15168938040733337,0.13960681855678558,0.33862897753715515,0.3574501872062683,0.10584714263677597,0.17387564480304718,0.20665474236011505,0.16280238330364227
sources,0.2117059975862503,0.26546207070350647,0.24691316485404968,0.31778407096862793,0.19034136831760406,0.20314598083496094,0.421787291765213,0.2886999845504761
.,0.41390106081962585,0.3613996207714081,0.20098818838596344,0.2803177535533905,0.39392393827438354,0.34427863359451294,0.2787359356880188,0.4130953550338745
,where,do,ipcc,reports,get,their,information,?
according,0.1970262974500656,0.16328340768814087,0.29295969009399414,0.34724023938179016,0.15254773199558258,0.22182291746139526,0.21628603339195251,0.21173474192619324
to,0.47735077142715454,0.38876664638519287,0.25466105341911316,0.25420817732810974,0.4388369917869568,0.44619059562683105,0.3299184739589691,0.29463258385658264
ipcc,0.14421039819717407,0.269673615694046,1.0000001192092896,0.375255823135376,0.17580196261405945,0.2185334414243698,0.3081068694591522,0.22295254468917847
guidelines,0.24271948635578156,0.40943026542663574,0.3607439696788788,0.31236666440963745,0.23278184235095978,0.24247604608535767,0.37194928526878357,0.4335061311721802
",",0.3149496018886566,0.3283645510673523,0.15590040385723114,0.2661382555961609,0.2926318049430847,0.3045167922973633,0.297139048576355,0.31091248989105225
authors,0.1341787576675415,0.22973844408988953,0.29401323199272156,0.28492701053619385,0.10403711348772049,0.2377326637506485,0.25077739357948303,0.19121912121772766
should,0.30540889501571655,0.49775537848472595,0.2410813271999359,0.2618406116962433,0.40320491790771484,0.30445513129234314,0.3191690444946289,0.4442402422428131
give,0.28533127903938293,0.4184249937534332,0.19674748182296753,0.22398297488689423,0.5793192386627197,0.3324339687824249,0.33496955037117004,0.2985610067844391
priority,0.20808951556682587,0.24946895241737366,0.34017714858055115,0.32742398977279663,0.2859960198402405,0.28078609704971313,0.35015246272087097,0.2980290353298187
to,0.47735077142715454,0.38876664638519287,0.25466105341911316,0.25420817732810974,0.4388369917869568,0.44619059562683105,0.3299184739589691,0.29463258385658264
peer-reviewed,0.19705089926719666,0.21006067097187042,0.3445241153240204,0.3897888958454132,0.29609212279319763,0.2086181938648224,0.31958770751953125,0.3288532495498657
sources,0.2117059975862503,0.26546207070350647,0.24691316485404968,0.31778407096862793,0.19034136831760406,0.20314598083496094,0.421787291765213,0.2886999845504761
.,0.41390106081962585,0.3613996207714081,0.20098818838596344,0.2803177535533905,0.39392393827438354,0.34427863359451294,0.2787359356880188,0.4130953550338745
