,what,is,lower,in,countries,with,more,inequality,for,the,top,21,industrialized,countries,?
for,0.3017193675041199,0.43268078565597534,0.15945355594158173,0.4322226941585541,0.299202024936676,0.39140474796295166,0.3891189992427826,0.256974995136261,0.9999999403953552,0.4739971458911896,0.2343461513519287,-0.042345717549324036,0.23118259012699127,0.299202024936676,0.264628142118454
the,0.42745697498321533,0.5823672413825989,0.3463275134563446,0.6662389636039734,0.33290645480155945,0.4223487675189972,0.39758381247520447,0.23508106172084808,0.4739971458911896,1.0,0.31754136085510254,-0.05849577113986015,0.30628761649131775,0.33290645480155945,0.22068053483963013
top,0.21232028305530548,0.17102722823619843,0.2346801608800888,0.2235720455646515,0.19444583356380463,0.23125949501991272,0.2007104605436325,0.13098469376564026,0.2343461513519287,0.31754136085510254,1.0000001192092896,0.11255262792110443,0.1267157644033432,0.19444583356380463,0.17265194654464722
21,-0.09070611000061035,0.014479056932032108,-0.044731758534908295,0.09147433191537857,0.058922749012708664,-0.08764491230249405,-0.0651913657784462,-0.06269053369760513,-0.042345717549324036,-0.05849577113986015,0.11255262792110443,1.0,0.12250417470932007,0.058922749012708664,-0.01186173316091299
industrialised,0.1798267513513565,0.22298932075500488,0.20537595450878143,0.2824874520301819,0.37209802865982056,0.21320073306560516,0.24278762936592102,0.2991541922092438,0.2155287265777588,0.28526026010513306,0.14855021238327026,0.10955148190259933,0.8914069533348083,0.37209802865982056,0.09531816095113754
countries,0.22319257259368896,0.254234254360199,0.11025762557983398,0.3027990758419037,0.9999999403953552,0.33792537450790405,0.28580373525619507,0.2820434868335724,0.299202024936676,0.33290645480155945,0.19444583356380463,0.058922749012708664,0.38672319054603577,0.9999999403953552,0.15128466486930847
",",0.3087472915649414,0.4691906273365021,0.236776202917099,0.5201468467712402,0.2966555655002594,0.4120737314224243,0.3696524500846863,0.21822890639305115,0.4464869201183319,0.4933079481124878,0.2270241379737854,0.08448485285043716,0.3172111213207245,0.2966555655002594,0.31091248989105225
counting,0.3040204346179962,0.23785355687141418,0.175048366189003,0.22229085862636566,0.30447959899902344,0.28896111249923706,0.3527851402759552,0.3094817101955414,0.31777963042259216,0.31836679577827454,0.17283125221729279,-0.1634863168001175,0.13638564944267273,0.30447959899902344,0.23381195962429047
each,0.3353266417980194,0.2954041659832001,0.29110103845596313,0.30816060304641724,0.3188004493713379,0.4100050628185272,0.37741073966026306,0.24056260287761688,0.3044290542602539,0.470844566822052,0.2918969392776489,-0.08126628398895264,0.160512313246727,0.3188004493713379,0.21173812448978424
person,0.41527870297431946,0.35233089327812195,0.1713743954896927,0.23876774311065674,0.28130632638931274,0.22800223529338837,0.3014683425426483,0.2643245458602905,0.3028412163257599,0.3487054407596588,0.13599736988544464,-0.12652891874313354,0.16633746027946472,0.28130632638931274,0.324093222618103
equally,0.3545299768447876,0.2864139676094055,0.16816869378089905,0.16446180641651154,0.2785983383655548,0.3037908971309662,0.35017240047454834,0.5002583265304565,0.3017844557762146,0.25614944100379944,0.1903475970029831,-0.1433236002922058,0.208624929189682,0.2785983383655548,0.22503766417503357
",",0.3087472915649414,0.4691906273365021,0.236776202917099,0.5201468467712402,0.2966555655002594,0.4120737314224243,0.3696524500846863,0.21822890639305115,0.4464869201183319,0.4933079481124878,0.2270241379737854,0.08448485285043716,0.3172111213207245,0.2966555655002594,0.31091248989105225
life,0.24693015217781067,0.2110576033592224,0.19532732665538788,0.27054134011268616,0.07331186532974243,0.21728253364562988,0.2655809819698334,0.29329437017440796,0.244698166847229,0.23528170585632324,0.1188250184059143,-0.014873301610350609,0.20991557836532593,0.07331186532974243,0.21677987277507782
expectancy,0.2736549377441406,0.3159034848213196,0.3399394154548645,0.29253846406936646,0.29843276739120483,0.24545156955718994,0.37683919072151184,0.4688243567943573,0.2992606461048126,0.2736141085624695,0.1738092452287674,-0.06929822266101837,0.2775189280509949,0.29843276739120483,0.1959744244813919
is,0.28837618231773376,1.0,0.20806168019771576,0.5394441485404968,0.254234254360199,0.3250955045223236,0.2946030795574188,0.1953488290309906,0.43268078565597534,0.5823672413825989,0.17102722823619843,0.014479056932032108,0.2339412122964859,0.254234254360199,0.22961433231830597
