,what,is,thought,to,have,happened,to,the,y.,pestis,that,caused,the,black,death,?
concluded,0.29084116220474243,0.1412784606218338,0.3706805408000946,0.270562082529068,0.2733979821205139,0.3351345658302307,0.270562082529068,0.3024786412715912,0.003553867805749178,0.23290666937828064,0.376585453748703,0.2982962131500244,0.3024786412715912,0.04490912705659866,0.13397002220153809,0.13595789670944214
in,0.30808621644973755,0.5394441485404968,0.24524326622486115,0.45010748505592346,0.36843645572662354,0.3302023410797119,0.45010748505592346,0.6662389636039734,-0.0645652711391449,0.16708125174045563,0.435920387506485,0.2494886964559555,0.6662389636039734,0.20407067239284515,0.18743370473384857,0.20430970191955566
2011,0.04286744073033333,0.07836040109395981,0.0007594037451781332,0.03410811722278595,0.06022777408361435,-0.022421708330512047,0.03410811722278595,0.07811610400676727,0.1583479940891266,0.055002711713314056,0.06810343265533447,0.03477230668067932,0.07811610400676727,-0.054819460958242416,-0.011467764154076576,0.005212190095335245
``,0.008517155423760414,0.058766357600688934,0.0043426984921097755,0.06720756739377975,0.1022237241268158,-0.0633864626288414,0.06720756739377975,0.029072100296616554,0.3177349865436554,0.08107514679431915,0.05285148695111275,0.01392306201159954,0.029072100296616554,-0.06463505327701569,0.02746286429464817,0.0685480609536171
that,0.6297725439071655,0.3995479643344879,0.520185112953186,0.5436353087425232,0.6182622313499451,0.4226365387439728,0.5436353087425232,0.5473989248275757,0.032847706228494644,0.2785785496234894,1.0,0.33201703429222107,0.5473989248275757,0.22347763180732727,0.25607815384864807,0.32716336846351624
the,0.42745697498321533,0.5823672413825989,0.3509289622306824,0.535392165184021,0.40389683842658997,0.3589572608470917,0.535392165184021,1.0,-0.0005152968224138021,0.23376873135566711,0.5473989248275757,0.24990202486515045,1.0,0.28466513752937317,0.21438048779964447,0.22068053483963013
black,0.12054000794887543,0.20887219905853271,0.20395568013191223,0.23292754590511322,0.22332455217838287,0.1994178742170334,0.23292754590511322,0.28466513752937317,-0.08199706673622131,0.18916335701942444,0.22347763180732727,0.10008903592824936,0.28466513752937317,1.0,0.1932034194469452,0.15159966051578522
death,0.2267695665359497,0.17991963028907776,0.18990783393383026,0.19568277895450592,0.15326929092407227,0.213290274143219,0.19568277895450592,0.21438048779964447,-0.015693578869104385,0.2285131812095642,0.25607815384864807,0.2360229641199112,0.21438048779964447,0.1932034194469452,0.9999998807907104,0.21149799227714539
in,0.30808621644973755,0.5394441485404968,0.24524326622486115,0.45010748505592346,0.36843645572662354,0.3302023410797119,0.45010748505592346,0.6662389636039734,-0.0645652711391449,0.16708125174045563,0.435920387506485,0.2494886964559555,0.6662389636039734,0.20407067239284515,0.18743370473384857,0.20430970191955566
medieval,0.2230893075466156,0.22781160473823547,0.16960212588310242,0.1536858230829239,0.1921030580997467,0.20541639626026154,0.1536858230829239,0.28617456555366516,-0.0715821236371994,0.18601581454277039,0.18623875081539154,0.108287513256073,0.28617456555366516,0.1442212164402008,0.10823393613100052,0.15571735799312592
