,in,1500,ad,how,many,people,were,believed,to,have,lived,in,the,amazon,region,?
some,0.4010399878025055,-0.05473681539297104,0.13185028731822968,0.4180530905723572,0.7976660132408142,0.40364471077919006,0.4592604339122772,0.33176979422569275,0.4636894166469574,0.6421269774436951,0.20470525324344635,0.4010399878025055,0.4566698372364044,0.19491901993751526,0.13805310428142548,0.2562315762042999
5,0.0862177163362503,0.027306364849209785,0.11036597192287445,0.03444203734397888,0.006714559160172939,-0.03716319799423218,-0.06407562643289566,0.012979903258383274,0.03588335961103439,0.023788409307599068,0.031434912234544754,0.0862177163362503,0.09255307912826538,0.0881161093711853,0.11787256598472595,0.06222071498632431
million,0.2596224844455719,-0.04305250942707062,0.16669094562530518,0.21114659309387207,0.3520967364311218,0.2591722309589386,0.25957414507865906,0.19621145725250244,0.22033339738845825,0.28469452261924744,0.2642839550971985,0.2596224844455719,0.277012437582016,0.18845590949058533,0.2246832400560379,0.23092924058437347
people,0.39605680108070374,-0.01071864552795887,0.16909490525722504,0.2932034730911255,0.4171447455883026,1.0000001192092896,0.35862088203430176,0.2974292039871216,0.37275731563568115,0.3380994498729706,0.3190171420574188,0.39605680108070374,0.36838498711586,0.11506722867488861,0.3089559078216553,0.23739641904830933
may,0.3424151837825775,0.0494169257581234,0.15046599507331848,0.22490409016609192,0.29758191108703613,0.2590857446193695,0.2525627911090851,0.2740791440010071,0.391582727432251,0.35194188356399536,0.18447409570217133,0.3424151837825775,0.2694292366504669,0.09747496247291565,0.1458064317703247,0.2768254578113556
have,0.36843645572662354,-0.021028418093919754,0.19166818261146545,0.4370637536048889,0.5841760635375977,0.3380994498729706,0.5193349123001099,0.37452754378318787,0.4544740617275238,0.9999999403953552,0.21160787343978882,0.36843645572662354,0.40389683842658997,0.20372521877288818,0.191070094704628,0.32991164922714233
lived,0.3669787347316742,-0.040746912360191345,0.2194945067167282,0.1416093111038208,0.2690332531929016,0.3190171420574188,0.34083670377731323,0.34288835525512695,0.1957261860370636,0.21160787343978882,0.9999998807907104,0.3669787347316742,0.2897515296936035,0.15107031166553497,0.2685544192790985,0.1798510104417801
in,1.0,-0.03018064983189106,0.1957923024892807,0.2601168751716614,0.41474202275276184,0.39605680108070374,0.3815755248069763,0.2605416774749756,0.45010748505592346,0.36843645572662354,0.3669787347316742,1.0,0.6662389636039734,0.12227833271026611,0.3524819314479828,0.20430970191955566
the,0.6662389636039734,-0.03235486149787903,0.24233382940292358,0.33890387415885925,0.4335206151008606,0.36838498711586,0.3906462490558624,0.324635773897171,0.535392165184021,0.40389683842658997,0.2897515296936035,0.6662389636039734,1.0,0.260541707277298,0.35020557045936584,0.22068053483963013
amazon,0.12227833271026611,-0.044794052839279175,0.09995925426483154,0.16216763854026794,0.22591036558151245,0.11506722867488861,0.11476065963506699,0.16641747951507568,0.17033490538597107,0.20372521877288818,0.15107031166553497,0.12227833271026611,0.260541707277298,1.0000001192092896,0.18148772418498993,0.18144656717777252
