,what,planet,was,named,for,a,fly-by,mission,by,an,empty,s-ivb,?
the,0.42745697498321533,0.2470240592956543,0.48711544275283813,0.3521348536014557,0.4739971458911896,0.5829201340675354,0.2584969401359558,0.22673439979553223,0.4408751428127289,0.4207492768764496,0.2499721348285675,0.3730037808418274,0.22068053483963013
most,0.3219912350177765,0.13880480825901031,0.29933857917785645,0.25594380497932434,0.3906237483024597,0.3508910834789276,0.1318536400794983,0.1085030734539032,0.270847886800766,0.2748267352581024,0.06618410348892212,0.33082208037376404,0.2107497900724411
ambitious,0.21252797544002533,0.17136025428771973,0.26512688398361206,0.16567014157772064,0.24287572503089905,0.24638062715530396,0.09074108302593231,0.24371308088302612,0.25112950801849365,0.1818913221359253,0.09469503164291382,0.111780546605587,0.1225195825099945
plan,0.2947953939437866,0.22652265429496765,0.2407723069190979,0.19587934017181396,0.22760893404483795,0.27156999707221985,0.10897968709468842,0.32247790694236755,0.22663648426532745,0.20559144020080566,0.08064065873622894,0.173274427652359,0.1961054503917694
called,0.3235960602760315,0.23274634778499603,0.33927658200263977,0.45048224925994873,0.29870352149009705,0.4868806302547455,0.22043384611606598,0.15785092115402222,0.3092815577983856,0.2858632802963257,0.17190097272396088,0.32250794768333435,0.18963319063186646
for,0.3017193675041199,0.1996491700410843,0.3863949179649353,0.22057102620601654,0.9999999403953552,0.44038116931915283,0.16172312200069427,0.18326549232006073,0.3248702883720398,0.3236706852912903,0.22870975732803345,0.32199859619140625,0.264628142118454
using,0.27984681725502014,0.1900605410337448,0.18766598403453827,0.1279454231262207,0.3806014060974121,0.32226553559303284,0.19340486824512482,0.14504839479923248,0.349493145942688,0.2321343868970871,0.19435803592205048,0.27556994557380676,0.2804589569568634
an,0.2821882665157318,0.1295536458492279,0.3694365322589874,0.17417411506175995,0.3236706852912903,0.44552403688430786,0.14036498963832855,0.1624951809644699,0.2719563841819763,1.0,0.1683085858821869,0.156625434756279,0.19793890416622162
empty,0.17476437985897064,0.16517768800258636,0.056500524282455444,0.146956205368042,0.22870975732803345,0.17477411031723022,0.1375148892402649,0.10687378793954849,0.09057668596506119,0.1683085858821869,1.0000001192092896,0.19525478780269623,0.17362195253372192
s-ivb,0.27927571535110474,0.29854005575180054,0.18752162158489227,0.1530008167028427,0.32199859619140625,0.29190245270729065,0.32625797390937805,0.25819212198257446,0.19531367719173431,0.156625434756279,0.19525478780269623,1.0,0.1708081215620041
as,0.31749409437179565,0.24123239517211914,0.3677520453929901,0.2754245400428772,0.44774648547172546,0.39550232887268066,0.22209583222866058,0.1715000569820404,0.3815547823905945,0.37218472361564636,0.181955948472023,0.23995277285575867,0.27043893933296204
an,0.2821882665157318,0.1295536458492279,0.3694365322589874,0.17417411506175995,0.3236706852912903,0.44552403688430786,0.14036498963832855,0.1624951809644699,0.2719563841819763,1.0,0.1683085858821869,0.156625434756279,0.19793890416622162
interplanetary,0.26030489802360535,0.6837501525878906,0.19650959968566895,0.1856212317943573,0.24608948826789856,0.2716524600982666,0.3629136085510254,0.3397417366504669,0.2258966565132141,0.21679680049419403,0.23502019047737122,0.3517298102378845,0.13142241537570953
spacecraft,0.19567668437957764,0.5608088374137878,0.18611936271190643,0.2168368399143219,0.22045060992240906,0.1892588883638382,0.37276673316955566,0.5174769163131714,0.19003267586231232,0.21612147986888885,0.237190380692482,0.32437455654144287,0.17708687484264374
for,0.3017193675041199,0.1996491700410843,0.3863949179649353,0.22057102620601654,0.9999999403953552,0.44038116931915283,0.16172312200069427,0.18326549232006073,0.3248702883720398,0.3236706852912903,0.22870975732803345,0.32199859619140625,0.264628142118454
a,0.3320399522781372,0.2580089867115021,0.4508470594882965,0.3292267918586731,0.44038116931915283,1.0,0.2926652431488037,0.2477724254131317,0.32094135880470276,0.44552403688430786,0.17477411031723022,0.29190245270729065,0.23916715383529663
venus,0.14404770731925964,0.3956587612628937,0.1789981573820114,0.1506447196006775,0.10246496647596359,0.16391277313232422,0.22691896557807922,0.20188821852207184,0.11368291079998016,0.1140095591545105,0.1191788837313652,0.19728904962539673,0.1349031776189804
fly-by,0.06976018846035004,0.3162555396556854,0.22442995011806488,0.2602708637714386,0.16172312200069427,0.2926652431488037,1.0000001192092896,0.2941945195198059,0.16577017307281494,0.14036498963832855,0.1375148892402649,0.32625797390937805,0.14729326963424683
mission,0.2317502647638321,0.31594109535217285,0.20951420068740845,0.19505424797534943,0.18326549232006073,0.2477724254131317,0.2941945195198059,1.0,0.18301942944526672,0.1624951809644699,0.10687378793954849,0.25819212198257446,0.19506393373012543
.,0.3567904531955719,0.24422165751457214,0.40146201848983765,0.24760639667510986,0.4726039469242096,0.50484299659729,0.282144695520401,0.2227463275194168,0.3936232924461365,0.3581749200820923,0.2174503207206726,0.31557855010032654,0.4130953550338745
