,what,other,entity,was,established,at,the,same,time,as,the,european,convention,on,human,rights,?
at,0.2838611304759979,0.24329762160778046,0.05630628764629364,0.36707764863967896,0.211637482047081,1.0,0.457212895154953,0.32705798745155334,0.3956010341644287,0.28092536330223083,0.457212895154953,0.2249954491853714,0.22405797243118286,0.4806317389011383,0.16051284968852997,0.18650774657726288,0.21978627145290375
the,0.42745697498321533,0.44152235984802246,0.2403784692287445,0.48711544275283813,0.33092597126960754,0.457212895154953,1.0,0.4583131968975067,0.43061500787734985,0.48381632566452026,1.0,0.3423081040382385,0.2588678300380707,0.5107308030128479,0.3103327453136444,0.2579100430011749,0.22068053483963013
time,0.36319252848625183,0.32153698801994324,0.15283948183059692,0.3641340136528015,0.17008745670318604,0.3956010341644287,0.43061500787734985,0.4052887558937073,0.9999998807907104,0.3239102065563202,0.43061500787734985,0.2870848476886749,0.15023259818553925,0.30044233798980713,0.18508785963058472,0.22495833039283752,0.27391523122787476
the,0.42745697498321533,0.44152235984802246,0.2403784692287445,0.48711544275283813,0.33092597126960754,0.457212895154953,1.0,0.4583131968975067,0.43061500787734985,0.48381632566452026,1.0,0.3423081040382385,0.2588678300380707,0.5107308030128479,0.3103327453136444,0.2579100430011749,0.22068053483963013
only,0.41415658593177795,0.43831267952919006,0.25609421730041504,0.36249664425849915,0.1760706901550293,0.30990660190582275,0.5497692227363586,0.42849379777908325,0.3912617266178131,0.41781148314476013,0.5497692227363586,0.23729634284973145,0.20877811312675476,0.38586410880088806,0.22740167379379272,0.20565758645534515,0.2767370045185089
concern,0.3580206632614136,0.2774282693862915,0.24690237641334534,0.18855349719524384,0.1105632558465004,0.25423991680145264,0.23735320568084717,0.2002582550048828,0.2535678744316101,0.2704395055770874,0.23735320568084717,0.10201550275087357,0.277736634016037,0.176092728972435,0.2953910529613495,0.2739420533180237,0.3455961048603058
was,0.22111038863658905,0.14651623368263245,0.1461799293756485,1.0000001192092896,0.26515325903892517,0.36707764863967896,0.48711544275283813,0.27172183990478516,0.3641340136528015,0.3677520453929901,0.48711544275283813,0.22463937103748322,0.21512652933597565,0.3909217119216919,0.1688746064901352,0.19272007048130035,0.18412111699581146
that,0.6297725439071655,0.5570666193962097,0.29692912101745605,0.33670201897621155,0.2216063141822815,0.3183255195617676,0.5473989248275757,0.47339269518852234,0.388528436422348,0.4735107421875,0.5473989248275757,0.2049320936203003,0.239259734749794,0.42569106817245483,0.3200635015964508,0.251168817281723,0.32716336846351624
member,0.09932345896959305,0.15854816138744354,0.14884474873542786,0.31559354066848755,0.18705648183822632,0.17957790195941925,0.2806392312049866,0.11446593701839447,0.1657039076089859,0.2264706939458847,0.2806392312049866,0.24138560891151428,0.21419936418533325,0.1643621176481247,0.14544154703617096,0.18115058541297913,0.06826172769069672
states,0.21526020765304565,0.28788650035858154,0.1935424953699112,0.2847922146320343,0.23627129197120667,0.19903600215911865,0.3463578522205353,0.2304437905550003,0.25020933151245117,0.26192235946655273,0.3463578522205353,0.25554242730140686,0.24713486433029175,0.2692825198173523,0.22311946749687195,0.26858797669410706,0.16272737085819244
