,assuming,that,t,represents,a,polynomial,in,t,(,n,),",",what,is,the,term,given,to,the,corresponding,algorithm,?
if,0.4846716821193695,0.5634250640869141,0.4470151960849762,0.2027626633644104,0.41272827982902527,0.4140531122684479,0.2589588761329651,0.4470151960849762,0.26899856328964233,0.23619018495082855,0.2878422141075134,0.257730096578598,0.5277165174484253,0.30927813053131104,0.33724796772003174,0.20444554090499878,0.3646112382411957,0.4559597074985504,0.33724796772003174,0.37005361914634705,0.32577699422836304,0.4441644251346588
the,0.2946830689907074,0.5473989248275757,0.2083338052034378,0.3328246772289276,0.5829201340675354,0.1902180016040802,0.6662389636039734,0.2083338052034378,0.33289089798927307,0.18813885748386383,0.3456730246543884,0.4933079481124878,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.37508252263069153,0.535392165184021,1.0,0.3826132118701935,0.15884782373905182,0.22068053483963013
input,0.23519238829612732,0.24763350188732147,0.2595023214817047,0.19632887840270996,0.20009170472621918,0.4047253429889679,0.10243455320596695,0.2595023214817047,0.27913984656333923,0.20456939935684204,0.30642256140708923,0.24717740714550018,0.2844698429107666,0.2170686423778534,0.19928309321403503,0.08799411356449127,0.24745428562164307,0.25947481393814087,0.19928309321403503,0.3529808521270752,0.3474941551685333,0.24861721694469452
size,0.2266560047864914,0.3037673830986023,0.1671157330274582,0.22740519046783447,0.24953703582286835,0.3019765615463257,0.21714140474796295,0.1671157330274582,0.20613399147987366,0.13694354891777039,0.1989639550447464,0.2156888097524643,0.2566739320755005,0.22983339428901672,0.2946445941925049,0.20715315639972687,0.18683739006519318,0.26289698481559753,0.2946445941925049,0.3250061869621277,0.2250329852104187,0.13693112134933472
is,0.3417447805404663,0.3995479643344879,0.23234573006629944,0.3905610740184784,0.658733606338501,0.2560946047306061,0.5394441485404968,0.23234573006629944,0.35393038392066956,0.2254602462053299,0.37732169032096863,0.4691906273365021,0.28837618231773376,1.0,0.5823672413825989,0.270183801651001,0.249215230345726,0.42745086550712585,0.5823672413825989,0.32080236077308655,0.24848374724388123,0.22961433231830597
n,0.21850061416625977,0.1702573001384735,0.28198158740997314,0.2418336272239685,0.25362148880958557,0.322945237159729,0.16728445887565613,0.28198158740997314,0.23732076585292816,1.0,0.23685944080352783,0.2316582053899765,0.16510315239429474,0.2254602462053299,0.18813885748386383,0.1186005175113678,0.13886377215385437,0.16421891748905182,0.18813885748386383,0.18630486726760864,0.1695808321237564,0.19161871075630188
",",0.33882763981819153,0.4137537479400635,0.31002363562583923,0.24179992079734802,0.427140474319458,0.21592853963375092,0.5201468467712402,0.31002363562583923,0.6363511681556702,0.2316582053899765,0.63033527135849,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.2843315005302429,0.44245919585227966,0.4933079481124878,0.2891487181186676,0.19359813630580902,0.31091248989105225
the,0.2946830689907074,0.5473989248275757,0.2083338052034378,0.3328246772289276,0.5829201340675354,0.1902180016040802,0.6662389636039734,0.2083338052034378,0.33289089798927307,0.18813885748386383,0.3456730246543884,0.4933079481124878,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.37508252263069153,0.535392165184021,1.0,0.3826132118701935,0.15884782373905182,0.22068053483963013
time,0.3237302005290985,0.388528436422348,0.2744426727294922,0.15559974312782288,0.3292340338230133,0.28301435708999634,0.3431483507156372,0.2744426727294922,0.28391751646995544,0.09111524373292923,0.2857224941253662,0.3029961884021759,0.36319252848625183,0.25187405943870544,0.43061500787734985,0.3132232129573822,0.317789226770401,0.3679993152618408,0.43061500787734985,0.208677738904953,0.25266581773757935,0.27391523122787476
taken,0.2528326213359833,0.35460543632507324,0.18389995396137238,0.08463345468044281,0.2520231008529663,0.20486241579055786,0.2500644326210022,0.18389995396137238,0.1965651512145996,0.1284286081790924,0.19591942429542542,0.28904372453689575,0.26014965772628784,0.19185791909694672,0.3309854567050934,0.10011628270149231,0.42752909660339355,0.2772596478462219,0.3309854567050934,0.24213996529579163,0.1260514259338379,0.17662954330444336
can,0.325070321559906,0.4522190988063812,0.39557120203971863,0.22953443229198456,0.3915780484676361,0.35969632863998413,0.26527702808380127,0.39557120203971863,0.22726960480213165,0.22125642001628876,0.23216170072555542,0.3139454126358032,0.34502777457237244,0.44256699085235596,0.312528520822525,0.23030756413936615,0.20761778950691223,0.4979398250579834,0.312528520822525,0.32428768277168274,0.29358604550361633,0.3226337134838104
be,0.36618974804878235,0.6036020517349243,0.3249613642692566,0.2604670822620392,0.39883795380592346,0.3050982654094696,0.3481820821762085,0.3249613642692566,0.2349044382572174,0.1837998479604721,0.24578070640563965,0.39254459738731384,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.2703228294849396,0.2965909540653229,0.4972836375236511,0.4248143136501312,0.41717058420181274,0.2830074727535248,0.3324260413646698
expressed,0.30830758810043335,0.3005213737487793,0.2125924676656723,0.3709319531917572,0.220966175198555,0.3636550009250641,0.22785329818725586,0.2125924676656723,0.18192970752716064,0.20256589353084564,0.180553138256073,0.24414940178394318,0.20227427780628204,0.18876376748085022,0.25207287073135376,0.21896055340766907,0.29534128308296204,0.2824164628982544,0.25207287073135376,0.3160625398159027,0.2293623685836792,0.17175263166427612
as,0.31094998121261597,0.4735107421875,0.2405824363231659,0.27909791469573975,0.39550232887268066,0.2069568783044815,0.3887844979763031,0.2405824363231659,0.32029855251312256,0.1300116330385208,0.32161882519721985,0.48816442489624023,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.3224089443683624,0.32487574219703674,0.42092081904411316,0.48381632566452026,0.3131105899810791,0.19048626720905304,0.27043893933296204
a,0.3167877495288849,0.47537946701049805,0.2456076741218567,0.36227351427078247,1.0,0.2757834196090698,0.539380669593811,0.2456076741218567,0.3206180930137634,0.25362148880958557,0.3640355169773102,0.427140474319458,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3080509603023529,0.3335871398448944,0.45503583550453186,0.5829201340675354,0.28352054953575134,0.20294487476348877,0.23916715383529663
function,0.27493542432785034,0.2751213610172272,0.2592269480228424,0.23085027933120728,0.20934805274009705,0.49580755829811096,0.1448659598827362,0.2592269480228424,0.25402042269706726,0.20915120840072632,0.24718981981277466,0.18487244844436646,0.22155974805355072,0.17586156725883484,0.2037137746810913,0.21140006184577942,0.2197260558605194,0.2079751342535019,0.2037137746810913,0.3451397716999054,0.338969349861145,0.20672395825386047
of,0.34728947281837463,0.41498205065727234,0.14617829024791718,0.3967677056789398,0.5052502155303955,0.23810522258281708,0.5696388483047485,0.14617829024791718,0.35032153129577637,0.18925218284130096,0.3680361211299896,0.4946078956127167,0.33290785551071167,0.4854315221309662,0.733189046382904,0.26047757267951965,0.39388060569763184,0.41548454761505127,0.733189046382904,0.3214208483695984,0.17516344785690308,0.1826142966747284
n.,-0.05393112078309059,0.027671556919813156,0.004791203886270523,-0.09338544309139252,-0.03938712924718857,-0.05062885954976082,-0.15498630702495575,0.004791203886270523,-0.045602474361658096,-0.03469008579850197,-0.0662921667098999,-0.0510527566075325,0.07859472185373306,-0.09285721182823181,-0.17575061321258545,-0.045470207929611206,-0.03407243266701698,-0.05915246903896332,-0.17575061321258545,-0.2023325115442276,0.01476949080824852,0.04318316653370857
since,0.29976868629455566,0.3873181641101837,0.2898412048816681,0.2141372412443161,0.3303585946559906,0.17744895815849304,0.4325680434703827,0.2898412048816681,0.26309698820114136,0.15933528542518616,0.2939128279685974,0.3991432189941406,0.29783400893211365,0.3567592203617096,0.4054957628250122,0.2175232321023941,0.2612641453742981,0.3733763098716736,0.4054957628250122,0.14343395829200745,0.20933912694454193,0.2876587212085724
the,0.2946830689907074,0.5473989248275757,0.2083338052034378,0.3328246772289276,0.5829201340675354,0.1902180016040802,0.6662389636039734,0.2083338052034378,0.33289089798927307,0.18813885748386383,0.3456730246543884,0.4933079481124878,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.37508252263069153,0.535392165184021,1.0,0.3826132118701935,0.15884782373905182,0.22068053483963013
time,0.3237302005290985,0.388528436422348,0.2744426727294922,0.15559974312782288,0.3292340338230133,0.28301435708999634,0.3431483507156372,0.2744426727294922,0.28391751646995544,0.09111524373292923,0.2857224941253662,0.3029961884021759,0.36319252848625183,0.25187405943870544,0.43061500787734985,0.3132232129573822,0.317789226770401,0.3679993152618408,0.43061500787734985,0.208677738904953,0.25266581773757935,0.27391523122787476
taken,0.2528326213359833,0.35460543632507324,0.18389995396137238,0.08463345468044281,0.2520231008529663,0.20486241579055786,0.2500644326210022,0.18389995396137238,0.1965651512145996,0.1284286081790924,0.19591942429542542,0.28904372453689575,0.26014965772628784,0.19185791909694672,0.3309854567050934,0.10011628270149231,0.42752909660339355,0.2772596478462219,0.3309854567050934,0.24213996529579163,0.1260514259338379,0.17662954330444336
on,0.2520325481891632,0.42569106817245483,0.24407607316970825,0.18003089725971222,0.3848365545272827,0.05230846256017685,0.46853652596473694,0.24407607316970825,0.28656116127967834,0.1479972004890442,0.29937487840652466,0.49057599902153015,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.1491490602493286,0.2107619345188141,0.41031414270401,0.5107308030128479,0.26881158351898193,0.1285811960697174,0.2714994251728058
different,0.27868086099624634,0.4608689844608307,0.2220197319984436,0.26530948281288147,0.29175353050231934,0.29341238737106323,0.29409363865852356,0.2220197319984436,0.1950884908437729,0.17874853312969208,0.19070029258728027,0.32220861315727234,0.39262300729751587,0.24624870717525482,0.36412742733955383,0.2663106918334961,0.27760985493659973,0.3617510497570038,0.36412742733955383,0.38955339789390564,0.1898224651813507,0.24476227164268494
inputs,0.2382335215806961,0.2726641595363617,0.22556304931640625,0.27619263529777527,0.22192415595054626,0.46996212005615234,0.11768590658903122,0.22556304931640625,0.2513006627559662,0.22874823212623596,0.26405099034309387,0.20610807836055756,0.2919771075248718,0.26519352197647095,0.20493915677070618,0.10450185835361481,0.2605643570423126,0.25518661737442017,0.20493915677070618,0.3703600764274597,0.3921392261981964,0.22019177675247192
of,0.34728947281837463,0.41498205065727234,0.14617829024791718,0.3967677056789398,0.5052502155303955,0.23810522258281708,0.5696388483047485,0.14617829024791718,0.35032153129577637,0.18925218284130096,0.3680361211299896,0.4946078956127167,0.33290785551071167,0.4854315221309662,0.733189046382904,0.26047757267951965,0.39388060569763184,0.41548454761505127,0.733189046382904,0.3214208483695984,0.17516344785690308,0.1826142966747284
the,0.2946830689907074,0.5473989248275757,0.2083338052034378,0.3328246772289276,0.5829201340675354,0.1902180016040802,0.6662389636039734,0.2083338052034378,0.33289089798927307,0.18813885748386383,0.3456730246543884,0.4933079481124878,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.37508252263069153,0.535392165184021,1.0,0.3826132118701935,0.15884782373905182,0.22068053483963013
same,0.3143666088581085,0.47339269518852234,0.20524689555168152,0.2555425763130188,0.4048157036304474,0.2986696660518646,0.3692481815814972,0.20524689555168152,0.2173650562763214,0.2201329618692398,0.22932277619838715,0.3207721710205078,0.3764382302761078,0.31152886152267456,0.4583131968975067,0.23864157497882843,0.3457770347595215,0.3205692768096924,0.4583131968975067,0.38444241881370544,0.24305599927902222,0.22649677097797394
size,0.2266560047864914,0.3037673830986023,0.1671157330274582,0.22740519046783447,0.24953703582286835,0.3019765615463257,0.21714140474796295,0.1671157330274582,0.20613399147987366,0.13694354891777039,0.1989639550447464,0.2156888097524643,0.2566739320755005,0.22983339428901672,0.2946445941925049,0.20715315639972687,0.18683739006519318,0.26289698481559753,0.2946445941925049,0.3250061869621277,0.2250329852104187,0.13693112134933472
can,0.325070321559906,0.4522190988063812,0.39557120203971863,0.22953443229198456,0.3915780484676361,0.35969632863998413,0.26527702808380127,0.39557120203971863,0.22726960480213165,0.22125642001628876,0.23216170072555542,0.3139454126358032,0.34502777457237244,0.44256699085235596,0.312528520822525,0.23030756413936615,0.20761778950691223,0.4979398250579834,0.312528520822525,0.32428768277168274,0.29358604550361633,0.3226337134838104
be,0.36618974804878235,0.6036020517349243,0.3249613642692566,0.2604670822620392,0.39883795380592346,0.3050982654094696,0.3481820821762085,0.3249613642692566,0.2349044382572174,0.1837998479604721,0.24578070640563965,0.39254459738731384,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.2703228294849396,0.2965909540653229,0.4972836375236511,0.4248143136501312,0.41717058420181274,0.2830074727535248,0.3324260413646698
different,0.27868086099624634,0.4608689844608307,0.2220197319984436,0.26530948281288147,0.29175353050231934,0.29341238737106323,0.29409363865852356,0.2220197319984436,0.1950884908437729,0.17874853312969208,0.19070029258728027,0.32220861315727234,0.39262300729751587,0.24624870717525482,0.36412742733955383,0.2663106918334961,0.27760985493659973,0.3617510497570038,0.36412742733955383,0.38955339789390564,0.1898224651813507,0.24476227164268494
",",0.33882763981819153,0.4137537479400635,0.31002363562583923,0.24179992079734802,0.427140474319458,0.21592853963375092,0.5201468467712402,0.31002363562583923,0.6363511681556702,0.2316582053899765,0.63033527135849,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.2843315005302429,0.44245919585227966,0.4933079481124878,0.2891487181186676,0.19359813630580902,0.31091248989105225
