,what,do,the,three,richest,people,in,the,world,posses,more,of,than,the,lowest,48,nations,together,?
the,0.42745697498321533,0.30239659547805786,1.0,0.43452659249305725,0.27766263484954834,0.36838498711586,0.6662389636039734,1.0,0.33604270219802856,0.31681036949157715,0.39758381247520447,0.733189046382904,0.3227543234825134,1.0,0.3453028202056885,0.0778689980506897,0.3506215214729309,0.26662585139274597,0.22068053483963013
three,0.24888746440410614,0.21283186972141266,0.43452659249305725,1.0,0.17922478914260864,0.1666570007801056,0.34828072786331177,0.43452659249305725,0.24796579778194427,0.180937260389328,0.31659266352653503,0.3844621181488037,0.3105981945991516,0.43452659249305725,0.2254919409751892,0.11385883390903473,0.19641563296318054,0.3149068057537079,0.20928427577018738
richest,0.15347081422805786,0.12872956693172455,0.27766263484954834,0.17922478914260864,1.0,0.204217329621315,0.2720588445663452,0.27766263484954834,0.4076535999774933,0.22322392463684082,0.20074482262134552,0.3122171461582184,0.20574013888835907,0.27766263484954834,0.28614622354507446,0.04200274497270584,0.23879848420619965,0.1419636309146881,0.15691500902175903
people,0.32444337010383606,0.2961650788784027,0.36838498711586,0.1666570007801056,0.204217329621315,1.0000001192092896,0.39605680108070374,0.36838498711586,0.23576074838638306,0.13386255502700806,0.3351196348667145,0.3251037895679474,0.2669047713279724,0.36838498711586,0.21439051628112793,0.05441894754767418,0.2731480002403259,0.1857558935880661,0.23739641904830933
in,0.30808621644973755,0.23402775824069977,0.6662389636039734,0.34828072786331177,0.2720588445663452,0.39605680108070374,1.0,0.6662389636039734,0.3038199245929718,0.23723705112934113,0.32563260197639465,0.5696388483047485,0.3270052373409271,0.6662389636039734,0.2796158194541931,0.04260919615626335,0.259304404258728,0.3252169191837311,0.20430970191955566
the,0.42745697498321533,0.30239659547805786,1.0,0.43452659249305725,0.27766263484954834,0.36838498711586,0.6662389636039734,1.0,0.33604270219802856,0.31681036949157715,0.39758381247520447,0.733189046382904,0.3227543234825134,1.0,0.3453028202056885,0.0778689980506897,0.3506215214729309,0.26662585139274597,0.22068053483963013
world,0.21669597923755646,0.16876555979251862,0.33604270219802856,0.24796579778194427,0.4076535999774933,0.23576074838638306,0.3038199245929718,0.33604270219802856,1.0000001192092896,0.1383715569972992,0.2228250652551651,0.2828933000564575,0.19279077649116516,0.33604270219802856,0.21539361774921417,0.20250949263572693,0.3646976947784424,0.20583315193653107,0.17579582333564758
possess,0.26773881912231445,0.3571535646915436,0.2654380798339844,0.13206182420253754,0.19737057387828827,0.10694222897291183,0.20494474470615387,0.2654380798339844,0.06912829726934433,0.8285230994224548,0.2660886347293854,0.27185752987861633,0.25061893463134766,0.2654380798339844,0.14327196776866913,0.03331165760755539,0.1603686362504959,0.13618475198745728,0.1285712569952011
more,0.3484537899494171,0.3514035940170288,0.39758381247520447,0.31659266352653503,0.20074482262134552,0.3351196348667145,0.32563260197639465,0.39758381247520447,0.2228250652551651,0.23960141837596893,1.0,0.30478984117507935,0.726518988609314,0.39758381247520447,0.2065752148628235,0.09901933372020721,0.20731844007968903,0.2617804706096649,0.27894994616508484
financial,0.1900392472743988,0.14553490281105042,0.29952070116996765,0.14239808917045593,0.3600543141365051,0.1512872725725174,0.23881284892559052,0.29952070116996765,0.24051381647586823,0.1858912706375122,0.19573070108890533,0.30178552865982056,0.11578860133886337,0.29952070116996765,0.15647391974925995,0.00042502465657889843,0.27327147126197815,0.14924119412899017,0.06444920599460602
assets,0.2038845717906952,0.16867955029010773,0.19560842216014862,0.15857744216918945,0.3898482620716095,0.20325501263141632,0.15452972054481506,0.19560842216014862,0.25062671303749084,0.3688066601753235,0.23125159740447998,0.19511719048023224,0.19626283645629883,0.19560842216014862,0.18326731026172638,-0.01792636699974537,0.32548800110816956,0.12871579825878143,0.1990663707256317
than,0.29388150572776794,0.2387038916349411,0.3227543234825134,0.3105981945991516,0.20574013888835907,0.2669047713279724,0.3270052373409271,0.3227543234825134,0.19279077649116516,0.2808595299720764,0.726518988609314,0.33036211133003235,1.0,0.3227543234825134,0.23631151020526886,0.02917730249464512,0.16992251574993134,0.2138528674840927,0.24917294085025787
the,0.42745697498321533,0.30239659547805786,1.0,0.43452659249305725,0.27766263484954834,0.36838498711586,0.6662389636039734,1.0,0.33604270219802856,0.31681036949157715,0.39758381247520447,0.733189046382904,0.3227543234825134,1.0,0.3453028202056885,0.0778689980506897,0.3506215214729309,0.26662585139274597,0.22068053483963013
