,what,area,differs,from,other,areas,in,the,united,kingdom,regarding,education,?
education,0.19940856099128723,0.15744484961032867,0.11856824159622192,0.19191351532936096,0.16087457537651062,0.23415730893611908,0.2654339671134949,0.23982903361320496,0.29227229952812195,0.23593758046627045,0.2490995228290558,1.0,0.18067774176597595
in,0.30808621644973755,0.33632898330688477,0.2109004110097885,0.4274188280105591,0.39989137649536133,0.33029478788375854,1.0,0.6662389636039734,0.3938477039337158,0.28265801072120667,0.2634240984916687,0.2654339671134949,0.20430970191955566
wales,0.1505342721939087,0.22027809917926788,0.12654422223567963,0.17945602536201477,0.16707535088062286,0.24255456030368805,0.18714384734630585,0.23852568864822388,0.24403534829616547,0.26776227355003357,0.1184980720281601,0.22629883885383606,0.15627945959568024
differs,0.2701770067214966,0.1202353686094284,1.0,0.20760078728199005,0.34761378169059753,0.24542555212974548,0.2109004110097885,0.34397226572036743,0.14547193050384521,0.19757749140262604,0.3236294388771057,0.11856824159622192,0.1135924756526947
in,0.30808621644973755,0.33632898330688477,0.2109004110097885,0.4274188280105591,0.39989137649536133,0.33029478788375854,1.0,0.6662389636039734,0.3938477039337158,0.28265801072120667,0.2634240984916687,0.2654339671134949,0.20430970191955566
certain,0.4561643898487091,0.17847564816474915,0.45003029704093933,0.27161097526550293,0.5099844932556152,0.3301891088485718,0.2942397892475128,0.392071396112442,0.2149733453989029,0.19867859780788422,0.3698381185531616,0.20713983476161957,0.2516106069087982
respects,0.2964773178100586,0.09315289556980133,0.35196372866630554,0.19281572103500366,0.36770763993263245,0.19949878752231598,0.21217156946659088,0.3000415563583374,0.15549901127815247,0.22464540600776672,0.3957105278968811,0.3049543499946594,0.1730562448501587
from,0.2737620174884796,0.24361829459667206,0.20760078728199005,1.0,0.30141791701316833,0.1950436532497406,0.4274188280105591,0.40150508284568787,0.27339106798171997,0.2127424031496048,0.19213083386421204,0.19191351532936096,0.19969791173934937
education,0.19940856099128723,0.15744484961032867,0.11856824159622192,0.19191351532936096,0.16087457537651062,0.23415730893611908,0.2654339671134949,0.23982903361320496,0.29227229952812195,0.23593758046627045,0.2490995228290558,1.0,0.18067774176597595
elsewhere,0.40968769788742065,0.26342591643333435,0.23132972419261932,0.257722944021225,0.34936967492103577,0.3737863600254059,0.37918442487716675,0.33725225925445557,0.22543956339359283,0.25038936734199524,0.31225836277008057,0.22273606061935425,0.33915433287620544
in,0.30808621644973755,0.33632898330688477,0.2109004110097885,0.4274188280105591,0.39989137649536133,0.33029478788375854,1.0,0.6662389636039734,0.3938477039337158,0.28265801072120667,0.2634240984916687,0.2654339671134949,0.20430970191955566
the,0.42745697498321533,0.37834644317626953,0.34397226572036743,0.40150508284568787,0.44152235984802246,0.3311663568019867,0.6662389636039734,1.0,0.34367692470550537,0.3143408000469208,0.29280903935432434,0.23982903361320496,0.22068053483963013
united,0.20036718249320984,0.24972930550575256,0.14547193050384521,0.27339106798171997,0.2444620579481125,0.2314804196357727,0.3938477039337158,0.34367692470550537,1.0000001192092896,0.5955035090446472,0.20507347583770752,0.29227229952812195,0.17266890406608582
kingdom,0.17826133966445923,0.19422920048236847,0.19757749140262604,0.2127424031496048,0.14748865365982056,0.2206420600414276,0.28265801072120667,0.3143408000469208,0.5955035090446472,1.0000001192092896,0.12871184945106506,0.23593758046627045,0.12927088141441345
.,0.3567904531955719,0.2760866582393646,0.16250881552696228,0.41536515951156616,0.41511186957359314,0.23760369420051575,0.5591574311256409,0.5934505462646484,0.3406063914299011,0.23047322034835815,0.27343305945396423,0.27047446370124817,0.4130953550338745
