,where,have,the,first,episodes,of,doctor,who,always,appeared,?
doctor,0.2602384388446808,0.17649078369140625,0.2820442318916321,0.27244147658348083,0.2920081615447998,0.16895952820777893,0.9999999403953552,0.3504868149757385,0.16837958991527557,0.23563694953918457,0.1462511420249939
who,0.41804537177085876,0.39246654510498047,0.3733934462070465,0.39065709710121155,0.20461446046829224,0.2827862501144409,0.3504868149757385,0.9999998807907104,0.35447362065315247,0.22738154232501984,0.26220351457595825
has,0.32190436124801636,0.6353569626808167,0.4177538752555847,0.28288596868515015,0.18467703461647034,0.3909035325050354,0.1778179407119751,0.2558172643184662,0.33783939480781555,0.2873741388320923,0.15994466841220856
always,0.395426481962204,0.4628961980342865,0.31570959091186523,0.23321761190891266,0.18924638628959656,0.25258868932724,0.16837958991527557,0.35447362065315247,1.0,0.17663857340812683,0.26136693358421326
appeared,0.15871189534664154,0.23906831443309784,0.30265679955482483,0.37911704182624817,0.36705049872398376,0.24007049202919006,0.23563694953918457,0.22738154232501984,0.17663857340812683,1.0,0.1384376585483551
initially,0.24913983047008514,0.2899128794670105,0.2997018098831177,0.34608641266822815,0.15555356442928314,0.21367986500263214,0.10375245660543442,0.24857781827449799,0.28828251361846924,0.20751793682575226,0.0699334517121315
on,0.37630224227905273,0.36494916677474976,0.5107308030128479,0.3120559751987457,0.25720518827438354,0.3966929316520691,0.1636410653591156,0.2340552806854248,0.27142107486724854,0.28960493206977844,0.2714994251728058
the,0.5003893971443176,0.40389683842658997,1.0,0.49448907375335693,0.1889590173959732,0.733189046382904,0.2820442318916321,0.3733934462070465,0.31570959091186523,0.30265679955482483,0.22068053483963013
bbc,0.17851755023002625,0.1851632297039032,0.2735401690006256,0.25469130277633667,0.37426334619522095,0.1797877550125122,0.32370132207870483,0.2086644321680069,0.21865403652191162,0.2885496914386749,0.20556949079036713
's,0.0007701900321990252,-0.02807004563510418,-0.01540423184633255,-0.014458609744906425,-0.013447972945868969,-0.03817026689648628,0.031664930284023285,0.05599616840481758,0.07762603461742401,0.005701994989067316,-0.023395681753754616
mainstream,0.19349287450313568,0.271745502948761,0.2199859768152237,0.2471218705177307,0.1516290009021759,0.1556297391653061,0.13918256759643555,0.2113107591867447,0.22475390136241913,0.33083993196487427,0.15872372686862946
bbc,0.17851755023002625,0.1851632297039032,0.2735401690006256,0.25469130277633667,0.37426334619522095,0.1797877550125122,0.32370132207870483,0.2086644321680069,0.21865403652191162,0.2885496914386749,0.20556949079036713
one,0.3907615840435028,0.4507926106452942,0.5514441132545471,0.4552372097969055,0.22621697187423706,0.4999135136604309,0.17397142946720123,0.40083858370780945,0.37446749210357666,0.24100933969020844,0.2673267424106598
channel,0.1699683666229248,0.1570143699645996,0.2860044836997986,0.1888643205165863,0.33551710844039917,0.1671900898218155,0.14612802863121033,0.17347675561904907,0.11920143663883209,0.19319435954093933,0.20176179707050323
",",0.3149496018886566,0.3541618287563324,0.4933079481124878,0.34503069519996643,0.2131132036447525,0.4946078956127167,0.20407600700855255,0.3365725874900818,0.2518956959247589,0.30425316095352173,0.31091248989105225
where,0.9999999403953552,0.412650465965271,0.5003893971443176,0.3238157331943512,0.13244302570819855,0.38066378235816956,0.2602384388446808,0.41804537177085876,0.395426481962204,0.15871189534664154,0.24793872237205505
it,0.36972272396087646,0.40974161028862,0.6251175999641418,0.3491429388523102,0.16903024911880493,0.38761502504348755,0.24568085372447968,0.2868398427963257,0.3592405617237091,0.17761683464050293,0.25732165575027466
is,0.3586711287498474,0.3613572418689728,0.5823672413825989,0.30889374017715454,0.11897750943899155,0.4854315221309662,0.19875872135162354,0.24293622374534607,0.3208111822605133,0.19678987562656403,0.22961433231830597
regarded,0.15022782981395721,0.2638506591320038,0.28921735286712646,0.23552736639976501,0.037350576370954514,0.3187633752822876,0.17702333629131317,0.28469380736351013,0.23251180350780487,0.2700074017047882,0.1741991639137268
as,0.35409465432167053,0.37788212299346924,0.48381632566452026,0.33842000365257263,0.2649470269680023,0.3886612355709076,0.17422905564308167,0.3923053741455078,0.38701626658439636,0.3160499334335327,0.27043893933296204
a,0.40997210144996643,0.338716596364975,0.5829201340675354,0.4287874400615692,0.18881215155124664,0.5052502155303955,0.22883038222789764,0.36608949303627014,0.35987672209739685,0.24508115649223328,0.23916715383529663
family,0.20559649169445038,0.15777942538261414,0.2394849956035614,0.15764018893241882,0.183369442820549,0.1893671154975891,0.19009946286678314,0.23428858816623688,0.16632403433322906,0.16203218698501587,0.15222905576229095
show,0.25432080030441284,0.33534201979637146,0.319829523563385,0.23758427798748016,0.5198086500167847,0.21383242309093475,0.2094513326883316,0.2095358669757843,0.2808447778224945,0.42332136631011963,0.2520138621330261
",",0.3149496018886566,0.3541618287563324,0.4933079481124878,0.34503069519996643,0.2131132036447525,0.4946078956127167,0.20407600700855255,0.3365725874900818,0.2518956959247589,0.30425316095352173,0.31091248989105225
drawing,0.24027231335639954,0.15802641212940216,0.2675468325614929,0.24452167749404907,0.16545246541500092,0.3059796988964081,0.12369715422391891,0.19015195965766907,0.12745511531829834,0.19498755037784576,0.11201789230108261
audiences,0.2585279047489166,0.23155930638313293,0.30428367853164673,0.2416061908006668,0.27406907081604004,0.22345969080924988,0.15467014908790588,0.33856818079948425,0.31542232632637024,0.3132250905036926,0.2457132339477539
of,0.38066378235816956,0.3802283704280853,0.733189046382904,0.3536086082458496,0.19166667759418488,1.0,0.16895952820777893,0.2827862501144409,0.25258868932724,0.24007049202919006,0.1826142966747284
many,0.4338301420211792,0.5841760635375977,0.4335206151008606,0.2931244373321533,0.17309854924678802,0.37253960967063904,0.18319568037986755,0.4149286150932312,0.38137882947921753,0.3226909637451172,0.2124512493610382
