,who,claimed,luther,'s,writings,were,a,blueprint,of,actions,against,jews,?
according,0.22336459159851074,0.34057754278182983,0.1085624098777771,-0.0037221983075141907,0.2407778650522232,0.25184938311576843,0.239227756857872,0.1868826150894165,0.3307822346687317,0.19796980917453766,0.16972097754478455,0.22571232914924622,0.21173474192619324
to,0.42656609416007996,0.2575981914997101,0.18029534816741943,0.03782717138528824,0.18383939564228058,0.31913647055625916,0.45503583550453186,0.29336172342300415,0.41548454761505127,0.27775833010673523,0.310872346162796,0.22399327158927917,0.29463258385658264
daniel,0.2651176154613495,0.09080878645181656,0.16370601952075958,-0.050362009555101395,0.17699141800403595,0.1290343701839447,0.14205680787563324,0.09230225533246994,0.13703610002994537,0.18545983731746674,0.19214245676994324,0.18617334961891174,0.1540297418832779
goldhagen,0.29033535718917847,0.17745216190814972,0.2782260477542877,0.03628402575850487,0.18434660136699677,0.20928767323493958,0.325248658657074,0.3416385054588318,0.2709397077560425,0.06725885719060898,0.14574743807315826,0.22027702629566193,0.22833962738513947
",",0.3365725874900818,0.24827811121940613,0.23255878686904907,-0.0016132977325469255,0.21987015008926392,0.36755475401878357,0.427140474319458,0.29636669158935547,0.4946078956127167,0.24007150530815125,0.31168749928474426,0.27184903621673584,0.31091248989105225
bishop,0.19501325488090515,0.14413000643253326,0.2762340009212494,-0.017885742709040642,0.20027947425842285,0.12937508523464203,0.1672227680683136,0.16234393417835236,0.22951185703277588,0.1193569079041481,0.10325486958026886,0.22524002194404602,0.19730713963508606
martin,0.22000780701637268,0.14558736979961395,0.6228963136672974,0.07599356025457382,0.2520705461502075,0.15994206070899963,0.2163310945034027,0.22014275193214417,0.13722093403339386,0.07956615090370178,0.08984829485416412,0.10628208518028259,0.060103293508291245
sasse,0.17676939070224762,0.1368458867073059,0.24110616743564606,0.03368807211518288,0.0993802547454834,0.11289596557617188,0.19202642142772675,0.10346950590610504,0.1592739224433899,0.10243657976388931,0.055938828736543655,0.11218567192554474,0.1264742612838745
",",0.3365725874900818,0.24827811121940613,0.23255878686904907,-0.0016132977325469255,0.21987015008926392,0.36755475401878357,0.427140474319458,0.29636669158935547,0.4946078956127167,0.24007150530815125,0.31168749928474426,0.27184903621673584,0.31091248989105225
a,0.36608949303627014,0.19752803444862366,0.17967689037322998,0.04866964742541313,0.15608888864517212,0.17203083634376526,1.0,0.28517019748687744,0.5052502155303955,0.22348695993423462,0.2227657586336136,0.17522315680980682,0.23916715383529663
leading,0.25606170296669006,0.20240700244903564,0.15341398119926453,-0.05591977760195732,0.1271388679742813,0.1924321949481964,0.26281067728996277,0.19066216051578522,0.29180192947387695,0.1925710141658783,0.24036140739917755,0.10609584301710129,0.1360926628112793
protestant,0.2817428708076477,0.22364169359207153,0.45695769786834717,0.04482585936784744,0.35421469807624817,0.3005668818950653,0.22869355976581573,0.1933184266090393,0.31440475583076477,0.20789816975593567,0.2570708394050598,0.4756074845790863,0.14798137545585632
churchman,0.33979904651641846,0.29663172364234924,0.4093124270439148,0.02928328700363636,0.3460599482059479,0.28443580865859985,0.18157799541950226,0.19869576394557953,0.2614855468273163,0.1805184930562973,0.21613472700119019,0.34580734372138977,0.23667848110198975
",",0.3365725874900818,0.24827811121940613,0.23255878686904907,-0.0016132977325469255,0.21987015008926392,0.36755475401878357,0.427140474319458,0.29636669158935547,0.4946078956127167,0.24007150530815125,0.31168749928474426,0.27184903621673584,0.31091248989105225
published,0.16961833834648132,0.26148882508277893,0.15444858372211456,0.01244857907295227,0.4204557240009308,0.20513179898262024,0.1993555724620819,0.3597921133041382,0.23023100197315216,0.15063485503196716,0.16010281443595886,0.12571701407432556,0.16280238330364227
a,0.36608949303627014,0.19752803444862366,0.17967689037322998,0.04866964742541313,0.15608888864517212,0.17203083634376526,1.0,0.28517019748687744,0.5052502155303955,0.22348695993423462,0.2227657586336136,0.17522315680980682,0.23916715383529663
compendium,0.14924274384975433,0.14277665317058563,0.1710171103477478,0.11082534492015839,0.3408927619457245,0.17770613729953766,0.2558972239494324,0.3925386071205139,0.327317476272583,0.17402665317058563,0.130595400929451,0.1825234293937683,0.2197672724723816
of,0.2827862501144409,0.25888603925704956,0.1719115972518921,-0.03817026689648628,0.24593348801136017,0.34038281440734863,0.5052502155303955,0.3022735118865967,1.0,0.27202147245407104,0.2669808566570282,0.2207300066947937,0.1826142966747284
luther,0.21013082563877106,0.1496354341506958,1.0,-0.009990512393414974,0.32714858651161194,0.18652333319187164,0.17967689037322998,0.20803669095039368,0.1719115972518921,0.14489246904850006,0.18804924190044403,0.24326977133750916,0.1732746809720993
's,0.05599616840481758,0.049019668251276016,-0.009990512393414974,0.9999999403953552,0.029720310121774673,0.007088581565767527,0.04866964742541313,-0.011590437032282352,-0.03817026689648628,-0.019457440823316574,-0.0006242102244868875,0.017030835151672363,-0.023395681753754616
