,when,did,the,ancestors,of,modern,homo,sapiens,inhabit,kenya,?
recent,0.2353774756193161,0.28459128737449646,0.31046223640441895,0.3047194182872772,0.2896444797515869,0.29634445905685425,0.23935547471046448,0.28104010224342346,0.16467231512069702,0.18524467945098877,0.2544887959957123
findings,0.22221238911151886,0.2558821141719818,0.2911088168621063,0.23173348605632782,0.25754475593566895,0.15848712623119354,0.32973814010620117,0.3655471205711365,0.17835083603858948,0.20672644674777985,0.16064861416816711
near,0.2606486976146698,0.08748484402894974,0.2879819869995117,0.21386393904685974,0.2651676535606384,0.2233373075723648,0.20090565085411072,0.15988129377365112,0.2450464963912964,0.23386359214782715,0.10734958201646805
lake,0.1681411862373352,0.14357861876487732,0.24325428903102875,0.13735544681549072,0.23993153870105743,0.14164385199546814,0.17939500510692596,0.10869565606117249,0.22842983901500702,0.2589239776134491,0.07226386666297913
turkana,0.132900670170784,0.15351615846157074,0.2747046947479248,0.2811158001422882,0.29467886686325073,0.2904622554779053,0.4150640368461609,0.42171749472618103,0.2702878415584564,0.4924953877925873,0.12596961855888367
indicate,0.22948811948299408,0.19002793729305267,0.2430160641670227,0.19381307065486908,0.25098979473114014,0.20695680379867554,0.25431376695632935,0.3038334250450134,0.26202452182769775,0.1122550517320633,0.23544088006019592
that,0.5860282182693481,0.47518548369407654,0.5473989248275757,0.30952712893486023,0.41498205065727234,0.24473170936107635,0.26999688148498535,0.315916508436203,0.220186248421669,0.18006594479084015,0.32716336846351624
hominids,0.1688167154788971,0.20188958942890167,0.30310869216918945,0.5262101888656616,0.31417316198349,0.3707191050052643,0.6729878187179565,0.7188354730606079,0.389380544424057,0.317259281873703,0.19376027584075928
such,0.27679547667503357,0.24497397243976593,0.3575236201286316,0.2093445211648941,0.3209529519081116,0.2688790261745453,0.2222437709569931,0.22422340512275696,0.20594069361686707,0.17453786730766296,0.17851735651493073
as,0.4437963366508484,0.3596470057964325,0.48381632566452026,0.20169006288051605,0.3886612355709076,0.242071270942688,0.15661747753620148,0.20696334540843964,0.18151859939098358,0.18995212018489838,0.27043893933296204
homo,0.1357457935810089,0.16397179663181305,0.1959427446126938,0.3882282078266144,0.2064005434513092,0.286980003118515,1.0,0.7900235056877136,0.2598564326763153,0.26381585001945496,0.15592239797115326
habilis,0.19140636920928955,0.14699043333530426,0.23022447526454926,0.38361501693725586,0.2545221745967865,0.30991023778915405,0.5515419244766235,0.6118324398994446,0.306688129901886,0.2997989058494568,0.1395001858472824
(,0.2459595799446106,0.18979617953300476,0.33289089798927307,0.15426526963710785,0.35032153129577637,0.15444137156009674,0.12704075872898102,0.16144119203090668,0.11328581720590591,0.10727446526288986,0.40561532974243164
1.8,-0.000786098709795624,-0.06506136059761047,0.2105393409729004,0.06836060434579849,0.21890372037887573,0.16449227929115295,0.11182039231061935,0.17490887641906738,0.16413730382919312,0.16802944242954254,0.1605871468782425
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.22972717881202698,0.5116966962814331,0.3277876079082489,0.15129444003105164,0.17788709700107574,0.21617957949638367,0.20742860436439514,0.20544172823429108
2.5,-0.11083503067493439,-0.2193155735731125,-0.2036779820919037,-0.19546115398406982,-0.24039185047149658,-0.1612839549779892,-0.07698661088943481,-0.06668476015329361,-0.089115671813488,-0.08650113642215729,0.058774158358573914
million,0.17012886703014374,0.1815238744020462,0.277012437582016,0.2781824469566345,0.21686489880084991,0.24746330082416534,0.24029900133609772,0.2916543483734131,0.2443476915359497,0.27429839968681335,0.23092924058437347
years,0.3409145474433899,0.2695724070072174,0.2912273406982422,0.2782134413719177,0.2904134690761566,0.18850623071193695,0.2478170096874237,0.33810722827911377,0.15583287179470062,0.20713506639003754,0.1914375126361847
ago,0.34233349561691284,0.19972491264343262,0.23063679039478302,0.3537694215774536,0.20083805918693542,0.2280479520559311,0.43562793731689453,0.4827364385128021,0.3250897526741028,0.22819656133651733,0.2202194780111313
),0.2538422644138336,0.18584993481636047,0.3456730246543884,0.1434851586818695,0.3680361211299896,0.17084072530269623,0.11700072884559631,0.14348852634429932,0.14086385071277618,0.12372948974370956,0.42300865054130554
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.22972717881202698,0.5116966962814331,0.3277876079082489,0.15129444003105164,0.17788709700107574,0.21617957949638367,0.20742860436439514,0.20544172823429108
homo,0.1357457935810089,0.16397179663181305,0.1959427446126938,0.3882282078266144,0.2064005434513092,0.286980003118515,1.0,0.7900235056877136,0.2598564326763153,0.26381585001945496,0.15592239797115326
erectus,0.2161019742488861,0.19003675878047943,0.2231927365064621,0.41720157861709595,0.25173646211624146,0.3029899299144745,0.6954767107963562,0.7260109186172485,0.31493237614631653,0.23822100460529327,0.21784496307373047
(,0.2459595799446106,0.18979617953300476,0.33289089798927307,0.15426526963710785,0.35032153129577637,0.15444137156009674,0.12704075872898102,0.16144119203090668,0.11328581720590591,0.10727446526288986,0.40561532974243164
