,what,is,a,single,plastoglobuli,called,?
plastoglobuli,0.21423041820526123,0.30912309885025024,0.30634811520576477,0.2484152764081955,0.9999999403953552,0.3132753372192383,0.205425426363945
(,0.2411840260028839,0.35393038392066956,0.3206180930137634,0.17650093138217926,0.23828886449337006,0.2546432614326477,0.40561532974243164
singular,0.2832280993461609,0.23253826797008514,0.2707212567329407,0.28342127799987793,0.34887731075286865,0.3702816069126129,0.17302146553993225
plastoglobulus,0.21077363193035126,0.2888586223125458,0.3038952052593231,0.206144779920578,0.9273571968078613,0.29965075850486755,0.1813764125108719
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.21322597563266754,0.2822408080101013,0.26549121737480164,0.31091248989105225
sometimes,0.34229418635368347,0.3757973313331604,0.3788676857948303,0.18267813324928284,0.2670368552207947,0.575774610042572,0.1751544177532196
spelled,0.15883488953113556,0.2914513647556305,0.21375101804733276,0.12324006110429764,0.15817604959011078,0.3686818778514862,0.13924984633922577
plastoglobule,0.21103323996067047,0.31814977526664734,0.31986838579177856,0.2761174142360687,0.9682641625404358,0.31479623913764954,0.21403087675571442
(,0.2411840260028839,0.35393038392066956,0.3206180930137634,0.17650093138217926,0.23828886449337006,0.2546432614326477,0.40561532974243164
s,0.3634900748729706,0.3467119336128235,0.37089070677757263,0.19981016218662262,0.1408490687608719,0.28338131308555603,0.25130221247673035
),0.26259949803352356,0.37732169032096863,0.3640355169773102,0.19753961265087128,0.22788865864276886,0.273923397064209,0.42300865054130554
),0.26259949803352356,0.37732169032096863,0.3640355169773102,0.19753961265087128,0.22788865864276886,0.273923397064209,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.21322597563266754,0.2822408080101013,0.26549121737480164,0.31091248989105225
are,0.29724663496017456,0.5330929756164551,0.265255331993103,0.2179369032382965,0.39545711874961853,0.3676711618900299,0.24591213464736938
spherical,0.1481882929801941,0.239867702126503,0.24212490022182465,0.19969935715198517,0.4400584399700165,0.218410924077034,0.0753602683544159
bubbles,0.1626332700252533,0.20413878560066223,0.21454498171806335,0.19262290000915527,0.36224478483200073,0.24401549994945526,0.1478032022714615
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.22455744445323944,0.3235050141811371,0.4222904443740845,0.1826142966747284
lipids,0.16069070994853973,0.2435489445924759,0.21841244399547577,0.25642842054367065,0.6103792786598206,0.27917179465293884,0.2055819183588028
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.21896247565746307,0.2619543969631195,0.3251761794090271,0.20544172823429108
proteins,0.21361225843429565,0.2132607400417328,0.23701471090316772,0.20338697731494904,0.6427497863769531,0.2849208414554596,0.18469302356243134
about,0.47976887226104736,0.3532065451145172,0.34171196818351746,0.14967955648899078,0.20389510691165924,0.3000706732273102,0.302409827709198
45–60,-0.08327319473028183,-0.038113534450531006,-0.08206140995025635,-0.06652755290269852,0.06706543266773224,0.07805335521697998,-0.05720561370253563
nanometers,0.2759547531604767,0.2934367060661316,0.28799036145210266,0.2726447284221649,0.5555122494697571,0.28172996640205383,0.18336744606494904
across,0.24809791147708893,0.21617691218852997,0.2660536468029022,0.24926885962486267,0.21358826756477356,0.19607765972614288,0.17034576833248138
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.2360001504421234,0.31105032563209534,0.300344854593277,0.4130953550338745
