,setting,speed,limits,was,one,of,the,further,devolutions,which,was,conferred,by,what,act,?
the,0.2991926074028015,0.2310667634010315,0.3678794801235199,0.48711544275283813,0.5514441132545471,0.733189046382904,1.0,0.32531118392944336,0.29323628544807434,0.6521818041801453,0.48711544275283813,0.3050553798675537,0.4408751428127289,0.42745697498321533,0.28682878613471985,0.22068053483963013
2012,0.16027629375457764,0.17017892003059387,0.2660195529460907,0.2899843454360962,0.3787119388580322,0.4422316551208496,0.46885523200035095,0.22396910190582275,0.21260251104831696,0.37707939743995667,0.2899843454360962,0.3185548782348633,0.2736770808696747,0.2266836017370224,0.16645106673240662,0.18042556941509247
act,0.2504327595233917,0.17601414024829865,0.2620684504508972,0.1887621134519577,0.19140365719795227,0.2802577316761017,0.28682878613471985,0.16601407527923584,0.204873189330101,0.3216746747493744,0.1887621134519577,0.19096291065216064,0.19227443635463715,0.2622668445110321,1.0,0.1482519507408142
conferred,0.1516484022140503,0.06432575732469559,0.1748930960893631,0.21696795523166656,0.18507662415504456,0.3241461217403412,0.3050553798675537,0.1558798998594284,0.20797187089920044,0.22025135159492493,0.21696795523166656,1.0,0.20449067652225494,0.10596323013305664,0.19096291065216064,0.10300537198781967
further,0.18087276816368103,0.15132394433021545,0.23846831917762756,0.16107149422168732,0.21944935619831085,0.24797867238521576,0.32531118392944336,1.0,0.20453374087810516,0.33739811182022095,0.16107149422168732,0.1558798998594284,0.2836849093437195,0.30867868661880493,0.16601407527923584,0.20960763096809387
fiscal,0.29903870820999146,0.17169196903705597,0.35798707604408264,0.19317670166492462,0.27067187428474426,0.3283400535583496,0.32162582874298096,0.16568243503570557,0.31087949872016907,0.272502064704895,0.19317670166492462,0.17492736876010895,0.15061992406845093,0.2643638253211975,0.2361561805009842,0.20041847229003906
devolution,0.2103693038225174,0.12405490130186081,0.3200162351131439,0.26426929235458374,0.23208929598331451,0.3624095916748047,0.3272518813610077,0.20086589455604553,0.9023904204368591,0.3418194353580475,0.26426929235458374,0.2268621325492859,0.24908152222633362,0.2737932801246643,0.2544117867946625,0.21433620154857635
including,0.19113023579120636,0.11668222397565842,0.21294917166233063,0.21884717047214508,0.3568016290664673,0.44195112586021423,0.3738902807235718,0.21553482115268707,0.26671692728996277,0.41826364398002625,0.21884717047214508,0.20764490962028503,0.30155983567237854,0.18328791856765747,0.20563490688800812,0.1633303165435791
borrowing,0.2880910634994507,0.2123418152332306,0.27064093947410583,0.1970539540052414,0.2829033434391022,0.3343355059623718,0.33353036642074585,0.2243727594614029,0.27444741129875183,0.378970742225647,0.1970539540052414,0.15549181401729584,0.22664794325828552,0.29078102111816406,0.17434297502040863,0.1931610256433487
powers,0.08181166648864746,0.18561075627803802,0.3734501600265503,0.1728597730398178,0.2159528136253357,0.22709226608276367,0.25233519077301025,0.14980944991111755,0.288062185049057,0.21036413311958313,0.1728597730398178,0.2137693613767624,0.24013322591781616,0.24108682572841644,0.24709026515483856,0.17269276082515717
and,0.28809189796447754,0.23429381847381592,0.2891829311847687,0.3740963041782379,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.3426179587841034,0.30355218052864075,0.506277859210968,0.3740963041782379,0.25919464230537415,0.4289871156215668,0.31309178471565247,0.2776535749435425,0.20544172823429108
some,0.26038721203804016,0.20472750067710876,0.28794345259666443,0.21528802812099457,0.4537518322467804,0.4300730526447296,0.4566698372364044,0.29434385895729065,0.36324623227119446,0.5407140851020813,0.21528802812099457,0.23162570595741272,0.306446373462677,0.4491020441055298,0.24703167378902435,0.2562315762042999
other,0.29368406534194946,0.1581478714942932,0.2638680636882782,0.14651623368263245,0.45956575870513916,0.38583824038505554,0.44152235984802246,0.2918756306171417,0.36175093054771423,0.50507652759552,0.14651623368263245,0.2104918509721756,0.3321913778781891,0.341873437166214,0.23951853811740875,0.24682199954986572
unconnected,0.12581533193588257,0.1699874848127365,0.28550878167152405,0.1728634089231491,0.3041265904903412,0.30407801270484924,0.3002694249153137,0.1721678376197815,0.24564048647880554,0.3996697664260864,0.1728634089231491,0.21374183893203735,0.2575017809867859,0.2996287941932678,0.23676234483718872,0.1637800931930542
matters,0.2571302354335785,0.16835807263851166,0.382145494222641,0.23513266444206238,0.2759896516799927,0.298933744430542,0.32925453782081604,0.23006293177604675,0.4166381061077118,0.3272422254085541,0.23513266444206238,0.22716784477233887,0.21173028647899628,0.4115754961967468,0.2813962399959564,0.3182642459869385
such,0.300651878118515,0.20051097869873047,0.2151421308517456,0.12487147748470306,0.3596789240837097,0.3209529519081116,0.3575236201286316,0.3753099739551544,0.2995052635669708,0.406057745218277,0.12487147748470306,0.1630793809890747,0.2736194431781769,0.23989605903625488,0.2392725646495819,0.17851735651493073
