,where,does,the,cold,water,mix,with,lake,constance,?
but,0.49101024866104126,0.4353378415107727,0.4859698414802551,0.248947411775589,0.26752299070358276,0.2301645278930664,0.4495173394680023,0.20441052317619324,0.22736358642578125,0.27921953797340393
then,0.5403340458869934,0.2951544523239136,0.4297412931919098,0.17619028687477112,0.2063850462436676,0.1578298807144165,0.37121716141700745,0.18482160568237305,0.22813169658184052,0.2884598970413208
",",0.3149496018886566,0.28617382049560547,0.4933079481124878,0.2868689298629761,0.26706066727638245,0.21672342717647552,0.4120737314224243,0.2802521586418152,0.3135715425014496,0.31091248989105225
at,0.4402937591075897,0.17465277016162872,0.457212895154953,0.19373497366905212,0.14569826424121857,0.10158056765794754,0.29126521944999695,0.1760270893573761,0.16891811788082123,0.21978627145290375
the,0.5003893971443176,0.35928019881248474,1.0,0.2897129952907562,0.297396719455719,0.15310801565647125,0.4223487675189972,0.24325428903102875,0.23177717626094818,0.22068053483963013
so-called,0.39831599593162537,0.2787417471408844,0.48567995429039,0.27007433772087097,0.3573017716407776,0.23567335307598114,0.33333921432495117,0.24891753494739532,0.22110505402088165,0.28986620903015137
rheinbrech,0.24390925467014313,0.20402543246746063,0.3351653516292572,0.1949339210987091,0.2303754687309265,0.14840692281723022,0.25105249881744385,0.21053698658943176,0.4040504992008209,0.262052446603775
",",0.3149496018886566,0.28617382049560547,0.4933079481124878,0.2868689298629761,0.26706066727638245,0.21672342717647552,0.4120737314224243,0.2802521586418152,0.3135715425014496,0.31091248989105225
the,0.5003893971443176,0.35928019881248474,1.0,0.2897129952907562,0.297396719455719,0.15310801565647125,0.4223487675189972,0.24325428903102875,0.23177717626094818,0.22068053483963013
rhine,0.2007746696472168,0.13532963395118713,0.30735138058662415,0.12640050053596497,0.18943050503730774,0.07879545539617538,0.18184249103069305,0.22246339917182922,0.33406126499176025,0.13754533231258392
water,0.2081080675125122,0.29202038049697876,0.297396719455719,0.3195118308067322,0.9999998807907104,0.27419203519821167,0.20542247593402863,0.40283486247062683,0.18924762308597565,0.14731885492801666
abruptly,0.2960572838783264,0.20811566710472107,0.3869345784187317,0.2969506084918976,0.20469950139522552,0.09925326704978943,0.33115971088409424,0.15855735540390015,0.1795376092195511,0.13784849643707275
falls,0.26647865772247314,0.3261214792728424,0.2708098292350769,0.2252635657787323,0.2378469556570053,0.0817071869969368,0.17773674428462982,0.28429391980171204,0.13261857628822327,0.15918700397014618
into,0.335035502910614,0.22312942147254944,0.39493247866630554,0.20739319920539856,0.2901814877986908,0.20593443512916565,0.2912435233592987,0.1555050164461136,0.16675768792629242,0.15662476420402527
the,0.5003893971443176,0.35928019881248474,1.0,0.2897129952907562,0.297396719455719,0.15310801565647125,0.4223487675189972,0.24325428903102875,0.23177717626094818,0.22068053483963013
depths,0.2945379614830017,0.20574545860290527,0.23700039088726044,0.27869343757629395,0.4140015244483948,0.1856638491153717,0.23443366587162018,0.34461700916290283,0.23941974341869354,0.21987856924533844
because,0.46146172285079956,0.4424310624599457,0.44596394896507263,0.2774897813796997,0.312398225069046,0.2001570165157318,0.3967972993850708,0.17729675769805908,0.15562428534030914,0.2528740465641022
of,0.38066378235816956,0.3119818866252899,0.733189046382904,0.22852186858654022,0.2741255462169647,0.10747335106134415,0.41827285289764404,0.23993153870105743,0.28979653120040894,0.1826142966747284
the,0.5003893971443176,0.35928019881248474,1.0,0.2897129952907562,0.297396719455719,0.15310801565647125,0.4223487675189972,0.24325428903102875,0.23177717626094818,0.22068053483963013
greater,0.16651363670825958,0.20582076907157898,0.2814446687698364,0.10733310133218765,0.30313700437545776,0.11823282390832901,0.16015204787254333,0.19603657722473145,0.18618981540203094,0.09723397344350815
density,0.16603511571884155,0.1485164910554886,0.2451544851064682,0.18782344460487366,0.3195847272872925,0.2111581414937973,0.19518433511257172,0.10849988460540771,0.16972233355045319,0.1457761973142624
of,0.38066378235816956,0.3119818866252899,0.733189046382904,0.22852186858654022,0.2741255462169647,0.10747335106134415,0.41827285289764404,0.23993153870105743,0.28979653120040894,0.1826142966747284
cold,0.25313600897789,0.19566471874713898,0.2897129952907562,1.0,0.3195118308067322,0.15874052047729492,0.23475629091262817,0.1970924288034439,0.14618170261383057,0.12272877991199493
water,0.2081080675125122,0.29202038049697876,0.297396719455719,0.3195118308067322,0.9999998807907104,0.27419203519821167,0.20542247593402863,0.40283486247062683,0.18924762308597565,0.14731885492801666
