,in,what,year,did,the,fcc,publish,it,'s,report,?
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.134840726852417,0.17019827663898468,0.5130809545516968,-0.037580832839012146,0.204250767827034,0.20430970191955566
1938,0.13815519213676453,0.09370804578065872,0.05508183687925339,0.0011983392760157585,0.256177693605423,0.028452666476368904,-0.046061087399721146,0.19652292132377625,0.047426603734493256,0.0903983861207962,-0.08079381287097931
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.12939687073230743,0.25024911761283875,0.48329564929008484,-0.0016132977325469255,0.250803142786026,0.31091248989105225
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.24932202696800232,0.1611112356185913,0.6251175999641418,-0.01540423184633255,0.2556745111942291,0.22068053483963013
fcc,0.134840726852417,0.2598995566368103,0.17038124799728394,0.23574954271316528,0.24932202696800232,1.0000001192092896,0.27640289068222046,0.16327252984046936,0.05599381774663925,0.32434773445129395,0.1708466112613678
began,0.34154343605041504,0.1665823757648468,0.23867103457450867,0.4415510594844818,0.3059147596359253,0.21738693118095398,0.16747871041297913,0.16701442003250122,-0.026281554251909256,0.1315448135137558,0.1370266228914261
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.5829201340675354,0.1445450782775879,0.16920465230941772,0.5452592968940735,0.04866964742541313,0.2148611694574356,0.23916715383529663
series,0.2914260923862457,0.17328087985515594,0.2600080966949463,0.15581852197647095,0.31376904249191284,0.2363206148147583,0.19747969508171082,0.20531252026557922,0.0006390819908119738,0.1974335014820099,0.1709602326154709
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.733189046382904,0.16839106380939484,0.12460750341415405,0.38761502504348755,-0.03817026689648628,0.22992923855781555,0.1826142966747284
investigations,0.2534966468811035,0.20865970849990845,0.16964150965213776,0.21491368114948273,0.2768571972846985,0.3474457561969757,0.3368929922580719,0.206004336476326,-0.016362208873033524,0.4894625246524811,0.14811140298843384
into,0.38021373748779297,0.2180619090795517,0.08657927066087723,0.14888085424900055,0.39493247866630554,0.19204632937908173,0.13879850506782532,0.33015328645706177,0.00961404386907816,0.11436567455530167,0.15662476420402527
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.24932202696800232,0.1611112356185913,0.6251175999641418,-0.01540423184633255,0.2556745111942291,0.22068053483963013
practices,0.204969584941864,0.30286267399787903,0.14704637229442596,0.21679148077964783,0.24007414281368256,0.2881734073162079,0.20613273978233337,0.19253100454807281,0.07099831104278564,0.21959765255451202,0.18974241614341736
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.733189046382904,0.16839106380939484,0.12460750341415405,0.38761502504348755,-0.03817026689648628,0.22992923855781555,0.1826142966747284
radio,0.22625693678855896,0.16863368451595306,0.08681962639093399,0.16486462950706482,0.23511973023414612,0.29589203000068665,0.21941523253917694,0.200987309217453,0.13450658321380615,0.18228235840797424,0.08763375133275986
networks,0.17525765299797058,0.18279550969600677,0.12820519506931305,0.06869131326675415,0.24705806374549866,0.4118899405002594,0.2610480785369873,0.26461464166641235,0.11665306240320206,0.20898906886577606,0.17815114557743073
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.34479495882987976,0.5171257257461548,0.22326773405075073,0.23082147538661957,0.40957894921302795,0.06895173341035843,0.20391902327537537,0.20544172823429108
published,0.26697060465812683,0.20457668602466583,0.18425042927265167,0.17877818644046783,0.22017472982406616,0.2075728178024292,0.7399125099182129,0.22625504434108734,0.01244857907295227,0.3798125088214874,0.16280238330364227
