,how,many,troops,were,defeated,for,british,in,battle,of,carillon,?
the,0.33890387415885925,0.4335206151008606,0.3229958415031433,0.3906462490558624,0.2833898365497589,0.4739971458911896,0.28973397612571716,0.6662389636039734,0.2820790410041809,0.733189046382904,0.3277492821216583,0.22068053483963013
third,0.14508451521396637,0.12636491656303406,0.13670605421066284,0.17625688016414642,0.23180405795574188,0.2187870591878891,0.18339496850967407,0.3309578001499176,0.20483528077602386,0.30602210760116577,0.19992488622665405,0.15394791960716248
invasion,0.12191843241453171,0.19253648817539215,0.5118826031684875,0.2544984817504883,0.35688313841819763,0.16607917845249176,0.19196893274784088,0.2543354034423828,0.4166370630264282,0.256956547498703,0.1572580337524414,0.18923960626125336
was,0.16678167879581451,0.260356068611145,0.2910937964916229,0.590133786201477,0.30834874510765076,0.3863949179649353,0.31934812664985657,0.45514053106307983,0.23319749534130096,0.4069072902202606,0.3016013205051422,0.18412111699581146
stopped,0.20299485325813293,0.30932682752609253,0.3076725900173187,0.3930858075618744,0.2693288028240204,0.32537728548049927,0.15514340996742249,0.25970861315727234,0.18695257604122162,0.2221805304288864,0.11468733102083206,0.15542519092559814
with,0.3525622487068176,0.35744401812553406,0.1365993618965149,0.3179011940956116,0.2316431999206543,0.39140474796295166,0.1637800633907318,0.4080928862094879,0.13577404618263245,0.41827285289764404,0.24805647134780884,0.2433311939239502
the,0.33890387415885925,0.4335206151008606,0.3229958415031433,0.3906462490558624,0.2833898365497589,0.4739971458911896,0.28973397612571716,0.6662389636039734,0.2820790410041809,0.733189046382904,0.3277492821216583,0.22068053483963013
improbable,0.27428367733955383,0.3057100772857666,0.17677806317806244,0.21210521459579468,0.1668563336133957,0.35830187797546387,0.20538610219955444,0.19430115818977356,0.15867634117603302,0.2673880159854889,0.22070536017417908,0.25861263275146484
french,0.14884154498577118,0.2158181369304657,0.26327648758888245,0.22002479434013367,0.1559123396873474,0.17280760407447815,0.43574923276901245,0.22093388438224792,0.1784413456916809,0.19450366497039795,0.3178308606147766,0.1386883556842804
victory,0.1006912961602211,0.16803444921970367,0.368054062128067,0.22070027887821198,0.5001495480537415,0.2551555335521698,0.19553309679031372,0.21562302112579346,0.4560186564922333,0.21037539839744568,0.15735837817192078,0.15412560105323792
in,0.2601168751716614,0.41474202275276184,0.25826749205589294,0.3815755248069763,0.24813973903656006,0.4322226941585541,0.23084034025669098,1.0,0.24353940784931183,0.5696388483047485,0.28217023611068726,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.3229958415031433,0.3906462490558624,0.2833898365497589,0.4739971458911896,0.28973397612571716,0.6662389636039734,0.2820790410041809,0.733189046382904,0.3277492821216583,0.22068053483963013
battle,0.11981889605522156,0.1577351838350296,0.4487271308898926,0.23233242332935333,0.46693575382232666,0.1235591247677803,0.17756831645965576,0.24353940784931183,1.0000001192092896,0.2291749268770218,0.1540890336036682,0.1680624783039093
of,0.2480744868516922,0.37253960967063904,0.23602326214313507,0.34038281440734863,0.21236225962638855,0.4185989499092102,0.23701532185077667,0.5696388483047485,0.2291749268770218,1.0,0.3646637201309204,0.1826142966747284
carillon,0.16875824332237244,0.23761534690856934,0.18080686032772064,0.21907559037208557,0.10865943133831024,0.24805080890655518,0.21051163971424103,0.28217023611068726,0.1540890336036682,0.3646637201309204,1.0000001192092896,0.16890698671340942
",",0.22659391164779663,0.40610817074775696,0.23846548795700073,0.36755475401878357,0.2877303659915924,0.4464869201183319,0.25734075903892517,0.5201468467712402,0.23037992417812347,0.4946078956127167,0.2668619155883789,0.31091248989105225
in,0.2601168751716614,0.41474202275276184,0.25826749205589294,0.3815755248069763,0.24813973903656006,0.4322226941585541,0.23084034025669098,1.0,0.24353940784931183,0.5696388483047485,0.28217023611068726,0.20430970191955566
which,0.4852597713470459,0.5168171525001526,0.1732487827539444,0.2807837128639221,0.1519288420677185,0.44095608592033386,0.2002234309911728,0.4840516746044159,0.20062126219272614,0.5011631846427917,0.3082443177700043,0.25814583897590637
"3,600",-0.03246445208787918,-0.04355689138174057,0.017804333940148354,0.04594738036394119,0.07403533160686493,-0.016447415575385094,0.004841296933591366,0.0705464705824852,0.055558424443006516,0.1519925743341446,0.15294067561626434,-0.010263140313327312
