,in,1962,",",who,was,responsible,for,the,authorship,of,a,paper,published,on,real,time-computations,?
earlier,0.24141792953014374,0.03730882704257965,0.26249322295188904,0.23053643107414246,0.3443564474582672,0.11566735059022903,0.20985780656337738,0.26843780279159546,0.25031548738479614,0.27635854482650757,0.19610044360160828,0.11179761588573456,0.1772654503583908,0.23596593737602234,0.12410081923007965,0.2298242747783661,0.13306351006031036
papers,0.21986161172389984,-0.09969128668308258,0.2423546016216278,0.1748751401901245,0.2124052345752716,0.14818619191646576,0.23718203604221344,0.15848612785339355,0.36673229932785034,0.17829445004463196,0.1634085327386856,0.607137143611908,0.45884981751441956,0.2545972466468811,0.13242913782596588,0.32401150465011597,0.12157123535871506
studying,0.32655033469200134,-0.12746843695640564,0.28254297375679016,0.24313008785247803,0.24193638563156128,0.1979501098394394,0.22843459248542786,0.24704718589782715,0.15272283554077148,0.2883101999759674,0.28715598583221436,0.2356451451778412,0.2217855155467987,0.20808975398540497,0.1658356636762619,0.31112030148506165,0.14438828825950623
problems,0.21061907708644867,-0.10845191776752472,0.2596952021121979,0.25277501344680786,0.1851695030927658,0.2521362006664276,0.27039530873298645,0.2659202516078949,0.207981139421463,0.2450421154499054,0.21523453295230865,0.18486927449703217,0.17407149076461792,0.22423362731933594,0.21529541909694672,0.4712982773780823,0.2638136148452759
solvable,0.23117923736572266,-0.13290849328041077,0.25004062056541443,0.23597154021263123,0.14420472085475922,0.2287207543849945,0.28627631068229675,0.2564215660095215,0.21411384642124176,0.24158811569213867,0.3367801904678345,0.3800238370895386,0.27116909623146057,0.18138627707958221,0.41464921832084656,0.5414252281188965,0.2862088680267334
by,0.370934396982193,-0.02526031993329525,0.3680937886238098,0.39727845788002014,0.4752357602119446,0.3226776123046875,0.3248702883720398,0.4408751428127289,0.26255282759666443,0.3646814823150635,0.32094135880470276,0.20666080713272095,0.32986849546432495,0.33887791633605957,0.1782917082309723,0.244042307138443,0.17966607213020325
turing,0.26572495698928833,-0.0068435342982411385,0.2807261645793915,0.24589726328849792,0.21632471680641174,0.17280757427215576,0.2892029285430908,0.2644472122192383,0.2712898552417755,0.2670239806175232,0.25234705209732056,0.2823542654514313,0.2702253460884094,0.17251454293727875,0.30704450607299805,0.5246982574462891,0.1460462063550949
machines,0.2209317833185196,-0.0765518769621849,0.25857728719711304,0.26427769660949707,0.18074968457221985,0.18988767266273499,0.2706963121891022,0.22618883848190308,0.14698781073093414,0.18757474422454834,0.21060632169246674,0.36270809173583984,0.1646447628736496,0.1861838847398758,0.24196985363960266,0.4459756314754486,0.17646311223506927
with,0.4080928862094879,-0.07231000065803528,0.4120737314224243,0.3282766342163086,0.27411898970603943,0.1930297166109085,0.39140474796295166,0.4223487675189972,0.1758427619934082,0.41827285289764404,0.3783375024795532,0.2179279774427414,0.1949073225259781,0.40749499201774597,0.15316343307495117,0.2582133710384369,0.2433311939239502
specific,0.26078200340270996,-0.015490096062421799,0.24305859208106995,0.22884851694107056,0.14404287934303284,0.29004034399986267,0.36453771591186523,0.3501757085323334,0.3349008560180664,0.2744234502315521,0.3531852960586548,0.1543951779603958,0.13330978155136108,0.236932173371315,0.21858219802379608,0.380585640668869,0.30923372507095337
bounded,0.305585652589798,0.016306238248944283,0.2928002178668976,0.1007423847913742,0.2315489500761032,0.13236510753631592,0.10331769287586212,0.33684098720550537,0.1234574243426323,0.28187957406044006,0.2297627031803131,0.13036972284317017,0.21830715239048004,0.2523033618927002,0.11801549047231674,0.17219553887844086,0.029345547780394554
resources,0.2161814570426941,0.04028734192252159,0.2789028584957123,0.22842295467853546,0.14124581217765808,0.29682955145835876,0.27550825476646423,0.25734785199165344,0.2582738697528839,0.2746381163597107,0.19164273142814636,0.17676988244056702,0.12670893967151642,0.24799394607543945,0.15311653912067413,0.41875556111335754,0.26047492027282715
include,0.28694382309913635,-0.04802243784070015,0.35606324672698975,0.15078489482402802,0.10680413991212845,0.1871393620967865,0.39020416140556335,0.2951717972755432,0.18770627677440643,0.37431180477142334,0.18765322864055634,0.08591440320014954,0.153775155544281,0.2332274466753006,0.12585100531578064,0.2220437228679657,0.14925788342952728
john,0.22177861630916595,-0.15033847093582153,0.23961079120635986,0.30388808250427246,0.2875721752643585,0.1626666635274887,0.22649751603603363,0.2230520099401474,0.1394006609916687,0.2407056987285614,0.20638683438301086,0.12346111983060837,0.16531141102313995,0.194100484251976,0.10654500871896744,0.20097842812538147,0.13162356615066528
myhill,0.23970681428909302,-0.06371308863162994,0.43547695875167847,0.26438379287719727,0.2671489417552948,0.06752978265285492,0.22855687141418457,0.2883991599082947,0.1404186189174652,0.27578580379486084,0.244076207280159,0.15929313004016876,0.19876733422279358,0.29310834407806396,0.19833850860595703,0.20144788920879364,0.23702889680862427
's,-0.037580832839012146,0.02088261768221855,-0.0016132977325469255,0.05599616840481758,0.008974763564765453,0.002397976815700531,-0.07241261005401611,-0.01540423184633255,0.012873856350779533,-0.03817026689648628,0.04866964742541313,0.09519387036561966,0.01244857907295227,0.0026888418942689896,0.09362173080444336,-0.011220521293580532,-0.023395681753754616
definition,0.20306213200092316,-0.02734149619936943,0.24771931767463684,0.11727189272642136,0.1828300952911377,0.16916963458061218,0.2789401710033417,0.23176956176757812,0.3008865714073181,0.24912455677986145,0.2941339910030365,0.17852552235126495,0.20222258567810059,0.21725256741046906,0.17179834842681885,0.36586156487464905,0.2796523869037628
of,0.5696388483047485,0.01980927400290966,0.4946078956127167,0.2827862501144409,0.4069072902202606,0.37070101499557495,0.4185989499092102,0.733189046382904,0.2509104609489441,1.0,0.5052502155303955,0.19050662219524384,0.23023100197315216,0.3966929316520691,0.19599324464797974,0.271473228931427,0.1826142966747284
linear,0.18096387386322021,-0.034859463572502136,0.17978614568710327,0.09688501805067062,0.07998892664909363,0.18948426842689514,0.2061203420162201,0.2117266058921814,0.21233126521110535,0.23112532496452332,0.23775021731853485,0.2771468460559845,0.19250068068504333,0.17940591275691986,0.20979341864585876,0.5474581122398376,0.16595983505249023
bounded,0.305585652589798,0.016306238248944283,0.2928002178668976,0.1007423847913742,0.2315489500761032,0.13236510753631592,0.10331769287586212,0.33684098720550537,0.1234574243426323,0.28187957406044006,0.2297627031803131,0.13036972284317017,0.21830715239048004,0.2523033618927002,0.11801549047231674,0.17219553887844086,0.029345547780394554
automata,0.15049508213996887,-0.03269165754318237,0.24881047010421753,0.16679196059703827,0.08620307594537735,0.15842968225479126,0.2311938852071762,0.19177065789699554,0.2429797500371933,0.1818503439426422,0.217225581407547,0.21723169088363647,0.11681810021400452,0.15787583589553833,0.19136476516723633,0.4595395028591156,0.2285609394311905
(,0.3087427020072937,-0.05998660624027252,0.6363511681556702,0.2443375140428543,0.2980341613292694,0.1511021852493286,0.3357032239437103,0.33289089798927307,0.18085795640945435,0.35032153129577637,0.3206180930137634,0.14301030337810516,0.18344631791114807,0.28656116127967834,0.18307027220726013,0.25635120272636414,0.40561532974243164
myhill,0.23970681428909302,-0.06371308863162994,0.43547695875167847,0.26438379287719727,0.2671489417552948,0.06752978265285492,0.22855687141418457,0.2883991599082947,0.1404186189174652,0.27578580379486084,0.244076207280159,0.15929313004016876,0.19876733422279358,0.29310834407806396,0.19833850860595703,0.20144788920879364,0.23702889680862427
1960,0.03880028799176216,0.041807569563388824,0.07487643510103226,-0.04823179915547371,0.02247970923781395,-0.00816811341792345,-0.060841381549835205,0.038049813359975815,-0.11142946034669876,0.05807475745677948,0.06404880434274673,-0.09269542247056961,-0.03489294275641441,-0.039851151406764984,-0.0169416181743145,-0.13897086679935455,-0.02243652194738388
),0.3326910734176636,-0.049853790551424026,0.63033527135849,0.2457384318113327,0.3267642855644226,0.1484149545431137,0.3639558255672455,0.3456730246543884,0.18543148040771484,0.3680361211299896,0.3640355169773102,0.15218879282474518,0.17891167104244232,0.29937487840652466,0.18670769035816193,0.26046913862228394,0.42300865054130554
",",0.5201468467712402,-0.05353415384888649,1.0000001192092896,0.3365725874900818,0.45456063747406006,0.2192283272743225,0.4464869201183319,0.4933079481124878,0.24424000084400177,0.4946078956127167,0.427140474319458,0.2304661124944687,0.2937801778316498,0.49057599902153015,0.2110464870929718,0.30762600898742676,0.31091248989105225
