,what,did,foreign,clones,of,datapac,allow,for
x.75,-0.0408373661339283,-0.0028958229813724756,-0.05136287584900856,-0.0306922048330307,-0.06314033269882202,-0.2536163330078125,-0.18589036166667938,-0.02283330447971821
and,0.31309178471565247,0.34479495882987976,0.25234511494636536,0.20403937995433807,0.5116966962814331,0.25667452812194824,0.3380379378795624,0.5064792633056641
x.121,0.19968155026435852,0.06572466343641281,0.05728447437286377,0.015178349800407887,-0.002259226981550455,-0.0647556334733963,0.19053876399993896,0.15890417993068695
allowed,0.2693612575531006,0.5197521448135376,0.21045918762683868,0.13143329322338104,0.2699741721153259,0.1836535483598709,0.6964383125305176,0.3152953088283539
the,0.42745697498321533,0.34736719727516174,0.2946566939353943,0.23254236578941345,0.733189046382904,0.278247594833374,0.27822166681289673,0.4739971458911896
interconnection,0.20888762176036835,0.13600869476795197,0.1957022249698639,0.2234140783548355,0.23619107902050018,0.35422196984291077,0.34161192178726196,0.2532549798488617
of,0.33290785551071167,0.2513895630836487,0.25741127133369446,0.1734897345304489,1.0,0.2651265859603882,0.28057926893234253,0.4185989499092102
national,0.16882304847240448,0.17743784189224243,0.26958465576171875,0.07980812340974808,0.3314673602581024,0.21681906282901764,0.17120814323425293,0.36267757415771484
x.25,0.16212259232997894,0.08334382623434067,0.11138703674077988,0.19505560398101807,0.12254032492637634,0.12387395650148392,0.11064499616622925,0.09247758984565735
networks,0.18279550969600677,0.06869131326675415,0.23258696496486664,0.2707565724849701,0.17763681709766388,0.3184414803981781,0.2758110761642456,0.2421427071094513
.,0.3567904531955719,0.35288307070732117,0.20514161884784698,0.24904683232307434,0.5352458953857422,0.2878821790218353,0.28562283515930176,0.4726039469242096
