,what,does,oxygen,cause,to,form,on,metals,?
the,0.42745697498321533,0.35928019881248474,0.20428593456745148,0.2551237642765045,0.535392165184021,0.29286009073257446,0.5107308030128479,0.19963346421718597,0.22068053483963013
surface,0.23580394685268402,0.22910720109939575,0.32912203669548035,0.23621948063373566,0.23727688193321228,0.26612022519111633,0.2674844264984131,0.3502599895000458,0.14613434672355652
of,0.33290785551071167,0.3119818866252899,0.16848602890968323,0.25979894399642944,0.41548454761505127,0.29600051045417786,0.3966929316520691,0.18800947070121765,0.1826142966747284
most,0.3219912350177765,0.30044323205947876,0.21728017926216125,0.2901781499385834,0.321603000164032,0.2929508090019226,0.28303956985473633,0.29593518376350403,0.2107497900724411
metals,0.2136390507221222,0.2147427350282669,0.45251694321632385,0.210682675242424,0.21034520864486694,0.26545530557632446,0.1221981793642044,0.9999999403953552,0.16543257236480713
",",0.3087472915649414,0.28617382049560547,0.21812842786312103,0.2546827793121338,0.44245919585227966,0.21805599331855774,0.49057599902153015,0.23755250871181488,0.31091248989105225
such,0.23989605903625488,0.2787191867828369,0.23563316464424133,0.27554231882095337,0.2871878743171692,0.2648303806781769,0.3181164264678955,0.2958487868309021,0.17851735651493073
as,0.31749409437179565,0.31202155351638794,0.16691245138645172,0.22159208357334137,0.42092081904411316,0.24710296094417572,0.36047765612602234,0.24074150621891022,0.27043893933296204
aluminium,0.16288141906261444,0.17727963626384735,0.5070096254348755,0.19686898589134216,0.1759580373764038,0.2183501273393631,0.1648617386817932,0.6391741037368774,0.15487346053123474
and,0.31309178471565247,0.3461615741252899,0.22261030972003937,0.2858448028564453,0.48971283435821533,0.30469027161598206,0.4077630043029785,0.27425065636634827,0.20544172823429108
titanium,0.17848539352416992,0.1609077900648117,0.4250084459781647,0.23266646265983582,0.17190240323543549,0.14284096658229828,0.2112879604101181,0.5062987208366394,0.16611658036708832
",",0.3087472915649414,0.28617382049560547,0.21812842786312103,0.2546827793121338,0.44245919585227966,0.21805599331855774,0.49057599902153015,0.23755250871181488,0.31091248989105225
are,0.29724663496017456,0.3126322329044342,0.24342744052410126,0.2999303638935089,0.3504326641559601,0.29983413219451904,0.268924742937088,0.31423452496528625,0.24591213464736938
oxidized,0.19462791085243225,0.2520342767238617,0.637717068195343,0.27491486072540283,0.25570249557495117,0.2142014503479004,0.10244711488485336,0.5603929162025452,0.1757199913263321
