,what,is,the,oldest,surviving,european,tapestry,in,the,v,&,a,collection,?
the,0.42745697498321533,0.5823672413825989,1.0,0.30836519598960876,0.3328552544116974,0.3423081040382385,0.32432854175567627,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.22068053483963013
tapestry,0.21666374802589417,0.21666821837425232,0.32432854175567627,0.2757207751274109,0.21434730291366577,0.20835866034030914,1.0,0.26853466033935547,0.32432854175567627,0.13144439458847046,0.11507690697908401,0.27101799845695496,0.3567197918891907,0.14881201088428497
collection,0.215459942817688,0.21135231852531433,0.25281965732574463,0.22153741121292114,0.24052280187606812,0.10411082953214645,0.3567197918891907,0.23004686832427979,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.9999998807907104,0.20069393515586853
includes,0.17138352990150452,0.4033885896205902,0.3388250470161438,0.17712849378585815,0.25898462533950806,0.2308114916086197,0.18642036616802216,0.32460328936576843,0.3388250470161438,0.036025527864694595,0.27284300327301025,0.25086286664009094,0.3749653398990631,0.14011523127555847
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2483421117067337,0.2155216783285141,0.2254103124141693,0.27101799845695496,0.539380669593811,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.24716788530349731,0.23916715383529663
fragment,0.2756286561489105,0.23331047594547272,0.28079816699028015,0.24890470504760742,0.37711432576179504,0.12241784483194351,0.22867603600025177,0.24575896561145782,0.28079816699028015,0.08633464574813843,0.05099130794405937,0.2937755584716797,0.2740044891834259,0.130849689245224
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.33351290225982666,0.3663707971572876,0.2507138252258301,0.3338794708251953,0.5696388483047485,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.2915455996990204,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.30836519598960876,0.3328552544116974,0.3423081040382385,0.32432854175567627,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.22068053483963013
cloth,0.1439349502325058,0.20533420145511627,0.22276084125041962,0.18073873221874237,0.07331255823373795,0.13682404160499573,0.44192081689834595,0.19096699357032776,0.22276084125041962,0.10261206328868866,0.09200295060873032,0.2640058100223541,0.16677746176719666,0.1170932874083519
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.33351290225982666,0.3663707971572876,0.2507138252258301,0.3338794708251953,0.5696388483047485,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.2915455996990204,0.1826142966747284
st,0.13546641170978546,0.14744308590888977,0.27966225147247314,0.21880294382572174,0.15067005157470703,0.035951871424913406,0.2289474904537201,0.259651780128479,0.27966225147247314,0.15186242759227753,0.17163974046707153,0.175659641623497,0.15601705014705658,0.13298600912094116
gereon,0.24021995067596436,0.19657358527183533,0.2789909541606903,0.11431815475225449,0.18910741806030273,0.17045080661773682,0.33184942603111267,0.2082139253616333,0.2789909541606903,0.11870434135198593,0.18373283743858337,0.2265864610671997,0.22003328800201416,0.20723071694374084
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23638197779655457,0.203841432929039,0.19684812426567078,0.23794302344322205,0.5201468467712402,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2277175933122635,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.30836519598960876,0.3328552544116974,0.3423081040382385,0.32432854175567627,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.22068053483963013
oldest,0.12504005432128906,0.3135911226272583,0.30836519598960876,0.9999999403953552,0.510680079460144,0.23032960295677185,0.2757207751274109,0.33251360058784485,0.30836519598960876,0.08486878126859665,0.08293179422616959,0.2483421117067337,0.22153741121292114,0.14864160120487213
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.3322093188762665,0.3704140782356262,0.15571284294128418,0.2468976527452469,0.32641831040382385,0.3624623417854309,0.11315380781888962,0.11825866252183914,0.30882248282432556,0.20515954494476318,0.18314571678638458
surviving,0.16434775292873383,0.21385541558265686,0.3328552544116974,0.510680079460144,1.0,0.18146783113479614,0.21434730291366577,0.2495180368423462,0.3328552544116974,0.08701921254396439,0.0426279753446579,0.2155216783285141,0.24052280187606812,0.1395692080259323
european,0.15324164927005768,0.16083641350269318,0.3423081040382385,0.23032960295677185,0.18146783113479614,0.9999998807907104,0.20835866034030914,0.23319172859191895,0.3423081040382385,0.16175833344459534,0.15071523189544678,0.2254103124141693,0.10411082953214645,0.14560863375663757
tapestry,0.21666374802589417,0.21666821837425232,0.32432854175567627,0.2757207751274109,0.21434730291366577,0.20835866034030914,1.0,0.26853466033935547,0.32432854175567627,0.13144439458847046,0.11507690697908401,0.27101799845695496,0.3567197918891907,0.14881201088428497
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2520267069339752,0.24754393100738525,0.2095622420310974,0.28270503878593445,0.5591574311256409,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,0.2516246736049652,0.4130953550338745
