,how,many,field,goals,did,mcmanus,kick,in,the,game,?
anderson,0.16928687691688538,0.1450900435447693,0.211154505610466,0.11854887753725052,0.22387412190437317,0.4680884778499603,0.1758546084165573,0.21521469950675964,0.22428388893604279,0.14335447549819946,0.1857001930475235
was,0.16678167879581451,0.260356068611145,0.15975919365882874,0.12377895414829254,0.41399896144866943,0.27701082825660706,0.11885637044906616,0.45514053106307983,0.48711544275283813,0.2568269371986389,0.18412111699581146
the,0.33890387415885925,0.4335206151008606,0.2105809599161148,0.11426310986280441,0.34736719727516174,0.25801920890808105,0.14686733484268188,0.6662389636039734,1.0,0.285271555185318,0.22068053483963013
game,0.215279221534729,0.21957436203956604,0.24591608345508575,0.27285531163215637,0.19789010286331177,0.250279039144516,0.22894485294818878,0.23986028134822845,0.285271555185318,0.9999998807907104,0.1829071193933487
's,-0.026164190843701363,0.01698932610452175,0.07850787043571472,0.06642255187034607,0.05069678649306297,0.03362679108977318,0.030140472576022148,-0.037580832839012146,-0.01540423184633255,0.07448072731494904,-0.023395681753754616
leading,0.18543758988380432,0.2955435812473297,0.21292264759540558,0.1634732335805893,0.20311816036701202,0.16759023070335388,0.2148732990026474,0.33273574709892273,0.3809107840061188,0.18848711252212524,0.1360926628112793
rusher,0.1416911482810974,0.15115317702293396,0.15481340885162354,0.14500291645526886,0.18748943507671356,0.35372939705848694,0.2775059938430786,0.2061399519443512,0.2200862467288971,0.29408207535743713,0.11668813228607178
with,0.3525622487068176,0.35744401812553406,0.15400348603725433,0.13877014815807343,0.25472134351730347,0.20596320927143097,0.1834508329629898,0.4080928862094879,0.4223487675189972,0.19394829869270325,0.2433311939239502
90,-0.07865460216999054,-0.11568436026573181,-0.11292797327041626,-0.0927467793226242,-0.021803488954901695,0.08278883248567581,-0.046598467975854874,0.022158663719892502,-0.08136876672506332,-0.07843752205371857,-0.0034062080085277557
yards,0.1345205456018448,0.13134367763996124,0.3101290166378021,0.2860845923423767,0.11230118572711945,0.2012834995985031,0.3978874981403351,0.14206624031066895,0.16070343554019928,0.2516956329345703,0.12453813850879669
and,0.33647966384887695,0.5296266674995422,0.26487240195274353,0.16611462831497192,0.34479495882987976,0.2892056405544281,0.16121315956115723,0.4954058527946472,0.5171257257461548,0.25192898511886597,0.20544172823429108
a,0.29312583804130554,0.2872205972671509,0.2030690312385559,0.10896897315979004,0.2552328109741211,0.21207298338413239,0.29226285219192505,0.539380669593811,0.5829201340675354,0.23211604356765747,0.23916715383529663
touchdown,0.1383858025074005,0.0646008551120758,0.2520557641983032,0.303093820810318,0.1660659909248352,0.2746296525001526,0.46548306941986084,0.14772959053516388,0.1805710643529892,0.3819936513900757,0.12741123139858246
",",0.22659391164779663,0.40610817074775696,0.27645614743232727,0.18402206897735596,0.3015086054801941,0.34815144538879395,0.11400039494037628,0.5201468467712402,0.4933079481124878,0.2653886377811432,0.31091248989105225
along,0.2501010298728943,0.280875027179718,0.05647478252649307,0.08618929237127304,0.18832118809223175,0.1666737198829651,0.11258850246667862,0.3603311777114868,0.39495137333869934,0.17132028937339783,0.17134909331798553
with,0.3525622487068176,0.35744401812553406,0.15400348603725433,0.13877014815807343,0.25472134351730347,0.20596320927143097,0.1834508329629898,0.4080928862094879,0.4223487675189972,0.19394829869270325,0.2433311939239502
four,0.1955733299255371,0.4139232039451599,0.1265089064836502,0.15697938203811646,0.20222175121307373,0.17422319948673248,0.12905511260032654,0.3085027039051056,0.40344667434692383,0.2497764676809311,0.14532537758350372
receptions,0.1486419141292572,0.25486627221107483,0.15913908183574677,0.25936993956565857,0.2029949575662613,0.24206188321113586,0.27263742685317993,0.19997993111610413,0.19359152019023895,0.19461007416248322,0.12913717329502106
for,0.3308170735836029,0.40972793102264404,0.24342265725135803,0.22178436815738678,0.318512886762619,0.18529914319515228,0.18321655690670013,0.4322226941585541,0.4739971458911896,0.2608485519886017,0.264628142118454
10,0.09177426248788834,0.3056783974170685,0.027518898248672485,0.03865552693605423,0.1914099007844925,0.02426331862807274,-0.007717087399214506,0.22690178453922272,0.2880653440952301,0.01925787515938282,0.022911956533789635
yards,0.1345205456018448,0.13134367763996124,0.3101290166378021,0.2860845923423767,0.11230118572711945,0.2012834995985031,0.3978874981403351,0.14206624031066895,0.16070343554019928,0.2516956329345703,0.12453813850879669
.,0.3287222981452942,0.3974229395389557,0.23224417865276337,0.16114914417266846,0.35288307070732117,0.3027046024799347,0.170432910323143,0.5591574311256409,0.5934505462646484,0.2581658959388733,0.4130953550338745
,how,many,field,goals,did,mcmanus,kick,in,the,game,?
mcmanus,0.14902009069919586,0.1390344351530075,0.13735942542552948,0.11676736176013947,0.15767790377140045,1.0,0.1898973286151886,0.21865017712116241,0.25801920890808105,0.250279039144516,0.2241760641336441
made,0.2655200958251953,0.3638485074043274,0.150634765625,0.1394336074590683,0.3068731725215912,0.11770883947610855,0.10989845544099808,0.25271502137184143,0.3885267674922943,0.19576728343963623,0.17218779027462006
