,between,what,dates,was,the,building,on,pilgrim,street,refurbished,?
the,0.39067012071609497,0.42745697498321533,0.3088380992412567,0.48711544275283813,1.0,0.3159640431404114,0.5107308030128479,0.155713751912117,0.20947860181331635,0.27025943994522095,0.22068053483963013
pilgrim,0.09530149400234222,0.1982177048921585,0.14786317944526672,0.18981598317623138,0.155713751912117,0.13706910610198975,0.19531401991844177,1.0000001192092896,0.2122708559036255,0.2427060306072235,0.2269018143415451
street,0.17827199399471283,0.14271703362464905,0.10552561283111572,0.21281053125858307,0.20947860181331635,0.31150975823402405,0.20150774717330933,0.2122708559036255,1.0000001192092896,0.3256905972957611,0.07315441966056824
building,0.17692464590072632,0.23529528081417084,0.17163127660751343,0.237406387925148,0.3159640431404114,0.9999998807907104,0.24277396500110626,0.13706910610198975,0.31150975823402405,0.4002869725227356,0.13549931347370148
was,0.24048170447349548,0.22111038863658905,0.23610089719295502,1.0000001192092896,0.48711544275283813,0.237406387925148,0.3909217119216919,0.18981598317623138,0.21281053125858307,0.3358776271343231,0.18412111699581146
refurbished,0.23237693309783936,0.19818800687789917,0.25075989961624146,0.3358776271343231,0.27025943994522095,0.4002869725227356,0.3370271921157837,0.2427060306072235,0.3256905972957611,1.0,0.19916243851184845
between,0.9999999403953552,0.2462156116962433,0.21858681738376617,0.24048170447349548,0.39067012071609497,0.17692464590072632,0.3335416913032532,0.09530149400234222,0.17827199399471283,0.23237693309783936,0.12887074053287506
november,0.10055901855230331,0.23963461816310883,0.2234608232975006,0.4240739941596985,0.25734350085258484,0.12971994280815125,0.3681331276893616,0.22527389228343964,0.13733452558517456,0.2214171290397644,0.3159552216529846
2006,0.03402786701917648,-0.0008085015579126775,0.028908398002386093,-0.08876620978116989,0.11294147372245789,-0.03109416365623474,-0.04389945790171623,-0.0308378953486681,0.01860915496945381,0.020142732188105583,-0.1194092258810997
and,0.40645647048950195,0.31309178471565247,0.1938803791999817,0.3740963041782379,0.5171257257461548,0.2593274712562561,0.4077630043029785,0.17897599935531616,0.30381542444229126,0.2583063542842865,0.20544172823429108
may,0.18371161818504333,0.25739946961402893,0.2476256936788559,0.3388521671295166,0.2694292366504669,0.14962179958820343,0.3428080081939697,0.1280485838651657,0.13517972826957703,0.2253647893667221,0.2768254578113556
2008,0.003742500673979521,-0.19703538715839386,-0.1022372841835022,0.09246674180030823,-0.06530369818210602,-0.15082234144210815,-0.0002816536871250719,-0.01514456793665886,0.030296092852950096,-0.05915619060397148,-0.09852470457553864
;,0.1024872213602066,0.10986888408660889,0.03687047213315964,0.0754367932677269,0.09152708947658539,0.10393460094928741,-0.017878999933600426,0.06708058714866638,0.10010850429534912,0.06739011406898499,0.10349778085947037
